年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成29,2017,総数,Total,,,406.8,373,34327818,21611883,12715934
平成30,2018,総数,Total,,,406.8,373,34836197,21922207,12913990
令和元,2019,総数,Total,,,406.8,373,34648315,22110976,12537337
令和2,2020,総数,Total,,,406.8,373,22663242,14923036,7740207
令和3,2021,総数,Total,,,406.8,373,24798218,15377174,9421044
令和3,2021,小田急電鉄,Odakyu Electric Railway,,,26.5,23,3629137,2276101,1353036
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,3542455,2218874,1323581
令和3,2021,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,86682,57227,29455
令和3,2021,西武鉄道,Seibu Railway,,,93.4,71,5190012,3402547,1787465
令和3,2021,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,2438052,1596224,841828
令和3,2021,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,104484,64091,40393
令和3,2021,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,3244,1975,1269
令和3,2021,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,225,49,176
令和3,2021,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2110393,1388152,722241
令和3,2021,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,271148,179745,91403
令和3,2021,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,2416,1316,1100
令和3,2021,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,146678,102359,44319
令和3,2021,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,65102,37704,27398
令和3,2021,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,48270,30932,17338
令和3,2021,東京急行電鉄,Tokyu Corporation,,,60,75,4369758,2618404,1751355
