観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,2052.5,43.5,88.5,173,156,99.5,168.5,310,382.5,222.5,199.5,93,116
江戸川臨海,Edogawarinkai,1686,37.5,66,176,126,85,84,362,249,129,183.5,57.5,130.5
練馬,Nerima,1730,40,52,143,104.5,72,189.5,269.5,280.5,231,144.5,77,126.5
世田谷,Setagaya,1895,42.5,72.5,238.5,124.5,85,101.5,298,364,221.5,140,91,116
府中,Fuchu,1788,39.5,51,142.5,86,70,111,346,337,258,140,100.5,106.5
八王子,Hachioji,1448.5,51,51,111.5,81,78.5,81.5,273,307.5,148,114.5,82,69
小沢,Ozawa,1522.5,45,34,115.5,77.5,84.5,160,276,318.5,144,153,53,61.5
青梅,Ome,1363.5,38.5,50,114.5,65.5,78.5,142.5,248.5,206,154,135.5,68.5,61.5
小河内,Ogochi,1310.5,39,36,95.5,54,77.5,157,256.5,229,138.5,105.5,51,71
羽田,Haneda,1605.5,44.5,70,170,127.5,91.5,75,252,213.5,172.5,190.5,69,129.5
大島,Oshima,3061,236,66.5,198,177,327,220,434.5,373,277,399,186.5,166.5
新島,Niijima,2504,94,51,168,102,214,177.5,466.5,337,268,351,212,63
三宅島,Miyakejima,3107,120,69,274.5,158,184.5,218,408.5,412.5,393.5,473.5,220.5,174.5
八丈島,Hachijojima,2985.5,246.5,78,127,156.5,364.5,379,229,230.5,283,605.5,151.5,134.5
父島,Chichijima,1816,238,63.5,101,108.5,43,304,197,38,75,266,210,172
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-8  地域気象観測所降水量（令和3年） 1-8 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2021 ),,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
