年度,Fiscal year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self-employed,就職状況 Placement／就職率 Employment rate (%),,
令和2,2020,総数,Total,3373,2897,1959,46,69.2,,
令和3,2021,総数,Total,3684,3019,2135,80,73.4,,
令和3,2021,メカトロニクス,Mechatronics,28,15,14,-,93.3,,
令和3,2021,自動車整備工学,Automobile mechanics,54,25,25,-,100,,
令和3,2021,機械加工,Machining,15,12,12,-,100,,
令和3,2021,自動車車体整備,Automobile body repair,11,6,6,-,100,,
令和3,2021,エンジニア養成,Engineering,-,2,2,-,100,,
令和3,2021,ものづくりエンジニア,Manufacturing engineer,5,-,-,-,-,,
令和3,2021,精密加工,Precision machining,7,4,4,-,100,,
令和3,2021,木工技術,Woodworking,36,31,29,-,93.5,,
令和3,2021,インテリア設計施工,Interior design and construction,16,14,13,-,92.9,,
令和3,2021,電気工事,Electrical wiring ,79,61,59,1,98.4,,
令和3,2021,IoTシステム,IoT systems,29,9,6,-,66.7,,
令和3,2021,電気設備技術,Electrical work,11,9,9,-,100,,
令和3,2021,環境分析,Environmental analysis,12,9,6,-,66.7,,
令和3,2021,自動車塗装,Automobile body painting,15,13,13,-,100,,
令和3,2021,パソコングラフィック,Computer graphics,30,22,17,-,77.3,,
令和3,2021,ＯＡシステム開発,OA system development,52,34,31,-,91.2,,
令和3,2021,ネットワークプログラミング,Network programming,28,18,16,-,88.9,,
令和3,2021,デジタルクラフト,Digital crafts,24,19,8,2,52.6,,
令和3,2021,3ＤＣＡＤ・ＣＡＭ,3D CAD/CAM,30,13,12,-,92.3,,
令和3,2021,水回りスペシャリスト,Plumbing specialist,11,8,8,-,100,,
令和3,2021,広告美術,Advertising art,14,11,11,-,100,,
令和3,2021,サイン・ディスプレイ,Signs and displays,19,12,10,-,83.3,,
令和3,2021,測量設計,Survey and planning,13,5,3,-,60,,
令和3,2021,環境空調サービス,Air conditioning services,14,13,13,-,100,,
令和3,2021,和装技術,Kimono-making,30,23,18,-,78.3,,
令和3,2021,電気設備システム,Electrical facilities management,21,18,15,-,83.3,,
令和3,2021,Ｗｅｂ設計,Web design,28,16,16,-,100,,
令和3,2021,組込みシステム技術,Embedded systems technology,17,6,5,-,83.3,,
令和3,2021,若年者就業支援科 (塗装コース),Employment support course for young people(Painting course),5,5,5,-,100,,
令和3,2021,若年者就業支援科 (建築塗装),Employment support course for young people(Construction painting),4,2,1,-,50,,
令和3,2021,若年者就業支援科 (溶接コース),Employment support course for young people(Welding course),10,5,5,-,100,,
令和3,2021,エンジニア基礎養成,Basic engineer training,9,9,5,-,55.6,,
令和3,2021,電気制御基礎養成,Basic electric control training,8,6,5,-,83.3,,
令和3,2021,ネットワーク施工,Network technology,45,40,20,-,50,,
令和3,2021,プラスチック加工,Plastics processing,8,7,6,-,85.7,,
令和3,2021,アパレルパタンナー,Fashion pattern making,30,19,14,1,78.9,,
令和3,2021,製くつ,Shoemaking,21,19,18,1,100,,
令和3,2021,財務管理,Financial accounting,107,87,44,1,51.7,,
令和3,2021,ＣＡＤ,CAD,75,63,47,-,74.6,,
令和3,2021,建築ＣＡＤ,Architecture CAD,59,49,32,-,65.3,,
令和3,2021,溶接,Welding,33,29,25,3,96.6,,
令和3,2021,住宅内外装仕上,Interior and exterior finishing,45,36,25,10,97.2,,
令和3,2021,建築設備施工,Equipment installation,23,19,14,2,84.2,,
令和3,2021,住宅リフォーム,Home renovation,59,57,44,4,84.2,,
令和3,2021,グリーンエクステリア,Gardening and exterior work,60,58,49,3,89.7,,
令和3,2021,セキュリティサービス,Security services,34,30,26,-,86.7,,
令和3,2021,電気・通信工事,Electrical/telecommunications wiring,36,31,22,-,71,,
令和3,2021,メディアプロモーション,Media promotion,57,48,29,7,75,,
令和3,2021,グラフィック印刷,Graphic printing,14,6,5,-,83.3,,
令和3,2021,ＤＴＰ,DTP,59,49,36,1,75.5,,
令和3,2021,医療事務,Medical billing,102,80,62,-,77.5,,
令和3,2021,貿易実務,International trade documentation,97,79,39,1,50.6,,
令和3,2021,ＯＡソフト管理,Office software management,106,91,38,1,42.9,,
令和3,2021,ネットワーク構築,Network construction,31,23,7,-,30.4,,
令和3,2021,配管,Plumbing,17,13,8,-,61.5,,
令和3,2021,観光ビジネス,Tourism business,35,33,21,-,63.6,,
令和3,2021,ショップマネジメント,Store management,27,22,16,-,72.7,,
令和3,2021,調理,Cooking,82,58,49,1,86.2,,
令和3,2021,介護サービス,Nursing care,298,280,248,-,88.6,,
令和3,2021,ビルクリーニング管理,Building custodial services,26,24,21,-,87.5,,
令和3,2021,福祉用具,Assistive equipment,19,11,6,-,54.5,,
令和3,2021,介護福祉用具,Nursing care equipment,30,23,15,-,65.2,,
令和3,2021,マンション改修施工,Condominium renovation,48,46,28,9,80.4,,
令和3,2021,造園土木施工,Gardening and landscape construction,36,29,23,1,82.8,,
令和3,2021,三次元ＣＡＤ,3D CAD,93,73,50,4,74,,
令和3,2021,マンション維持管理,Condominium maintenance and management,55,53,46,-,86.8,,
令和3,2021,パソコン実践,Computer operations,356,334,134,1,40.4,,
令和3,2021,内装施工,Interior construction work,48,42,29,7,85.7,,
令和3,2021,ビル管理,Building management,172,122,99,1,82,,
令和3,2021,電気設備管理,Electrical facility management,62,56,49,-,87.5,,
令和3,2021,電気設備管理 (高年齢者向),Electrical facility management (for elderly people),65,57,32,-,56.1,,
令和3,2021,電気設備保全,Electrical facility maintenance,46,38,32,-,84.2,,
令和3,2021,経営管理実務,Business management,57,39,20,-,51.3,,
令和3,2021,ビジネス経理,Business accounting,59,58,26,1,46.6,,
令和3,2021,庭園施工管理,Gardening management,59,55,33,17,90.9,,
令和3,2021,生活支援サービス,Living support services,50,48,37,-,77.1,,
令和3,2021,ホテル・レストランサービス,Hotel and restaurant services,26,21,14,-,66.7,,
令和3,2021,設備保全,Facility maintenance,44,35,28,-,80,,
令和3,2021,板金溶接,Sheet metal welding,13,6,6,-,100,,
令和3,2021,施設警備,Security services for facilities,19,16,15,-,93.8,,
令和3,2021,クリーンスタッフ養成,Cleaning staff training,56,52,46,-,88.5,,
令和3,2021,自動車運転 (城東),Vehicle driving (Joto),-,-,-,-,-,,
,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　7  労働 7  LABOR,,,,,,,,,,
7-2  都立職業能力開発センター (職業訓練校) 修了者就職状況 (令和2，3年度) 7-2  PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTERS ( VOCATIONAL TRAINING FACILITIES ) ( Fiscal Years 2020 and 2021 ),,,,,,,,,,
この表の数字には，２か月以下の訓練，障害者訓練及び受託訓練を含まない。,,,,,,,,,,
Figures do not include training courses of two months or less， those for the disabled， or courses commissioned by others.,,,,,,,,,,
資料：都産業労働局雇用就業部能力開発課 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,,,
