年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成29,2017,,,3730869,3809380,14500368,14582634,2008307,19633,17005,1093196,1169703,1628,156,14408,20701
平成30,2018,,,3599014,3650073,15732580,15815526,1878207,11376,11946,1094656,1103356,858,176,16799,21843
平成31･令和元,2019,,,3794224,3848555,16413561,16476278,1881310,10768,11956,965415,1074490,1317,262,14947,24910
令和2,2020,,,1596182,1624738,2966075,3005903,619286,2385,3902,869406,1089099,447,77,16600,34616
令和3,2021,,,1646991,1703726,610351,452911,385414,752,734,1222229,1369026,0,0,16075,34855
令和3,2021,1,Jan.,59776,78003,48524,46886,16780,61,57,91410,100867,-,-,1215,3443
令和3,2021,2,Feb.,35526,35842,31459,19313,12810,25,19,93149,93956,-,-,1168,2318
令和3,2021,3,Mar.,110719,114366,41865,31229,14415,113,145,113381,120490,0,0,1516,3319
令和3,2021,4,Apr.,121099,117411,51613,25428,16667,55,35,105365,111944,0,0,1399,3119
令和3,2021,5,May,99941,116220,34290,25025,24743,54,42,96906,108338,0,0,1354,2948
令和3,2021,6,June,79793,82292,39371,29495,31447,56,41,100732,108341,0,0,1410,2839
令和3,2021,7,July,163090,155485,52028,55814,36523,81,73,103777,118358,0,0,1281,2835
令和3,2021,8,Aug.,213906,227584,74618,42331,47117,64,59,100464,111796,0,0,1177,2486
令和3,2021,9,Sept.,148959,156682,54541,35981,34418,52,47,102666,115939,0,0,1330,2603
令和3,2021,10,Oct.,183292,184166,55701,41643,32980,44,41,107392,123932,0,0,1282,2910
令和3,2021,11,Nov.,199817,211833,57147,44451,46031,60,62,101168,124884,-,-,1323,2733
令和3,2021,12,Dec.,231073,223842,69194,55315,71483,87,113,105819,130181,-,-,1619,3303
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (2)　成田国際空港 （平成29～令和3年） 4-23 TRANSPORTATION BY ＡIR (2) NARITA INTERNATIONAL AIRPORT ( 2017-2021 ),,,,,,,,,,,,,,,,
資料：国土交通省「空港管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
