年次,Year,月次 ,Month,件数 Total,うち法人(業種別)  of which corporation (by industry)／計 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人(業種別)  of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人(業種別)  of which corporation (by industry)／小売 Retail,件数 Total／うち法人(業種別)  of which corporation (by industry)／建設 Construction,件数 Total／うち法人(業種別)  of which corporation (by industry)／サービス Services,件数 Total／うち法人(業種別)  of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人(業種別)  of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人(業種別)  of which corporation (by industry)／その他 Others,枚数 Number,金額 Value,,,,,,,
平成29,2017,総数,Total,229,211,3,12,5,3,41,45,22,28,26,6,3,17,458,757581,,,,,,,
平成30,2018,総数,Total,182,164,1,12,11,6,35,32,23,28,6,1,1,8,467,1107425,,,,,,,
平成31･令和元,2019,総数,Total,180,174,-,11,7,4,32,54,16,25,2,4,4,15,416,657066,,,,,,,
令和2,2020,総数,Total,93,88,-,3,3,3,28,24,11,6,3,-,-,7,186,9011006,,,,,,,
令和3,2021,総数,Total,63,55,-,1,-,2,12,13,6,11,3,-,2,5,112,885286,,,,,,,
令和3,2021,1,Jan.,4,4,-,-,-,-,1,-,1,1,1,-,-,-,6,29601,,,,,,,
令和3,2021,2,Feb.,5,5,-,-,-,1,-,1,-,3,-,-,-,-,10,9356,,,,,,,
令和3,2021,3,Mar.,5,5,-,-,-,-,1,1,1,-,1,-,-,1,11,19668,,,,,,,
令和3,2021,4,Apr.,7,3,-,-,-,-,-,3,-,-,-,-,-,-,9,30961,,,,,,,
令和3,2021,5,May,4,3,-,-,-,-,-,3,-,-,-,-,-,-,4,1540,,,,,,,
令和3,2021,6,June,7,5,-,-,-,1,3,-,-,1,-,-,-,-,18,18887,,,,,,,
令和3,2021,7,July,4,4,-,-,-,-,2,-,-,1,-,-,1,-,4,600810,,,,,,,
令和3,2021,8,Aug.,5,5,-,-,-,-,-,2,-,1,-,-,1,1,9,19140,,,,,,,
令和3,2021,9,Sept.,3,3,-,1,-,-,-,-,1,-,-,-,-,1,6,4653,,,,,,,
令和3,2021,10,Oct.,6,6,-,-,-,-,1,1,1,2,-,-,-,1,14,24690,,,,,,,
令和3,2021,11,Nov.,9,9,-,-,-,-,3,1,2,2,1,-,-,-,17,124443,,,,,,,
令和3,2021,12,Dec.,4,3,-,-,-,-,1,1,-,-,-,-,-,1,4,1537,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-9  東京手形交換所扱い銀行取引停止処分数 (平成29～令和3年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2017-2021 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  金額  千円）(Value in thousands of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
