年度末,End of fiscal year,月末 ,End of month,銀行数 Number of banks,店舗数 Number of branches,資産 Assets／貸出金 Loans and bills discounted／総額 Total,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／手形貸付 Loans on bills,資産 Assets／貸出金 Loans and bills discounted／証書貸付 Loans on deeds,資産 Assets／貸出金 Loans and bills discounted／当座貸越 Overdrafts,資産 Assets／貸出金 Loans and bills discounted／(うち) 23区内 (of which) Ku area,資産 Assets／コールローン･買入手形 Call loans and bills bought,資産 Assets／商品有価証券 Trading account securities,資産 Assets／有価証券 Securities,資産 Assets／現金・預け金 Cash and due from banks／現金 Cash,資産 Assets／現金・預け金 Cash and due from banks／(うち) 小切手・手形 (of which) Checks and bills,資産 Assets／現金・預け金 Cash and due from banks／預け金 Due from banks,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／要求払預金 Demand deposits,負債 Liabilities／預金 Deposits／定期性預金 Time deposits,負債 Liabilities／預金 Deposits／その他預金 Other deposits,負債 Liabilities／預金 Deposits／(うち) 一般預金 (of which) Private deposits,負債 Liabilities／預金 Deposits／(うち) 23区内 (of which) Ku area,負債 Liabilities／譲渡性預金 Negotiable  certificates of deposit ,負債 Liabilities／コールマネー・売渡手形 Call money and bills sold,負債 Liabilities／借用金 Borrowed money
平成29,2017,総数,Total,98,1169,2032539,2792,28078,1683422,318136,1968136,23156,3052,1465186,19000,3988,1922175,2478807,1670719,632334,175674,2230031,2280113,216535,39144,511927
平成30,2018,総数,Total,97,1180,2109178,2477,28781,1750441,327369,2043843,8764,1597,1523598,20420,4221,1973457,2599191,1788552,626189,184371,2301221,2396263,199318,39880,543354
令和元,2019,総数,Total,97,1196,2164693,1948,22046,1802298,338289,2098834,24268,1850,1566314,24461,7547,1902465,2692194,1886575,606794,198753,2416195,2483436,195772,65142,770110
令和2,2020,総数,Total,95,1202,2276862,1433,19164,1910476,345689,2211039,36242,2118,1813729,22122,3102,2551085,2953943,2132031,612365,209461,2634038,2728220,229585,34445,974086
令和3,2021,総数,Total,94,1213,2314822,1477,20027,1928166,365042,2249423,41325,1026,1849273,30096,4012,2621786,3009602,2200320,593452,215739,2727787,2777407,236805,56696,1034898
令和3,2021,4,Apr.,,1202,2263034,1359,18020,1915318,328238,2197392,80028,1966,1826634,23608,4091,2598083,2970796,2140626,618463,211615,2652825,2744447,253866,76701,975214
令和3,2021,5,May,,1204,2255177,1315,17027,1908935,327801,2189762,63876,1743,1837356,23150,4477,2549662,2984511,2097094,615729,271607,2633314,2758612,247252,58336,976718
令和3,2021,6,June,,1204,2256169,1321,17544,1908865,328330,2190847,53905,1807,1824823,22246,3706,2549125,2904951,2083912,611272,209686,2603779,2676874,255571,52350,974515
令和3,2021,7,July,,1203,2247594,1504,17057,1912010,316914,2182271,92272,1953,1762149,19420,1593,2571662,2886075,2094602,611818,179577,2613070,2657784,277944,60729,976473
令和3,2021,8,Aug.,,1203,2244386,1262,17482,1907900,317631,2179279,97515,1452,1731083,21709,4255,2576360,2904646,2073380,611393,219795,2612106,2677272,262918,61932,980398
令和3,2021,9,Sept.,,1204,2253127,1316,18705,1905054,327946,2187830,55119,1222,1802261,19969,2764,2585064,2920642,2106003,602912,211642,2641527,2693234,255626,52525,976267
令和3,2021,10,Oct.,,1208,2248391,1489,18290,1908729,319792,2183369,157970,1442,1799954,17454,1597,2493748,2912848,2123427,605109,184209,2654169,2684055,265828,58335,985025
令和3,2021,11,Nov.,,1211,2266041,1309,18576,1912478,333585,2201061,153188,1381,1723236,21315,4352,2502702,2958830,2109226,600945,248567,2661364,2731443,257473,57952,992968
令和3,2021,12,Dec.,,1213,2272735,1610,19909,1908433,342681,2207666,68397,2218,1744700,19441,987,2618030,2885313,2101476,600256,183492,2633385,2654233,246637,54582,1015669
令和4,2022,1,Jan.,,1213,2260405,1408,18393,1901956,338546,2195642,133240,1963,1757869,22099,4325,2534102,2940103,2109518,600608,229891,2662384,2711172,257627,55213,1009206
令和4,2022,2,Feb.,,1213,2275999,1396,18396,1909892,346214,2211350,137444,1585,1777823,23862,6313,2473256,2938580,2087959,599410,251124,2652527,2710196,244951,59542,1006472
令和4,2022,3,Mar.,,1213,2314822,1477,20027,1928166,365042,2249423,41325,1026,1849273,18948,4012,2621786,3009602,2200320,593452,215739,2727787,2777407,236805,56696,1034898
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1  銀行の主要勘定 (平成29～令和3年度末) 15-1  MAIN ACCOUNTS OF BANKS ( End of Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,
この表の「銀行」とは都市銀行，地方銀行，第二地方銀行協会加盟の地方銀行，信託銀行，　新生銀行，あおぞら銀行及び農林中央金庫をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table， ""banks"" refer to city banks， regional banks， member banks of the Second Association of Regional Banks (regional banks II)， trust banks， Shinsei Bank， Aozora Bank and Norinchukin Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会パブリック・リレーション部 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  億円）(In hundred millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
