年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1) 
平成30,2018,0,,総数,Total,,525740,251980,445,3875,9476,21754,7372,60,1133,67259,162394
令和元,2019,0,,総数,Total,,522451,252112,439,3875,6303,21793,7016,60,1133,67561,162167
令和2,2020,0,,総数,Total,,520554,252364,438,3874,2809,22167,6973,60,1133,69592,161152
令和3,2020,0,,総数,Total,,516258,251067,415,3874,1161,22095,6796,60,1115,70039,159644
令和3,2020,1,13100,区部,All ku,,318691,161137,20,1906,1161,14205,6306,26,1057,36371,96510
令和3,2020,2,13101,千代田区,Chiyoda-ku,,1308,292,-,14,-,370,315,-,144,150,23
令和3,2020,2,13102,中央区,Chuo-ku,,6483,1453,-,-,-,130,1190,-,75,479,3156
令和3,2020,2,13103,港区,Minato-ku,,9952,4993,-,175,-,323,669,-,-,1279,2513
令和3,2020,2,13104,新宿区,Shinjuku-ku,,9227,7059,-,4,26,991,505,-,-,386,256
令和3,2020,2,13105,文京区,Bunkyo-ku,,1606,548,-,1,17,225,92,-,-,264,459
令和3,2020,2,13106,台東区,Taito-ku,,1402,909,-,-,26,196,112,-,-,-,159
令和3,2020,2,13107,墨田区,Sumida-ku,,11531,6628,-,122,102,388,428,-,61,828,2974
令和3,2020,2,13108,江東区,Koto-ku,,43748,19603,-,352,398,570,44,-,-,6153,16628
令和3,2020,2,13109,品川区,Shinagawa-ku,,9976,3409,-,27,18,409,1056,-,147,924,3986
令和3,2020,2,13110,目黒区,Meguro-ku,,2377,637,-,119,-,698,143,-,-,-,780
令和3,2020,2,13111,大田区,Ota-ku,,13567,6347,20,94,329,1663,504,-,-,1742,2868
令和3,2020,2,13112,世田谷区,Setagaya-ku,,17894,5833,-,1,-,1511,228,-,-,4659,5662
令和3,2020,2,13113,渋谷区,Shibuya-ku,,3643,2364,-,-,-,552,83,-,-,130,514
令和3,2020,2,13114,中野区,Nakano-ku,,5013,2215,-,12,-,567,79,-,20,2001,119
令和3,2020,2,13115,杉並区,Suginami-ku,,5777,3151,-,2,-,1210,137,-,-,535,742
令和3,2020,2,13116,豊島区,Toshima-ku,,3059,1171,-,-,10,380,132,-,85,146,1135
令和3,2020,2,13117,北区,Kita-ku,5),27218,12815,-,76,11,1015,8,-,8,1225,12068
令和3,2020,2,13118,荒川区,Arakawa-ku,,6414,4027,-,131,28,86,205,-,-,416,1521
令和3,2020,2,13119,板橋区,Itabashi-ku,,27039,11762,-,30,-,667,157,-,-,3444,10979
令和3,2020,2,13120,練馬区,Nerima-ku,,20805,12132,-,98,-,891,71,26,-,1642,5945
令和3,2020,2,13121,足立区,Adachi-ku,,44765,29005,-,411,101,744,77,-,73,2179,12175
令和3,2020,2,13122,葛飾区,Katsushika-ku,,20195,12178,-,54,49,554,51,-,240,346,6723
令和3,2020,2,13123,江戸川区,Edogawa-ku,,25692,12606,-,183,46,65,20,-,204,7443,5125
令和3,2020,1,13200,市部,All shi,,194694,88952,-,1951,-,6632,265,34,58,33668,63134
令和3,2020,2,13201,八王子市,Hachioji-shi,,24412,10727,-,608,-,1487,-,-,-,3723,7867
令和3,2020,2,13202,立川市,Tachikawa-shi,,12292,4977,-,58,-,545,5,-,-,1750,4957
令和3,2020,2,13203,武蔵野市,Musashino-shi,,4252,1966,-,2,-,256,53,-,-,-,1975
令和3,2020,2,13204,三鷹市,Mitaka-shi,,6814,3888,-,85,-,129,16,-,-,-,2696
令和3,2020,2,13205,青梅市,Ome-shi,,2128,405,-,16,-,699,-,-,-,1008,-
令和3,2020,2,13206,府中市,Fuchu-shi,,6619,4616,-,44,-,679,77,-,-,-,1203
令和3,2020,2,13207,昭島市,Akishima-shi,,6441,3903,-,16,-,20,11,-,-,991,1500
令和3,2020,2,13208,調布市,Chofu-shi,,8381,4270,-,82,-,280,10,-,-,670,3069
令和3,2020,2,13209,町田市,Machida-shi,,27194,8023,-,125,-,548,7,-,-,9830,8661
令和3,2020,2,13210,小金井市,Koganei-shi,,2491,654,-,-,-,172,21,-,-,1042,602
令和3,2020,2,13211,小平市,Kodaira-shi,,8328,5470,-,14,-,27,11,-,-,21,2785
令和3,2020,2,13212,日野市,Hino-shi,,9595,2725,-,8,-,640,2,12,17,906,5285
令和3,2020,2,13213,東村山市,Higashimurayama-shi,,7926,5686,-,35,-,91,-,-,-,682,1432
令和3,2020,2,13214,国分寺市,Kokubunji-shi,,2969,1687,-,3,-,20,11,-,-,405,843
令和3,2020,2,13215,国立市,Kunitachi-shi,,4785,1919,-,470,-,-,-,-,-,-,2396
令和3,2020,2,13218,福生市,Fussa-shi,,3578,757,-,2,-,316,5,-,-,1634,864
令和3,2020,2,13219,狛江市,Komae-shi,,2645,1801,-,-,-,45,3,-,-,786,10
令和3,2020,2,13220,東大和市,Higashiyamato-shi,,5404,3281,-,3,-,25,1,-,-,2094,-
令和3,2020,2,13221,清瀬市,Kiyose-shi,,7104,3651,-,40,-,130,1,-,13,1140,2129
令和3,2020,2,13222,東久留米市,Higashikurume-shi,,7619,2558,-,9,-,-,1,22,28,2865,2136
令和3,2020,2,13223,武蔵村山市,Musashimurayama-shi,,4482,4246,-,1,-,22,-,-,-,-,213
令和3,2020,2,13224,多摩市,Tama-shi,,12427,4666,-,4,-,112,1,-,-,1630,6014
令和3,2020,2,13225,稲城市,Inagi-shi,,4448,1240,-,146,-,10,-,-,-,1650,1402
令和3,2020,2,13227,羽村市,Hamura-shi,,1321,349,-,1,-,131,-,-,-,-,840
令和3,2020,2,13228,あきる野市,Akiruno-shi,,211,-,-,-,-,211,-,-,-,-,-
