年次,Year,港または空港,Seaport or airport ,総数 Total,出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 Under the status of forces agreement 1),入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 Under the status of forces agreement 1),,,,,,,,,,,,,,,,,,,,,,,,
平成29,2017,総数,Total,45804387,22885518,11406313,11348794,130411,22918869,11401733,11386683,130453,,,,,,,,,,,,,,,,,,,,,,,,
平成30,2018,総数,Total,49324276,24628739,11915579,12580147,133013,24695537,11912527,12648140,134870,,,,,,,,,,,,,,,,,,,,,,,,
平成31･令和元,2019,総数,Total,51223877,25584994,12242151,13212596,130247,25638883,12233587,13270885,134411,,,,,,,,,,,,,,,,,,,,,,,,
令和2,2020,総数,Total,8991880,4442650,2078873,2319894,43883,4549230,2411838,2095388,42004,,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,総数,Total,1713575,956659,455689,436898,64072,756916,417162,295450,44304,,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,東京（港）,Tokyo(Seaport),13,10,10,-,-,3,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,羽田（空港）,Haneda(Airport),650300,346298,217808,95220,33270,304002,202925,81917,19160,,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,成田（空港）,Narita(Airport),1063262,610351,237871,341678,30802,452911,214237,213530,25144,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-25  港別出入国者数 （平成29～令和3年） 4-25 NUMBER OF PERSONS ENTERING OR DEPARTING JAPAN BY SEAPORT OR AIRPORT ( 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Members of foreign military forces， civilian component， and their families falling under the US-Japan Status of Forces Agreements and UN Status of Forces Agreement， who entered or departed Japan by means other than military ships or aircraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：出入国在留管理庁 「出入国管理統計年報」 Source: Immigration Services Agency of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
