地域階層,地域コード,項番 Item number,地域,District,出生 Live births／計 Total,出生 Live births／男 Male,出生 Live births／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
0,13000,,総数,Tokyo-to,95404,48916,46488,127649,66583,61066,-32245,-17667,-14578,160,89,71,68,34,34,1975,894,1081,1.08,69813,19605
1,13100,,区部,All ku,69345,35615,33730,85490,44544,40946,-16145,-8929,-7216,115,63,52,51,24,27,1450,633,817,1.07,54381,13828
2,13101,1,千代田区,Chiyoda-ku,601,298,303,432,220,212,169,78,91,-,-,-,-,-,-,15,4,11,1.2,565,109
2,13102,2,中央区,Chuo-ku,1969,976,993,977,433,544,992,543,449,3,1,2,2,1,1,42,17,25,1.36,1502,329
2,13103,3,港区,Minato-ku,2461,1239,1222,1674,795,879,787,444,343,5,2,3,1,-,1,61,24,37,1.24,1704,491
2,13104,4,新宿区,Shinjuku-ku,2304,1146,1158,2744,1405,1339,-440,-259,-181,2,2,-,-,-,-,63,16,47,0.96,2199,484
2,13105,5,文京区,Bunkyo-ku,1855,927,928,1694,824,870,161,103,58,3,2,1,1,1,-,36,14,22,1.1,1305,283
2,13106,6,台東区,Taito-ku,1520,795,725,2058,1153,905,-538,-358,-180,1,1,-,1,1,-,40,17,23,1.11,1665,329
2,13107,7,墨田区,Sumida-ku,2230,1167,1063,2614,1385,1229,-384,-218,-166,4,2,2,-,-,-,42,14,28,1.09,2230,431
2,13108,8,江東区,Koto-ku,3957,2031,1926,4267,2265,2002,-310,-234,-76,12,7,5,4,3,1,72,31,41,1.19,2657,791
2,13109,9,品川区,Shinagawa-ku,3536,1841,1695,3318,1658,1660,218,183,35,5,2,3,3,1,2,74,35,39,1.12,2791,601
2,13110,10,目黒区,Meguro-ku,2096,1098,998,2203,1076,1127,-107,22,-129,2,1,1,1,-,1,46,21,25,0.92,1880,446
2,13111,11,大田区,Ota-ku,5152,2677,2475,7042,3750,3292,-1890,-1073,-817,8,4,4,3,1,2,104,51,53,1.07,4086,980
2,13112,12,世田谷区,Setagaya-ku,6713,3470,3243,7225,3553,3672,-512,-83,-429,15,10,5,6,4,2,118,55,63,1.01,4906,1172
2,13113,13,渋谷区,Shibuya-ku,1909,991,918,1703,839,864,206,152,54,1,1,-,-,-,-,48,23,25,1.01,1695,389
2,13114,14,中野区,Nakano-ku,2387,1246,1141,2910,1524,1386,-523,-278,-245,5,2,3,1,-,1,49,15,34,0.95,2289,457
2,13115,15,杉並区,Suginami-ku,4078,2051,2027,4819,2364,2455,-741,-313,-428,8,3,5,4,1,3,83,37,46,0.94,3201,693
2,13116,16,豊島区,Toshima-ku,1855,959,896,2473,1278,1195,-618,-319,-299,4,2,2,4,2,2,45,20,25,0.91,1817,400
2,13117,17,北区,Kita-ku,2548,1338,1210,3713,1943,1770,-1165,-605,-560,4,2,2,1,-,1,46,29,17,1.12,1984,417
2,13118,18,荒川区,Arakawa-ku,1548,773,775,2172,1133,1039,-624,-360,-264,3,1,2,3,1,2,34,17,17,1.16,1225,302
2,13119,19,板橋区,Itabashi-ku,3675,1862,1813,5668,3016,2652,-1993,-1154,-839,8,5,3,4,2,2,69,36,33,0.98,2915,788
2,13120,20,練馬区,Nerima-ku,5236,2677,2559,6550,3394,3156,-1314,-717,-597,10,5,5,6,3,3,101,45,56,1.06,3486,1005
2,13121,21,足立区,Adachi-ku,4144,2154,1990,7840,4269,3571,-3696,-2115,-1581,4,2,2,3,2,1,94,37,57,1.1,3216,1121
2,13122,22,葛飾区,Katsushika-ku,2888,1483,1405,5074,2727,2347,-2186,-1244,-942,3,3,-,1,1,-,63,27,36,1.13,1966,656
2,13123,23,江戸川区,Edogawa-ku,4683,2416,2267,6320,3540,2780,-1637,-1124,-513,5,3,2,2,-,2,105,48,57,1.19,3097,1154
1,13200,,市部,All shi,25666,13101,12565,40722,21325,19397,-15056,-8224,-6832,44,25,19,16,9,7,512,252,260,1.14,15218,5653
2,13201,1,八王子市,Hachioji-shi,2855,1444,1411,5762,3042,2720,-2907,-1598,-1309,7,4,3,3,3,-,56,26,30,1.07,1795,804
2,13202,2,立川市,Tachikawa-shi,1181,606,575,1789,917,872,-608,-311,-297,3,2,1,-,-,-,16,8,8,1.14,777,281
2,13203,3,武蔵野市,Musashino-shi,1118,571,547,1230,584,646,-112,-13,-99,3,3,-,-,-,-,24,14,10,1.1,746,175
2,13204,4,三鷹市,Mitaka-shi,1372,737,635,1596,789,807,-224,-52,-172,1,-,1,1,-,1,32,19,13,1.14,809,224
2,13205,5,青梅市,Ome-shi,592,296,296,1879,974,905,-1287,-678,-609,2,2,-,1,1,-,8,4,4,1.05,363,200
2,13206,6,府中市,Fuchu-shi,1723,847,876,2309,1225,1084,-586,-378,-208,3,1,2,1,1,-,37,20,17,1.18,1080,348
2,13207,7,昭島市,Akishima-shi,745,388,357,1274,691,583,-529,-303,-226,3,1,2,-,-,-,22,16,6,1.25,413,157
2,13208,8,調布市,Chofu-shi,1741,909,832,1959,1013,946,-218,-104,-114,2,2,-,1,1,-,37,13,24,1.14,1042,294
2,13209,9,町田市,Machida-shi,2286,1202,1084,4292,2274,2018,-2006,-1072,-934,2,1,1,1,-,1,47,26,21,1.13,1321,578
2,13210,10,小金井市,Koganei-shi,933,455,478,967,507,460,-34,-52,18,1,-,1,1,-,1,18,11,7,1.13,585,146
2,13211,11,小平市,Kodaira-shi,1276,626,650,1788,927,861,-512,-301,-211,3,2,1,1,1,-,26,11,15,1.16,650,226
2,13212,12,日野市,Hino-shi,1257,647,610,1683,937,746,-426,-290,-136,1,-,1,-,-,-,20,7,13,1.24,718,254
2,13213,13,東村山市,Higashimurayama-shi,893,446,447,1654,864,790,-761,-418,-343,3,2,1,2,1,1,14,6,8,1.15,471,235
2,13214,14,国分寺市,Kokubunji-shi,978,497,481,1095,543,552,-117,-46,-71,-,-,-,-,-,-,18,11,7,1.23,556,128
2,13215,15,国立市,Kunitachi-shi,429,215,214,703,354,349,-274,-139,-135,1,-,1,1,-,1,8,1,7,1.01,304,102
2,13218,16,福生市,Fussa-shi,301,150,151,642,328,314,-341,-178,-163,-,-,-,-,-,-,4,1,3,1.09,277,94
2,13219,17,狛江市,Komae-shi,595,300,295,792,418,374,-197,-118,-79,1,1,-,-,-,-,12,4,8,1.11,341,101
2,13220,18,東大和市,Higashiyamato-shi,504,270,234,872,475,397,-368,-205,-163,-,-,-,-,-,-,7,3,4,1.18,315,136
2,13221,19,清瀬市,Kiyose-shi,439,196,243,885,448,437,-446,-252,-194,-,-,-,-,-,-,9,2,7,1.15,225,103
2,13222,20,東久留米市,Higashikurume-shi,697,360,337,1263,693,570,-566,-333,-233,1,-,1,-,-,-,14,10,4,1.23,364,150
2,13223,21,武蔵村山市,Musashimurayama-shi,397,193,204,723,394,329,-326,-201,-125,-,-,-,-,-,-,12,4,8,1.19,226,130
2,13224,22,多摩市,Tama-shi,713,370,343,1464,776,688,-751,-406,-345,2,1,1,1,-,1,17,10,7,0.97,387,181
2,13225,23,稲城市,Inagi-shi,646,323,323,680,354,326,-34,-31,-3,-,-,-,-,-,-,12,7,5,1.28,357,126
2,13227,24,羽村市,Hamura-shi,299,165,134,583,307,276,-284,-142,-142,-,-,-,-,-,-,7,2,5,1.22,168,77
2,13228,25,あきる野市,Akiruno-shi,423,239,184,975,513,462,-552,-274,-278,1,-,1,-,-,-,10,4,6,1.2,211,144
2,13229,26,西東京市,Nishitokyo-shi,1273,649,624,1863,978,885,-590,-329,-261,4,3,1,2,1,1,25,12,13,1.09,717,259
1,13300,,郡部,All gun,254,127,127,1047,516,531,-793,-389,-404,-,-,-,-,-,-,8,5,3,1.13,134,93
2,13303,1,瑞穂町,Mizuho-machi,151,73,78,441,250,191,-290,-177,-113,-,-,-,-,-,-,6,4,2,1.06,96,64
2,13305,2,日の出町,Hinode-machi,81,43,38,345,155,190,-264,-112,-152,-,-,-,-,-,-,2,1,1,1.24,30,21
2,13307,3,檜原村,Hinohara-mura,8,3,5,86,26,60,-78,-23,-55,-,-,-,-,-,-,-,-,-,1.5,2,5
2,13308,4,奥多摩町,Okutama-machi,14,8,6,175,85,90,-161,-77,-84,-,-,-,-,-,-,-,-,-,1.22,6,3
1,13350,,島部,All islands,139,73,66,390,198,192,-251,-125,-126,1,1,-,1,1,-,5,4,1,1.42,80,31
2,13361,1,大島町,Oshima-machi,32,16,16,127,63,64,-95,-47,-48,1,1,-,1,1,-,1,-,1,1.31,22,8
