品目階層,品目,Item,平成31･令和元年 2019／数量 Quantity,平成31･令和元年 2019／金額 Value,令和2年 2020／数量 Quantity,令和2年 2020／金額 Value,令和3年 2021／数量 Quantity,令和3年 2021／金額 Value
0,総数,Total,365388,418975322,349746,375726339,347835,395945108
1,鮮魚,Fresh fish,132620,155596125,128085,141107402,131480,152650789
2,まぐろ類,Tuna,10309,26726056,9769,24003431,11092,27452100
2,かじき類,Swordfish,1269,2069164,1560,2440284,1468,2411141
2,かつお類,Skipjack,6717,3929731,4889,3286346,8189,3841977
2,ぶり類,Yellowtail,27372,19493178,27169,17730207,27565,18146144
2,あじ類,Horse mackerel,12742,8226771,11685,7314904,12647,7108796
2,さわら類,King mackerel,2407,2374506,2113,2098444,2216,2243569
2,いわし類,Sardine,7685,2673046,7410,2628291,6019,2317718
2,いか類,Squid,5754,5671118,7082,6480906,5725,5796634
2,かれい類,Flounder,3759,2465469,3787,2369421,3916,2522213
2,たい類,Sea bream,9881,12439087,11959,11277491,12639,11838195
2,めぬけ類,Rock fish,985,1756006,863,1533161,794,1642234
2,さめ類,Shark,365,145172,352,145747,345,137708
2,さけ・ます類,Salmon and trout,8247,11617997,8006,10702452,7970,11311829
2,たら類,Cod,4162,3512467,4563,3658250,4539,3546708
2,えび類,Shrimp and lobster,1544,5806967,1349,4536495,1355,5208064
2,かに類,Crab,1129,3677708,1062,3404530,1188,3966607
2,あなご類,Conger eel,248,384419,177,267807,159,259499
2,ふぐ類,Puffer,556,1815280,381,1394681,322,1269320
2,その他鮮魚類,Other fresh fish,27492,40811985,23908,35834553,23331,41630332
1,活魚類,Live fish ,12460,19498972,9901,12949714,10290,13222197
1,貝類,Shellfish,25588,31744763,21843,26027011,22140,29927594
2,生鮮貝類,Fresh shellfish,21376,24709614,17861,20022143,17604,21553829
2,冷凍貝類,Frozen shellfish,4212,7035149,3982,6004868,4536,8373764
1,冷凍魚,Frozen fish,72570,93530564,71729,81051485,68458,85891995
2,冷まぐろ類,Frozen tuna,24846,37712024,22893,30243620,20360,31862524
2,冷かじき類,Frozen swordfish,1412,1626839,1190,1258747,1005,1109635
2,冷いか類,Frozen squid,3483,3773518,2633,2793041,2469,2768765
2,冷かれい類,Frozen flounder,2725,2663236,3152,2856754,3600,3104260
2,冷たい類,Frozen sea bream,40,65420,35,43709,36,50901
2,冷さめ類,Frozen shark,2,873,2,1021,11,3295
2,冷さけ・ます類,Frozen salmon and trout,13704,13255577,16843,13314190,18856,16928846
2,冷えび類,Frozen shrimp and lobster,8104,11379946,7471,9878092,7341,10374345
2,冷かに類,Frozen crab,1628,5898391,1192,4394289,1081,4951924
2,その他冷凍魚類,Other frozen fish,16625,17154741,16317,16268022,13699,14737500
1,淡水魚,Freshwater fish,1241,2487088,1161,2180715,1107,1889488
2,生鮮淡水魚類,Fresh freshwater fish,1154,2401985,1064,2115987,993,1820172
2,冷凍淡水魚類,Frozen freshwater fish,87,85103,97,64729,115,69315
1,海そう類,Seaweed,6523,4217277,5894,4104709,5777,3832646
1,加工品,Processed foods,114385,111900533,111134,108305302,108582,108530400
2,塩蔵品類,Salted,13541,22891145,13148,21592522,12922,23754771
2,塩干品類,Salted and dried,16843,11728129,15412,11475895,14782,10783714
2,煮干製品類,Boiled and dried,8078,10763810,8517,9747156,9275,9941636
2,練製品類,"""Surimi""",14999,10672946,14451,10690565,14762,10733718
2,その他,Others,60923,55844503,59606,54799164,56841,53316561
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-2  品目別水産物の入荷数量 （平成31･令和元～令和3年） 10-2 RECEIVED FISHERY PRODUCTS BY ITEM（ 2019-2021 ）,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:鮮魚・活魚類・貝類・冷凍魚・淡水魚・海そう類・加工品　2:水産物種類別),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen)  ,,,,,,,,
