年次,Year,地域,District,港,Harbor,総数 Total,乗船人員 Boarding passengers,降船人員 Deboarding passengers
平成29,2017,,,総数,Total,794736,392632,402104
平成30,2018,,,総数,Total,819030,401371,417659
平成31･令和元,2019,,,総数,Total,807240,394626,412614
令和2,2020,,,総数,Total,445802,219464,226338
令和3,2021,,,総数,Total,438662,213542,225120
令和3,2021,大島町,Oshima-machi,元町港,Motomachi Harbor,15043,7450,7593
令和3,2021,大島町,Oshima-machi,岡田港,Okada Harbor,216390,107163,109227
令和3,2021,大島町,Oshima-machi,波浮港,Habu Harbor,-,-,-
令和3,2021,利島村,Toshima-mura,利島港,Toshima Harbor,11123,5457,5666
令和3,2021,新島村,Niijima-mura,新島港,Niijima Harbor,21407,9626,11781
令和3,2021,新島村,Niijima-mura,野伏港,Nobushi Harbor,21975,10745,11230
令和3,2021,新島村,Niijima-mura,式根島港,Shikinejima Harbor,-,-,-
令和3,2021,神津島村,Kozushima-mura,神津島港,Kozushima Harbor,14322,6708,7614
令和3,2021,三宅村,Miyake-mura,三池港,Miike Harbor,13676,6148,7528
令和3,2021,御蔵島村,Mikurajima-mura,御蔵島港,Mikurajima Harbor,8581,4401,4180
令和3,2021,八丈町,Hachijo-machi,神湊港,Kaminato Harbor,14291,5162,9129
令和3,2021,八丈町,Hachijo-machi,八重根港,Yaene Harbor,720,256,464
令和3,2021,青ヶ島村,Aogashima-mura,青ヶ島港,Aogashima Harbor,1047,527,520
令和3,2021,小笠原村,Ogasawara-mura,二見港,Futami Harbor,78068,38884,39184
令和3,2021,小笠原村,Ogasawara-mura,沖港,Oki Harbor,22019,11015,11004
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-22　港別乗降船人員 (平成29～令和3年）（島しょ港湾） 4-22 NUMBER OF PASSENGERS BY HARBOR ( 2017-2021 )( Harbors of Islands ),,,,,,,,
注) 「野伏港」は令和2年からの調査対象である。,,,,,,,,
Note: “Nobushi Harbor” was added from 2020.,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,
