年次,Year,地域階層,地域コード,項番 Item number,地域,District,木造家屋 Wooden buildings／総数 Total／棟数 Number,木造家屋 Wooden buildings／総数 Total／床面積 Floor space (m2)　,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／棟数 Number,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／床面積 Floor space  (m2),木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／棟数 Number,木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／床面積 Floor space (m2),木造家屋 Wooden buildings／アパート Apartment houses／棟数 Number,木造家屋 Wooden buildings／アパート Apartment houses／床面積 Floor space (m2),木造家屋 Wooden buildings／その他 Others／棟数 Number,木造家屋 Wooden buildings／その他 Others／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／総数 Total／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／総数 Total／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店 Offices， stores， department stores 1)／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店 Offices， stores， department stores 1)／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／その他 Others／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／その他 Others／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／床面積 Floor space (m2) ,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／その他 Others／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／その他 Others／床面積 Floor space (m2)
平成30,2018,0,13000,,東京都,Tokyo-to,1974732,200149088,1575568,153120633,127728,13553734,179265,28365365,92171,5109356,811234,497263430,81817,135893230,633686,306151509,4445,11463612,70651,40756928,20635,2998151,29600,137703188,274710,214798561,273568,112477298,216867,31221949,16098,1049087,391,13347
平成31,2019,0,13000,,東京都,Tokyo-to,1980031,201103648,1586013,154347698,124167,13188929,179030,28510299,90821,5056722,813858,502101920,81804,136875819,636701,309756244,4553,11728977,70176,40737885,20624,3002995,29463,137788941,275435,217628404,274306,114114584,218452,31529274,15811,1027345,391,13372
令和2,2020,0,13000,,東京都,Tokyo-to,1983384,201868493,1595734,155511612,120440,12804924,178115,28563368,89095,4988589,815738,506939561,81636,137725498,639122,313290600,4685,12056729,69880,40864709,20415,3002025,29258,137408888,277543,220290252,273145,116390996,219966,31831457,15433,1004666,393,13302
令和3,2021,0,13000,,東京都,Tokyo-to,1992115,203081732,1609593,157029829,117369,12486859,177530,28630310,87623,4934734,817594,510931925,81429,138020279,641476,316352158,4921,12449625,69366,41121503,20402,2988360,29077,136923737,278351,222715594,273489,118195920,221183,32099551,15104,984594,390,12529
令和4,2022,0,13000,,東京都,Tokyo-to,1999678,204128902,1622148,158455967,114464,12191223,176709,28601110,86357,4880602,818602,514959211,81218,138650189,643338,319547051,4991,12852761,68965,41013225,20090,2895985,28829,136213512,278400,225064495,273602,120366082,222666,32337869,14716,964736,389,12517
令和4,2022,1,13100,,区部,All ku,1141188,116130925,883691,83953484,89537,9304218,133714,20535571,34246,2337652,586172,407838250,57410,117767464,489362,252104640,3534,10301505,35767,27125704,99,538937,25985,122877233,213357,174175889,220220,91836984,120526,18460135,6084,488009,-,-
令和4,2022,2,13101,1,千代田区,Chiyoda-ku,1418,123457,469,38650,477,42435,10,1537,462,40835,9215,25131893,4878,19572119,3853,4151883,141,1066170,338,319525,5,22196,2254,14239568,3751,4585739,2902,6274915,202,22358,106,9313,-,-
令和4,2022,2,13102,2,中央区,Chuo-ku,3901,298604,2158,149297,1248,101636,95,9811,400,37860,11195,23193612,5313,14143214,5404,7676087,203,749952,274,620811,1,3548,2747,11572822,4030,7042425,4109,4536808,250,33698,59,7859,-,-
令和4,2022,2,13103,3,港区,Minato-ku,7471,794260,5326,548798,863,89495,686,106855,596,49112,17123,37367569,5097,19870211,11342,14848375,210,1752623,465,841817,9,54543,2750,17928719,9114,12474492,4264,6805558,880,138140,115,20660,-,-
令和4,2022,2,13104,4,新宿区,Shinjuku-ku,25542,2615366,17966,1702935,2210,223309,4498,624122,868,65000,24525,23771331,3950,9551142,19564,12692826,320,1041645,683,444981,8,40737,2106,10282923,12399,10020464,6911,3013244,2863,427399,246,27301,-,-
令和4,2022,2,13105,5,文京区,Bunkyo-ku,19413,2003260,15123,1496671,1879,189642,1955,279681,456,37266,16204,10865928,1372,2516404,14330,7735294,60,264877,438,234396,4,114957,1214,4055237,6987,4810573,5786,1678711,2040,305994,177,15413,-,-
令和4,2022,2,13106,6,台東区,Taito-ku,15937,1420069,8671,711619,5397,505958,778,102956,1091,99536,21806,12874499,3079,3546816,17394,8282104,515,736049,811,304806,7,4724,1695,3724946,7051,5526422,11673,3462791,1109,132014,278,28326,-,-
令和4,2022,2,13107,7,墨田区,Sumida-ku,25796,2224378,17846,1422832,5177,495912,1468,189354,1305,116280,20997,11957923,1426,2062874,17849,8776979,153,226947,1567,853811,2,37312,951,3178531,4822,4732668,12549,3689404,2506,342762,169,14558,-,-
令和4,2022,2,13108,8,江東区,Koto-ku,26077,2275902,19449,1595418,3635,356456,1795,232343,1198,91685,22650,29739926,1941,6755038,18287,16369039,100,579443,2314,6010940,8,25466,1282,10035406,4631,10931609,14320,8466393,2234,293627,183,12891,-,-
令和4,2022,2,13109,9,品川区,Shinagawa-ku,39526,3830079,29303,2617124,4128,427062,5145,713834,950,72059,22133,20073882,1929,6251101,18874,11595102,115,438772,1214,1786868,1,2039,1152,7050332,8938,8565412,7971,3871226,3846,571508,226,15404,-,-
令和4,2022,2,13110,10,目黒区,Meguro-ku,33753,3883035,25755,2738207,1984,223557,5398,869027,616,52244,21458,9852231,1359,1524261,19484,7889069,47,250547,565,176819,3,11535,491,1861012,11919,5859302,4755,1454544,4130,664681,163,12692,-,-
令和4,2022,2,13111,11,大田区,Ota-ku,95279,9671689,74008,6953297,7657,843002,11083,1702573,2531,172817,46827,27221780,2602,4214028,40447,17024432,217,328214,3556,5631057,5,24049,996,5715497,17949,12775250,16784,7062231,10726,1641596,372,27206,-,-
令和4,2022,2,13112,12,世田谷区,Setagaya-ku,127676,14524920,102256,10812221,4956,557361,18172,3011923,2292,143415,59748,24641306,2797,2688174,54575,21184060,102,149960,2268,612274,6,6838,589,2229347,30988,16083333,11601,3710474,16020,2582333,550,35819,-,-
令和4,2022,2,13113,13,渋谷区,Shibuya-ku,17353,1870146,12463,1250649,1193,128474,3021,449952,676,41071,20913,19374292,4100,8119593,16201,10519713,144,450000,457,202681,11,82305,1552,6876933,12053,9002171,5195,3171242,1931,307499,182,16447,-,-
令和4,2022,2,13114,14,中野区,Nakano-ku,44747,4649550,32252,3057034,2502,252240,9226,1289016,767,51260,21501,9289330,1125,1337034,19826,7742569,44,91500,503,115964,3,2263,436,1538864,9342,5192648,6345,1735520,5163,802508,215,19790,-,-
令和4,2022,2,13115,15,杉並区,Suginami-ku,93706,10270215,72872,7452967,4049,453379,14816,2257372,1969,106497,35364,13016692,1826,1368728,31990,11109959,72,149561,1472,368624,4,19820,518,1428745,15233,7602157,7276,2132246,11781,1810112,556,43432,-,-
令和4,2022,2,13116,16,豊島区,Toshima-ku,31345,3159232,22279,2062044,2712,282384,5652,764561,702,50243,20122,13184960,2133,4078887,17233,8356857,242,489051,506,222899,8,37266,1278,4440098,7783,5829221,7458,2387389,3353,496413,250,31839,-,-
令和4,2022,2,13117,17,北区,Kita-ku,43575,4110079,33112,2916638,3456,352242,5917,769172,1090,72027,19394,10400321,1222,1272428,16877,8112972,79,159279,1214,839995,2,15647,557,2245530,5405,4749016,9118,2820842,4038,563426,276,21507,-,-
令和4,2022,2,13118,18,荒川区,Arakawa-ku,26979,2451707,19561,1643286,4156,417690,2164,296216,1098,94515,13325,6891308,774,709428,11460,5570908,99,130376,991,478497,1,2099,482,1589968,2707,2902424,8204,2138069,1770,247728,162,13119,-,-
令和4,2022,2,13119,19,板橋区,Itabashi-ku,63549,6381893,48745,4543359,4741,491295,8212,1216269,1851,130970,29926,17258541,1853,1587801,25282,13662048,125,271903,2665,1736590,1,199,704,3214689,10944,9198131,11047,3786959,6765,1027004,466,31758,-,-
令和4,2022,2,13120,20,練馬区,Nerima-ku,118811,12492972,98858,9828124,5228,576651,11822,1923610,2903,164587,35822,15729437,1985,1509145,31588,13466187,109,185303,2134,542402,6,26400,485,1936485,12706,8866539,8761,2805650,13363,2088271,507,32492,-,-
