地域階層,地域コード,地域,District,他府県との移動 Inter-prefecture migration／社会増減 Net social increase/decrease,他府県との移動 Inter-prefecture migration／転入 In-migration,他府県との移動 Inter-prefecture migration／転出 Out-migration,都内間の移動増減数 Net migration within Tokyo
0,13000,総数,Tokyo-to,3897,418957,415060,-1653
1,13100,区部,All ku,-4694,321422,326116,-12472
3,13101,千代田区,Chiyoda-ku,387,2922,2535,-637
3,13102,中央区,Chuo-ku,301,6675,6374,133
3,13103,港区,Minato-ku,282,8898,8616,-1200
3,13104,新宿区,Shinjuku-ku,1558,15865,14307,-3960
3,13105,文京区,Bunkyo-ku,711,8313,7602,-627
3,13106,台東区,Taito-ku,427,8406,7979,702
3,13107,墨田区,Sumida-ku,834,10744,9910,-39
3,13108,江東区,Koto-ku,584,16647,16063,768
3,13109,品川区,Shinagawa-ku,-678,14519,15197,-1738
3,13110,目黒区,Meguro-ku,-835,9348,10183,-1857
3,13111,大田区,Ota-ku,-1574,26391,27965,-567
3,13112,世田谷区,Setagaya-ku,-2106,28181,30287,-1073
3,13113,渋谷区,Shibuya-ku,260,7845,7585,-1088
3,13114,中野区,Nakano-ku,999,13183,12184,-1997
3,13115,杉並区,Suginami-ku,948,18426,17478,-3427
3,13116,豊島区,Toshima-ku,-396,11746,12142,-2221
3,13117,北区,Kita-ku,-987,13224,14211,986
3,13118,荒川区,Arakawa-ku,-184,6863,7047,138
3,13119,板橋区,Itabashi-ku,-614,19476,20090,733
3,13120,練馬区,Nerima-ku,-1159,21094,22253,1843
3,13121,足立区,Adachi-ku,-205,19940,20145,2247
3,13122,葛飾区,Katsushika-ku,-418,12842,13260,1480
3,13123,江戸川区,Edogawa-ku,-2829,19874,22703,-1071
1,13200,市部,All shi,8684,96178,87494,10435
3,13201,八王子市,Hachioji-shi,1998,13338,11340,1435
3,13202,立川市,Tachikawa-shi,531,4357,3826,672
3,13203,武蔵野市,Musashino-shi,568,4191,3623,-11
3,13204,三鷹市,Mitaka-shi,342,4672,4330,353
3,13205,青梅市,Ome-shi,157,1719,1562,94
3,13206,府中市,Fuchu-shi,1098,6452,5354,-496
3,13207,昭島市,Akishima-shi,38,2050,2012,626
3,13208,調布市,Chofu-shi,205,5929,5724,357
3,13209,町田市,Machida-shi,2023,12926,10903,1414
3,13210,小金井市,Koganei-shi,341,3516,3175,482
3,13211,小平市,Kodaira-shi,213,4314,4101,261
3,13212,日野市,Hino-shi,261,3855,3594,543
3,13213,東村山市,Higashimurayama-shi,-223,2757,2980,1202
3,13214,国分寺市,Kokubunji-shi,502,3451,2949,632
3,13215,国立市,Kunitachi-shi,185,1967,1782,141
3,13218,福生市,Fussa-shi,-64,1203,1267,-291
3,13219,狛江市,Komae-shi,-93,2142,2235,72
3,13220,東大和市,Higashiyamato-shi,-44,1044,1088,349
3,13221,清瀬市,Kiyose-shi,166,1814,1648,298
3,13222,東久留米市,Higashikurume-shi,-129,2032,2161,807
3,13223,武蔵村山市,Musashimurayama-shi,90,1018,928,99
3,13224,多摩市,Tama-shi,219,2937,2718,-292
3,13225,稲城市,Inagi-shi,533,2554,2021,290
3,13227,羽村市,Hamura-shi,151,1019,868,26
3,13228,あきる野市,Akiruno-shi,-4,881,885,450
3,13229,西東京市,Nishitokyo-shi,-380,4040,4420,922
1,13300,郡部,All gun,-5,702,707,415
3,13303,瑞穂町,Mizuho-machi,-21,454,475,107
3,13305,日の出町,Hinode-machi,-1,190,191,214
3,13307,檜原村,Hinohara-mura,8,23,15,34
3,13308,奥多摩町,Okutama-machi,9,35,26,60
1,13350,島部,All islands,-88,655,743,-31
2,13360,大島支庁,Oshima-shicho,-53,240,293,-28
3,13361,大島町,Oshima-machi,-50,139,189,-4
3,13362,利島村,Toshima-mura,9,21,12,11
3,13363,新島村,Niijima-mura,-14,39,53,-30
3,13364,神津島村,Kozushima-mura,2,41,39,-5
2,13380,三宅支庁,Miyake-shicho,5,100,95,-4
3,13381,三宅村,Miyake-mura,3,78,75,7
3,13382,御蔵島村,Mikurajima-mura,2,22,20,-11
2,13400,八丈支庁,Hachijo-shicho,-7,159,166,2
3,13401,八丈町,Hachijo-machi,-10,150,160,-1
3,13402,青ヶ島村,Aogashima-mura,3,9,6,3
2,13420,小笠原支庁,Ogasawara-shicho,-33,156,189,-1
3,13421,小笠原村,Ogasawara-mura,-33,156,189,-1
,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,
2-6  地域別移動人口（令和3年中） 2-6  POPULATION MIGRATION BY DISTRICT ( 2021 ),,,,,,,
この表は住民基本台帳による届出時点の数字である。,,,,,,,
Data refer to numbers reported on the Basic Resident Registers during the stated year. ,,,,,,,
資料：都総務局統計部人口統計課 「人口の動き-「東京都の人口（推計)」年報-」 Source: Bureau of General Affairs， TMG,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,
