年次,Year,受理 Received／総数 Total,受理 Received／総務 General Affairs,受理 Received／財政 Finance,受理 Received／文教 Education,受理 Received／都市整備 Urban Development,受理 Received／厚生 Welfare,受理 Received／経済・港湾 Economic Affairs， Port & Harbor,受理 Received／環境・建設 Environment and Construction,受理 Received／公営企業 Public Enterprises,受理 Received／警察・消防 Police and Fire Fighting,受理 Received／議会運営 Rules and Administration of the Assembly,処理 Disposed／総数 Total,処理 Disposed／総務 General Affairs,処理 Disposed／財政 Finance,処理 Disposed／文教 Education,処理 Disposed／都市整備 Urban Development,処理 Disposed／厚生 Welfare,処理 Disposed／経済・港湾 Economic Affairs， Port & Harbor,処理 Disposed／環境・建設 Environment and Construction,処理 Disposed／公営企業 Public Enterprises,処理 Disposed／警察・消防 Police and Fire Fighting,処理 Disposed／議会運営 Rules and Administration of the Assembly,取下げ Withdrawal,審議未了 Shelved,継続審査 Continuing
平成29,2017,170,13,53,24,16,30,14,10,2,-,8,146,20,53,22,10,16,15,8,1,-,1,5,60,88
平成30,2018,139,1,51,18,18,22,6,14,2,2,5,121,2,51,21,9,16,6,11,2,2,1,3,-,103
平成31･令和元,2019,121,9,51,21,10,10,7,7,1,2,3,118,5,51,16,13,15,6,7,1,1,3,-,-,106
令和2,2020,150,4,50,15,28,21,9,15,3,3,2,135,7,52,19,11,17,10,15,2,2,-,5,-,116
令和3,2021,137,10,54,13,3,23,7,14,5,-,8,117,6,51,11,5,19,3,11,5,-,6,-,60,76
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,
22-3  都議会委員会別請願及び陳情件数 （平成29～令和3年） 22-3  ACCEPTANCE AND DISPOSAL OF PETITIONS BY TOKYO METROPOLITAN ASSEMBLY COMMITTEE ( 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都議会局議事部議案法制課 Source: Secretariat to the Tokyo Metropolitan Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,
