年次,Year,月次 ,Month,交換高 Clearings／枚数 (千枚) Number (thousand),交換高 Clearings／金額 (億円) Value (hundred million yen),交換高 Clearings／差額 (億円) Balance (hundred million yen),手形1枚の平均金額 (千円) Average value of a bill (thousand yen),交換日数 Transaction days,1日平均交換高 Daily average clearings／枚数 (千枚) Number (thousand),1日平均交換高 Daily average clearings／金額 (億円)Value (hundred  million yen),,,,,,,,,,,,,,,,
平成29,2017,総数,Total,17668,1362734,570459,7713,247,71,5517,,,,,,,,,,,,,,,,
平成30,2018,総数,Total,16329,1245978,549844,7630,245,66,5085,,,,,,,,,,,,,,,,
平成31･令和元,2019,総数,Total,15282,1205468,543818,7888,241,63,5001,,,,,,,,,,,,,,,,
令和2,2020,総数,Total,13104,789921,344245,6028,243,53,3250,,,,,,,,,,,,,,,,
令和3,2021,総数,Total,11512,743908,329069,6462,245,46,3036,,,,,,,,,,,,,,,,
令和3,2021,1,Jan.,875,58749,27315,6714,19,46,3092,,,,,,,,,,,,,,,,
令和3,2021,2,Feb.,900,50399,21215,5600,18,50,2799,,,,,,,,,,,,,,,,
令和3,2021,3,Mar.,1202,94675,35853,7876,23,52,4116,,,,,,,,,,,,,,,,
令和3,2021,4,Apr.,975,56646,25696,5810,21,46,2697,,,,,,,,,,,,,,,,
令和3,2021,5,May,930,61632,31726,6627,18,51,3424,,,,,,,,,,,,,,,,
令和3,2021,6,June,1018,56854,29041,5585,22,46,2584,,,,,,,,,,,,,,,,
令和3,2021,7,July,895,54539,26406,6094,20,44,2726,,,,,,,,,,,,,,,,
令和3,2021,8,Aug.,1032,59371,28165,5753,21,49,2827,,,,,,,,,,,,,,,,
令和3,2021,9,Sept.,904,81599,28801,9026,20,45,4079,,,,,,,,,,,,,,,,
令和3,2021,10,Oct.,785,53301,25254,6790,21,37,2538,,,,,,,,,,,,,,,,
令和3,2021,11,Nov.,1008,54506,22473,5407,20,50,2725,,,,,,,,,,,,,,,,
令和3,2021,12,Dec.,983,61632,27119,6270,22,44,2801,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-8  東京手形交換所扱い手形交換高 (平成29～令和3年) 15-8  AMOUNT OF BILLS CLEARED AT THE TOKYO CLEARING HOUSE ( 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
