年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成31･令和元,2019,0,13000,総数,Tokyo-to,,,,24327,17852,19435,2899,5961,6718,1815,2042,82,78858,24999,9155,3918,310,25547,13152,1777,43432,320770,175718
令和2,2020,0,13000,総数,Tokyo-to,,,,23856,17359,18197,2844,5858,5422,1794,2279,126,78152,24542,9444,3753,282,24798,13332,2001,40869,319565,168033
令和3,2021,0,13000,総数,Tokyo-to,,,,25004,17642,18567,2828,5918,5340,2077,2404,93,81970,25165,10084,4040,254,25955,14218,2254,40139,336208,167319
令和3,2021,1,13100,区部,All ku,,,,17496,12204,12850,1889,3961,3804,1518,1678,87,58819,17649,8799,2709,205,18084,9947,1426,28146,242965,117438
令和3,2021,2,13101,千代田区,Chiyoda-ku,1,丸の内署,Marunouchi F. Sta.,49,34,42,8,11,20,3,-,-,152,61,9,2,1,53,21,5,95,629,383
令和3,2021,2,13101,千代田区,Chiyoda-ku,2,麹町署,Kojimachi F. Sta．,106,87,114,13,36,46,14,5,-,400,139,40,-,18,131,68,4,263,1629,1105
令和3,2021,2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda F. Sta.,104,71,81,14,30,28,7,2,-,360,131,47,1,-,113,58,10,191,1551,819
令和3,2021,2,13102,中央区,Chuo-ku,4,京橋署,Kyobashi F. Sta.,126,96,93,12,18,51,4,8,-,417,121,55,37,1,133,68,2,251,1771,1051
令和3,2021,2,13102,中央区,Chuo-ku,5,日本橋署,Nihonbashi F. Sta.,193,158,196,16,33,109,24,14,-,624,231,56,13,3,210,69,42,420,2451,1601
令和3,2021,2,13102,中央区,Chuo-ku,6,臨港署,Rinko F. Sta.,115,82,90,19,20,27,5,19,-,615,87,75,74,-,136,109,134,308,2801,1414
令和3,2021,2,13103,港区,Minato-ku,7,芝署,Shiba F. Sta.,234,165,201,35,39,92,27,8,-,755,224,89,61,1,257,112,11,414,3159,1769
令和3,2021,2,13103,港区,Minato-ku,8,麻布署,Azabu F. Sta.,149,114,138,21,30,54,28,5,-,448,174,51,-,1,154,68,-,233,1851,999
令和3,2021,2,13103,港区,Minato-ku,9,赤坂署,Akasaka F. Sta.,98,78,87,8,22,30,18,9,8,396,150,47,-,10,108,62,19,235,1639,996
令和3,2021,2,13103,港区,Minato-ku,10,高輪署,Takanawa F. Sta.,147,89,95,6,18,35,23,13,10,497,134,69,45,2,157,79,11,212,2170,986
令和3,2021,2,13109,品川区,Shinagawa-ku,11,品川署,Shinagawa F. Sta.,224,147,163,30,48,51,18,16,-,758,230,111,32,3,234,133,15,352,3129,1464
令和3,2021,2,13109,品川区,Shinagawa-ku,12,大井署,Oi F. Sta.,212,152,147,21,38,70,12,6,-,694,227,95,15,13,221,117,6,369,2927,1535
令和3,2021,2,13109,品川区,Shinagawa-ku,13,荏原署,Ebara F. Sta.,199,147,147,17,57,37,7,29,1,696,243,106,2,2,206,119,18,408,2931,1713
令和3,2021,2,13111,大田区,Ota-ku,14,大森署,Omori F. Sta.,388,270,297,27,119,100,23,28,-,1259,343,183,90,6,409,215,13,636,5226,2580
