年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成29,2017,,,34187100,34218189,8382572,8347678,164762,349079,394463,249751,291388,32641,19918,20817,20297
平成30,2018,,,33430912,33493850,8895477,8890255,183248,324058,359554,281121,306410,32300,18227,22167,21147
平成31･令和元,2019,,,34193428,34189383,9169929,9169388,198165,307426,338006,259987,300257,32908,16815,18507,20610
令和2,2020,,,13956605,14109345,1477540,1551894,99659,210994,227375,173319,160310,30523,14710,12486,11435
令和3,2021,,,12953751,12881693,346298,311904,64217,195938,198044,233837,200237,28550,14751,12644,8878
令和3,2021,1,Jan.,525034,704674,27044,18028,3086,14784,15462,17286,13681,2524,1226,1021,729
令和3,2021,2,Feb.,577794,578324,13660,11511,2385,13610,13910,18396,13329,2114,1055,926,647
令和3,2021,3,Mar.,1081192,1100764,18559,18771,2804,16528,17602,23074,17858,2672,1212,1113,713
令和3,2021,4,Apr.,999545,938134,22814,16505,4859,15499,16108,23396,17945,2535,1219,1107,707
令和3,2021,5,May,718889,811694,19876,19774,5800,13452,14119,21538,17357,2413,1184,1057,767
令和3,2021,6,June,786997,784126,24912,24922,7067,14662,15054,21566,16431,2447,1269,1139,765
令和3,2021,7,July,1124321,1075788,33814,47149,4738,16692,18710,17636,17332,2305,1193,1016,830
令和3,2021,8,Aug.,1093098,1138971,54106,35563,7079,15584,15497,19347,16190,1963,1091,1121,740
令和3,2021,9,Sept.,896331,909154,36504,24687,4644,15974,15417,18866,16025,2147,1169,999,751
令和3,2021,10,Oct.,1366119,1354587,29009,26683,3957,17884,16040,17828,17914,2469,1236,1032,695
令和3,2021,11,Nov.,1709262,1735566,31023,28759,5714,18004,16651,17671,18224,2231,1320,999,653
令和3,2021,12,Dec.,2075169,1749911,34977,39552,12084,23265,23474,17233,17951,2729,1579,1113,881
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (1)　東京国際空港 (羽田) (平成29～令和3年) 4-23 TRANSPORTATION BY ＡIR (1) TOKYO INTERNATIONAL AIRPORT ( HANEDA ) ( 2017-2021 ),,,,,,,,,,,,,,,,
資料：国土交通省「空港管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
