項番 Item number,観測地,Observatory,平成29年 2017 平均 Average,平成30年 2018 平均 Average,平成31・令和元年 2019 平均 Average,令和2年 2020 平均 Average,令和3年 2021 平均 Average,令和3年 2021 平均 Average／1月 Jan.,令和3年 2021 平均 Average／2月 Feb.,令和3年 2021 平均 Average／3月 Mar.,令和3年 2021 平均 Average／4月 Apr.,令和3年 2021 平均 Average／5月 May,令和3年 2021 平均 Average／6月 June,令和3年 2021 平均 Average／7月 July,令和3年 2021 平均 Average／8月 Aug.,令和3年 2021 平均 Average／9月 Sept.,令和3年 2021 平均 Average／10月 Oct.,令和3年 2021 平均 Average／11月 Nov.,令和3年 2021 平均 Average／12月 Dec.
1,東京,Tokyo,15.8,16.8,16.5,16.5,16.6,5.4,8.5,12.8,15.1,19.6,22.7,25.9,27.4,22.3,18.2,13.7,7.9
2,江戸川臨海,Edogawarinkai,15.9,16.9,16.5,16.5,16.7,5.7,8.7,12.6,15,19.3,22.7,25.7,27.1,22.4,18.4,14.2,8.2
3,練馬,Nerima,15.6,16.6,16.3,16.4,16.3,4.7,7.6,12.5,15,19.7,22.8,26.3,27.7,22.3,17.9,12.7,6.8
4,府中,Fuchu,15.2,16.2,15.8,15.9,15.9,4.3,7.3,11.9,14.4,19.1,22.2,25.6,27,21.9,17.5,12.3,6.7
5,八王子,Hachioji,14.6,15.7,15.3,15.4,15.3,3.6,6.5,11.3,13.9,18.8,22,25.3,26.6,21.5,17,11.7,5.9
6,青梅,Ome,14.4,15.4,15,15.1,15,3.2,6,10.9,13.6,18.3,21.6,25,26.3,21.1,16.8,11.3,5.7
7,小河内,Ogochi,12.1,13.2,12.8,12.9,12.8,1.6,4.4,8.8,11.2,16.1,19.1,22.7,23.7,18.7,14.4,9,3.9
8,羽田,Haneda,16.3,17.3,17,17.2,17.2,6.4,9.1,13,15.4,19.8,22.9,26.1,27.7,22.8,18.9,14.8,9
9,大島,Oshima,16.4,17.3,17.2,17.4,17.3,8.2,10.4,13.5,14.9,18.9,21.9,25.3,26.7,22.8,19.3,15.1,10.7
10,新島,Niijima,17.5,18.5,18.5,18.6,18.4,9.8,11.4,14.6,16,20,22.5,25.9,27.4,24.3,20.8,16.5,12
11,三宅島,Miyakejima,17.8,18.8,18.9,18.9,18.7,10.6,11.8,14.8,16.3,20.3,22.3,25.8,27.2,24.5,21,17.1,12.7
12,八丈島,Hachijojima,17.7,18.7,18.7,18.8,18.4,10.7,11.8,14.7,16.2,20,21.6,25,26.4,24.5,20.7,16.8,12.7
13,父島,Chichijima,23.4,24.1,23.9,24.2,23.9,19,18.7,20.8,21.1,25.2,26.7,28.1,27.9,28.6,26.5,23.1,20.5
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,
1-7  観測地別平均気温 （平成29～令和3年） 1-7  AVERAGE TEMPERATURE BY OBSERVATORY ( 2017-2021 ),,,,,,,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,,,,,,
（単位　℃）(In ℃),,,,,,,,,,,,,,,,,,,
