年次,Year,月次,Month,区分,Classification,総数 Total,農，水産品 Agricultural and fishery products,金属 Metals,金属製品，機械 Metal products and machinery,窯業品 Ceramics,化学工業品 Chemicals,紙 ，パルプ Paper and pulp,繊維工業品 Textiles,食料工業品 Processed food,雑工業品 Miscellaneous manufactured articles,雑品 Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,
平成31･令和元,2019,,,入庫, Incoming,9273140,674577,4300,768589,17664,341966,2110879,16508,2257943,1126074,1954640,,,,,,,,,,,,,,,,,,,,,,,
令和2,2020,,,入庫, Incoming,8191905,665104,5336,694041,19851,322754,1724538,14000,2168545,928598,1649138,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,,,入庫, Incoming,8394247,666851,7701,722757,21825,431055,1816239,14861,2161009,947383,1604566,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,1,Jan.,入庫, Incoming,624577,41517,492,65464,1687,22876,132242,1176,156848,75696,126579,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,2,Feb.,入庫, Incoming,612495,60257,438,58425,1990,22375,136267,1120,139072,78873,113678,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,3,Mar.,入庫, Incoming,783414,66341,415,72117,1563,26112,171006,1046,207810,81498,155506,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,4,Apr.,入庫, Incoming,826491,56193,691,64126,1404,156373,150766,992,181302,75128,139516,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,5,May,入庫, Incoming,638807,51271,642,59148,1680,26368,147358,1034,157053,74497,119756,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,6,June,入庫, Incoming,693930,60720,947,62007,2156,25758,146056,1121,184051,73814,137300,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,7,July,入庫, Incoming,677460,54316,583,64258,1675,20044,144583,1193,172966,78037,139805,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,8,Aug.,入庫, Incoming,680941,66883,702,51754,1744,25865,154313,909,171025,77782,129964,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,9,Sept.,入庫, Incoming,683459,54430,624,54718,1550,24332,153839,713,189646,80185,123422,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,10,Oct.,入庫, Incoming,693552,52388,686,57333,2396,25134,161890,2553,184236,82133,124803,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,11,Nov.,入庫, Incoming,736420,45115,732,56159,2175,25992,158025,1361,201009,82589,163263,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,12,Dec.,入庫, Incoming,742701,57420,749,57248,1805,29826,159894,1643,215991,87151,130974,,,,,,,,,,,,,,,,,,,,,,,
平成31･令和元,2019,,,在庫, Inventory balance,1758837,85203,3209,143746,1520,110711,299016,7631,401037,205048,501716,,,,,,,,,,,,,,,,,,,,,,,
令和2,2020,,,在庫, Inventory balance,1548108,87152,3578,143399,2555,119236,232806,4272,315793,178817,460500,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,,,在庫, Inventory balance,1498377,89362,3696,118198,2965,136558,263160,3241,293245,203803,384149,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,1,Jan.,在庫, Inventory balance,1563178,78933,3550,152745,2439,119538,230308,4075,330422,179178,461990,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,2,Feb.,在庫, Inventory balance,1484361,92437,3526,134270,2894,119238,228258,4133,300514,180404,418687,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,3,Mar.,在庫, Inventory balance,1512685,89842,3336,133484,2918,119417,234370,3852,306949,178353,440164,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,4,Apr.,在庫, Inventory balance,1632843,87691,3527,131786,2404,250594,238017,3544,307307,178515,429458,,,,,,,,,,,,,,,,,,,,,,,
