年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成28,2016,0,13000,東京都,Tokyo-to,2098483,835763,1262720,153890,61290,92600,308164,122732,185431
平成29,2017,0,13000,東京都,Tokyo-to,2129700,847566,1282134,154967,61673,93294,308136,122630,185505
平成30,2018,0,13000,東京都,Tokyo-to,2190975,871994,1318980,158269,62990,95279,312538,124388,188150
令和元,2019,0,13000,東京都,Tokyo-to,2263211,900755,1362456,162320,64603,97717,318122,126612,191510
令和2,2020,0,13000,東京都,Tokyo-to,2305964,918676,1387288,164154,65397,98756,319068,127114,191954
令和2,2020,1,13100,区部,All ku,1771232,705373,1065859,181977,72470,109507,339586,135236,204350
令和2,2020,2,13101,千代田区,Chiyoda-ku,29939,11934,18004,448991,178978,270013,808914,322452,486462
令和2,2020,2,13102,中央区,Chuo-ku,50338,20009,30329,297541,118271,179270,543996,216236,327760
令和2,2020,2,13103,港区,Minato-ku,130088,51835,78253,499403,198992,300411,890036,354643,535393
令和2,2020,2,13104,新宿区,Shinjuku-ku,75700,30146,45554,216667,86284,130383,339768,135307,204461
令和2,2020,2,13105,文京区,Bunkyo-ku,58695,23386,35308,244491,97415,147076,439131,174968,264163
令和2,2020,2,13106,台東区,Taito-ku,34522,13742,20781,163270,64990,98280,277634,110513,167121
令和2,2020,2,13107,墨田区,Sumida-ku,40452,16095,24357,148674,59154,89520,277509,110414,167095
令和2,2020,2,13108,江東区,Koto-ku,85634,34107,51527,163327,65051,98276,324030,129057,194973
令和2,2020,2,13109,品川区,Shinagawa-ku,82802,33002,49799,195986,78114,117872,348432,138875,209558
令和2,2020,2,13110,目黒区,Meguro-ku,76517,30501,46016,265604,105874,159730,491394,195878,295516
令和2,2020,2,13111,大田区,Ota-ku,122087,48538,73549,163200,64883,98317,305091,121295,183797
令和2,2020,2,13112,世田谷区,Setagaya-ku,206256,82133,124122,218569,87037,131532,419163,166915,252248
令和2,2020,2,13113,渋谷区,Shibuya-ku,88001,35345,52656,360835,144927,215907,586805,235687,351118
令和2,2020,2,13114,中野区,Nakano-ku,56566,22503,34063,164016,65249,98767,271830,108140,163691
令和2,2020,2,13115,杉並区,Suginami-ku,107197,42681,64515,181349,72206,109143,318716,126900,191817
令和2,2020,2,13116,豊島区,Toshima-ku,52354,20841,31513,173587,69101,104486,284811,113377,171434
令和2,2020,2,13117,北区,Kita-ku,47668,18975,28693,134195,53418,80777,251280,100024,151256
令和2,2020,2,13118,荒川区,Arakawa-ku,28167,11202,16965,129517,51510,78007,251468,100012,151457
令和2,2020,2,13119,板橋区,Itabashi-ku,74260,29539,44721,127053,50539,76514,236162,93940,142222
令和2,2020,2,13120,練馬区,Nerima-ku,108594,43225,65369,144290,57433,86857,289706,115314,174391
令和2,2020,2,13121,足立区,Adachi-ku,76290,30321,45969,109763,43625,66138,220909,87800,133109
令和2,2020,2,13122,葛飾区,Katsushika-ku,53381,21229,32152,117815,46855,70960,247194,98308,148886
令和2,2020,2,13123,江戸川区,Edogawa-ku,85726,34082,51644,122829,48834,73995,257281,102288,154993
令和2,2020,1,13200,市部,All shi,527449,210411,317039,124563,49691,74872,266835,106446,160389
令和2,2020,2,13201,八王子市,Hachioji-shi,62443,25467,36976,107780,43958,63822,233851,95376,138475
令和2,2020,2,13202,立川市,Tachikawa-shi,22600,8980,13620,123108,48915,74193,251878,100080,151799
令和2,2020,2,13203,武蔵野市,Musashino-shi,30325,12081,18243,201965,80462,121503,388510,154781,233729
令和2,2020,2,13204,三鷹市,Mitaka-shi,30582,12191,18391,156517,62394,94124,317278,126479,190799
令和2,2020,2,13205,青梅市,Ome-shi,12832,5093,7740,96096,38136,57960,227026,90096,136930
令和2,2020,2,13206,府中市,Fuchu-shi,34092,13557,20535,129730,51589,78141,275086,109392,165694
令和2,2020,2,13207,昭島市,Akishima-shi,12035,4787,7248,105616,42012,63603,230716,91775,138940
令和2,2020,2,13208,調布市,Chofu-shi,35468,14112,21356,146190,58167,88023,293255,116683,176572
令和2,2020,2,13209,町田市,Machida-shi,51724,20565,31158,119987,47707,72280,269373,107103,162270
令和2,2020,2,13210,小金井市,Koganei-shi,18415,7329,11086,146063,58132,87931,291456,115997,175459
令和2,2020,2,13211,小平市,Kodaira-shi,24080,9576,14504,121164,48186,72978,263783,104905,158878
令和2,2020,2,13212,日野市,Hino-shi,22602,8992,13610,118686,47221,71466,250012,99470,150541
令和2,2020,2,13213,東村山市,Higashimurayama-shi,16016,6362,9654,105496,41908,63588,233883,92909,140974
令和2,2020,2,13214,国分寺市,Kokubunji-shi,19645,7810,11836,152004,60427,91576,307140,122100,185040
令和2,2020,2,13215,国立市,Kunitachi-shi,12069,4803,7266,156479,62272,94207,315330,125488,189842
令和2,2020,2,13218,福生市,Fussa-shi,5726,2273,3453,101499,40289,61210,203424,80748,122676
令和2,2020,2,13219,狛江市,Komae-shi,11411,4540,6871,134605,53553,81052,267757,106528,161229
令和2,2020,2,13220,東大和市,Higashiyamato-shi,9011,3580,5431,107398,42669,64728,247985,98525,149460
令和2,2020,2,13221,清瀬市,Kiyose-shi,7708,3065,4643,101148,40223,60925,220218,87572,132646
令和2,2020,2,13222,東久留米市,Higashikurume-shi,12887,5121,7766,111794,44422,67372,251609,99979,151630
令和2,2020,2,13223,武蔵村山市,Musashimurayama-shi,6393,2537,3856,90260,35820,54440,213258,84632,128627
令和2,2020,2,13224,多摩市,Tama-shi,17908,7118,10790,121864,48437,73427,261755,104039,157716
令和2,2020,2,13225,稲城市,Inagi-shi,12057,4794,7262,129430,51468,77962,302124,120140,181984
令和2,2020,2,13227,羽村市,Hamura-shi,5937,2359,3578,109286,43420,65866,249363,99074,150289
令和2,2020,2,13228,あきる野市,Akiruno-shi,7579,3010,4570,95588,37959,57629,237694,94391,143303
令和2,2020,2,13229,西東京市,Nishitokyo-shi,25906,10307,15598,124914,49701,75213,267018,106241,160777
令和2,2020,1,13300,郡部,All gun,4876,1936,2941,87901,34894,53007,223197,88602,134595
令和2,2020,2,13303,瑞穂町,Mizuho-machi,3048,1210,1838,95958,38101,57857,234164,92977,141187
令和2,2020,2,13305,日の出町,Hinode-machi,1344,534,810,79249,31473,47776,223537,88776,134760
令和2,2020,2,13307,檜原村,Hinohara-mura,136,54,82,67799,26846,40954,162637,64398,98240
令和2,2020,2,13308,奥多摩町,Okutama-machi,349,138,211,73389,29053,44337,175705,69557,106149
令和2,2020,1,13350,島部,All islands,2406,956,1450,98354,39086,59268,188044,74728,113316
令和2,2020,2,13361,大島町,Oshima-machi,643,255,388,90482,35920,54562,173115,68723,104391
令和2,2020,2,13362,利島村,Toshima-mura,36,14,22,109655,43551,66104,185788,73788,112000
令和2,2020,2,13363,新島村,Niijima-mura,212,84,128,86745,34376,52370,182068,72151,109917
令和2,2020,2,13364,神津島村,Kozushima-mura,164,66,98,88440,35632,52808,203039,81804,121235
令和2,2020,2,13381,三宅村,Miyake-mura,252,100,152,110812,44023,66788,182916,72669,110247
令和2,2020,2,13382,御蔵島村,Mikurajima-mura,33,13,20,101579,40588,60991,175455,70107,105348
令和2,2020,2,13401,八丈町,Hachijo-machi,575,228,347,81625,32366,49259,152589,60504,92085
令和2,2020,2,13402,青ヶ島村,Aogashima-mura,27,11,17,162335,63311,99024,232496,90674,141822
令和2,2020,2,13421,小笠原村,Ogasawara-mura,465,185,280,158640,63137,95503,316307,125887,190421
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,
21-8  地域別個人住民税負担額 (平成28～令和2年度) 21-8  INHABITANT TAX ON INDIVIDUALS LEVIED BY DISTRICT ( Fiscal Years 2016-2020 ),,,,,,,,,,,,,,
この表の住民負担額のうち特別区の区域分は都民税及び特別区民税の収入額，その他の区域分は都民税及び市町村税の収入額による。また，負担額の算出に用いた人口及び世帯数は各年度とも10月1日現在のものである。,,,,,,,,,,,,,,
The individual inhabitant tax for the ku area is revenue from the metropolitan and municipal ku inhabitant taxes， and for the other districts is revenue from the metropolitan and municipal shi， machi， mura inhabitant taxes. The populations and houshold numbers used to calculate the levied amounts are as of Oct. 1 of the fiscal years stated.,,,,,,,,,,,,,,
資料：都主税局税制部歳入課 Source: Bureau of Taxation， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,
