品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,東京（港） Tokyo (Seaport),羽田（空港） Haneda (Airport),羽田（空港） Haneda (Airport),,,,
総額,Total,,,,,,,5233124,243013,10158849,,,,
食料品及び動物,Food and live animals,,,,,,,118076,8017,60099,,,,
食料品及び動物,Food and live animals,魚介類及び同調製品,Fish and fish preparation,,,,,…,4235,…,,,,
食料品及び動物,Food and live animals,魚介類及び同調製品,Fish and fish preparation,魚介類,Fish,,,…,4067,…,,,,
食料品及び動物,Food and live animals,魚介類及び同調製品,Fish and fish preparation,魚介類,Fish,（鮮魚、冷蔵魚及び冷凍魚）,"(Fish, fresh, chilled, frozen)",…,2780,…,,,,
飲料及びたばこ,Beverages and tobacco,,,,,,,20847,761,4706,,,,
原材料,Crude materials,,,,,,,79797,103,7904,,,,
鉱物性燃料,Mineral fuels,,,,,,,3263,1,704,,,,
動植物性油脂,"Animal & vegetable oil, fat",,,,,,,4489,0,194,,,,
化学製品,Chemicals,,,,,,,727251,49822,1337884,,,,
化学製品,Chemicals,元素及び化合物,"Chemical elements, compound",,,,,…,3672,301105,,,,
化学製品,Chemicals,元素及び化合物,"Chemical elements, compound",有機化合物,Organic chemicals,,,…,2912,…,,,,
化学製品,Chemicals,医薬品,Medical products,,,,,…,41475,276793,,,,
化学製品,Chemicals,精油・香料及び化粧品類,"Essential oils, perfume",,,,,157233,…,…,,,,
化学製品,Chemicals,プラスチック,Plastic materials,,,,,244391,…,220124,,,,
化学製品,Chemicals,その他の化学製品,Chemical materials n.e.s.,,,,,168935,2196,325816,,,,
原料別製品,Manufactured goods,,,,,,,399863,7479,724220,,,,
原料別製品,Manufactured goods,非鉄金属,Nonferrous metals,,,,,…,…,376621,,,,
原料別製品,Manufactured goods,金属製品,Manufactures of metals,,,,,…,5975,…,,,,
機械類及び輸送用機器,"Machinery, transport equip.",,,,,,,3004287,21970,4179317,,,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery ,,,,,1673237,5879,1606630,,,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery ,原動機,Power generating machine,,,258815,…,…,,,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery ,原動機,Power generating machine,（内燃機関）,(Internal combution engines),232552,…,…,,,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery ,事務用機器,Office machines,,,350828,…,…,,,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery ,事務用機器,Office machines,（電算機類の部分品）,(Parts of cumputer),266919,…,…,,,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery ,ポンプ及び遠心分離機,Pump and centrifuges,,,135535,…,…,,,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery ,半導体等製造装置,Semicon machinery etc,,,269913,2087,849806,,,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery ,半導体等製造装置,Semicon machinery etc,（半導体製造装置）,(Semiconductor machinery),159242,…,487524,,,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,,,,,942948,15758,2523383,,,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,重電機器,Electrical power machinery,,,…,2169,…,,,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,電気回路等の機器,Electrical apparatus,,,159065,2347,377181,,,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,電気回路等の機器,Electrical apparatus,（電気回路の開閉用、保護用機器）,"(Switches,relays,fuses etc.)",…,…,206458,,,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,半導体等電子部品,Semiconductors etc,,,…,6926,743790,,,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,半導体等電子部品,Semiconductors etc,（個別半導体）,(Transistors and diodes),…,…,206356,,,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,半導体等電子部品,Semiconductors etc,（ＩＣ）,(Integrated circuits),…,6730,385059,,,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,電気計測機器,Electrical measuring,,,170696,…,391020,,,,
機械類及び輸送用機器,"Machinery, transport equip.",輸送用機器,Transport equipment,,,,,388102,…,…,,,,
機械類及び輸送用機器,"Machinery, transport equip.",輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,303338,…,…,,,,
雑製品,Miscellaneous articles,,,,,,,440351,8001,1101274,,,,
雑製品,Miscellaneous articles,精密機器類,Precision instruments,,,,,166430,1818,616469,,,,
雑製品,Miscellaneous articles,精密機器類,Precision instruments,科学光学機器,"Scientific, optical inst",,,156021,1805,556860,,,,
雑製品,Miscellaneous articles,その他の雑製品,Miscellaneous articles,,,,,243511,3445,447917,,,,
雑製品,Miscellaneous articles,その他の雑製品,Miscellaneous articles,写真用・映画用材料,Photographic supplies,,,…,1871,…,,,,
特殊取扱品,Commodities not classified,,,,,,,434899,146859,2742547,,,,
特殊取扱品,Commodities not classified,再輸出品,Re-export goods,,,,,429684,145230,1954210,,,,
特殊取扱品,Commodities not classified,金（マネタリーゴールドを除く）,"Gold, non-monetary",,,,,…,…,769528,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,
