年次,Year,月次 ,Month,事業所数 (店) Number of Establishments (stores),営業日数 (日) Business Days (days),従業者数 (人) Number of Employees (persons),売場面積 Sales Floor Area (1000m2),販売額 Sales／総額 Total,販売額 Sales／紳士服・洋品 Men's Clothes,販売額 Sales／婦人・子供服・洋品 Women's and Children's Clothes,販売額 Sales／その他の衣料品 Other Clothing,販売額 Sales／身の回り品 Accessories,販売額 Sales／飲食料品 Food and Beverages,販売額 Sales／家具 Furniture,販売額 Sales／家庭用電気機械器具 Household Electric Appliances,販売額 Sales／家庭用品 Household Equipment,販売額 Sales／その他の商品 Others,販売額 Sales／食堂・喫茶 Restaurants and Cafe,商品券 Gift Certificate
平成29,2017,総数,Total,32,362.6,20714,1084,1911186,146118,383158,38394,260303,486979,24989,13319,56644,460935,40347,38630
平成30,2018,総数,Total,32,363.7,19989,1073,1892784,141964,375710,35219,263956,479647,23380,9711,51394,473437,38368,37623
平成31･令和元,2019,総数,Total,31,362.9,19178,1041,1861880,137179,358675,33794,259278,477049,21379,12080,46978,479177,36291,33346
令和2,2020,総数,Total,31,348.4,18095,1021,1336694,92361,224781,23237,177971,397604,18773,11519,38279,333018,19152,26458
令和3,2021,総数,Total,31,363.8,17102,1002,1427839,94387,236558,22465,194181,423573,17412,12748,39340,368326,18848,26528
令和3,2021,1,Jan.,31,30.2,17958,1019,101733,7375,17824,1815,14370,27306,1137,1336,2941,26387,1243,1329
令和3,2021,2,Feb.,31,27.9,17854,1019,103866,5983,17066,1565,13090,30094,1382,1121,2992,29134,1438,1407
令和3,2021,3,Mar.,31,31,17813,1001,129787,8776,26138,2138,18343,31721,1810,998,3894,34154,1816,2310
令和3,2021,4,Apr.,31,29.8,17879,1001,101764,6986,18372,1547,14319,26326,1301,900,3131,27506,1375,1537
令和3,2021,5,May,31,31,17722,1001,73429,4135,10517,1089,8349,24840,926,1073,2221,19533,748,1221
令和3,2021,6,June,31,30,17601,1002,128095,8288,20473,1926,17099,42150,1418,996,3359,30967,1419,3546
令和3,2021,7,July,31,31,17504,1003,125242,7618,18329,2050,17375,41643,1484,695,3285,31103,1660,2941
令和3,2021,8,Aug.,31,30.9,17267,1002,88084,5013,11995,1405,12952,25410,1208,889,2361,25674,1176,1359
令和3,2021,9,Sept.,31,30,17315,1002,109797,6996,18501,1806,15286,29334,1686,982,3055,30852,1299,1385
令和3,2021,10,Oct.,31,31,17329,1002,123371,9651,23919,2243,16975,31347,1591,844,3555,31331,1914,1601
令和3,2021,11,Nov.,31,30,17192,1002,151450,10803,25254,2334,19549,47130,1597,1934,3886,36793,2170,3602
令和3,2021,12,Dec.,31,31,17102,1002,191223,12762,28170,2546,26475,66274,1873,980,4662,44890,2592,4289
令和3,2021,区部(再掲),All ku ( Relisted ),21,363.7,15601,843,1302202,88353,215972,19372,182741,370470,16178,12545,36005,344928,15637,23902
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,
12-3  大型小売店販売額 (1) 百貨店（平成29～令和3年） 12-3  LARGE-SCALE RETAIL STORE SALES (1) DEPARTMENT STORES ( 2017-2021 ),,,,,,,,,,,,,,,,,,,
「大型小売店」とは，  従業者50人以上の百貨店及びスーパーをいう。,,,,,,,,,,,,,,,,,,,
日本標準産業分類の百貨店のうちスーパーに該当しない事業所で，かつ売場面積が区部においては3000m2以上，その他の地域では1500m2以上の事業所をいう。 ,,,,,,,,,,,,,,,,,,,
Large-scale retail stores refer to department stores and supermarkets with 50 or more employees.,,,,,,,,,,,,,,,,,,,
Department stores are establishments classified as department stores under the Japan Standard Industrial Classification but are not supermarkets， with a floor space of 3000m2 or more in the All ku area and 1500m2 or more in all other areas.,,,,,,,,,,,,,,,,,,,
注) 年計の事業所数，  従業者及び売場面積の数値は， 12月末の数である。,,,,,,,,,,,,,,,,,,,
Note: Annual figures for the number of establishments， employees， and sales floor space are year-end numbers.,,,,,,,,,,,,,,,,,,,
資料：経済産業省 「商業動態統計」  Source: Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
