種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,不動産信託の受益権 Real estate trust beneficiary rights
一般財産 ,General assets,1,総額,Total,,11782695,89808626,7107721,27952509,2776674,744771,865,4943,4997,3554,5862,11846,238992,699491,182980
一般財産 ,General assets,2,行政財産,Administrative assets,,9697161,81648881,6544379,26837875,2432898,700043,863,4943,4997,3549,5489,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,2085534,8159745,563342,1114634,343776,44727,1,0,-,5,373,11846,238992,699491,182980
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2523186,13232583,1477216,2211751,349547,544732,1837,1512,-,-,-,2,112417,6,35917
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1694747,7249596,851936,2157812,348396,491648,1256,1512,-,-,-,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,828439,5982987,625280,53940,1151,53084,581,-,-,-,-,2,112417,6,35917
公営企業用財産,Public enterprise assets,,,,1),7919392,269966057,1028769,3121432,519562,6315593,2445,155,-,-,1670,-,48958,2240,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (令和3年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2021 ),,,,,,,,,,,,,,,,,,,,
注 1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note: 1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
