年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成29,2017,13200,,市部,All shi,1528908,10220,187372,754717,118117,6226,3297,9627,133165,52651,169780,282,83363,90
平成30,2018,13200,,市部,All shi,1540707,10063,170891,762963,126192,6308,3267,9139,135807,51339,178738,971,84943,86
令和元,2019,13200,,市部,All shi,1582383,10148,176382,786578,127907,6404,3437,12362,135018,52905,187870,2018,81266,88
令和2,2020,13200,,市部,All shi,2079228,9923,604886,804326,138338,6311,3394,29829,125160,53144,222307,3155,78458,-
令和3,2021,13200,,市部,All shi,1842009,9849,209724,905922,198786,6287,2976,22180,128700,52199,224804,1191,79391,-
令和3,2021,13201,1,八王子市,Hachioji-shi,236201,708,20381,114755,34281,375,363,2238,20669,6483,23259,467,12223,-
令和3,2021,13202,2,立川市,Tachikawa-shi,88884,437,11945,43950,10252,620,115,808,5466,2343,10136,-,2811,-
令和3,2021,13203,3,武蔵野市,Musashino-shi,76957,442,10913,33216,7185,295,59,1554,5999,1954,13797,-,1544,-
令和3,2021,13204,4,三鷹市,Mitaka-shi,78312,482,9449,41708,6082,144,172,589,5142,2333,7871,-,4339,-
令和3,2021,13205,5,青梅市,Ome-shi,58615,404,8712,28651,6321,10,262,542,2822,1674,6026,92,3098,-
令和3,2021,13206,6,府中市,Fuchu-shi,136428,472,18891,58719,8757,609,158,1139,7014,3014,33880,9,3766,-
令和3,2021,13207,7,昭島市,Akishima-shi,49581,342,6641,25382,5500,370,50,361,1916,1510,5550,-,1961,-
令和3,2021,13208,8,調布市,Chofu-shi,100799,481,12011,52323,7490,299,101,3051,8552,2810,10141,-,3541,-
令和3,2021,13209,9,町田市,Machida-shi,191618,622,16496,89084,32438,309,273,2020,12528,4624,26030,-,7194,-
令和3,2021,13210,10,小金井市,Koganei-shi,51720,359,6261,26697,6415,276,41,553,2945,1613,4276,-,2282,-
令和3,2021,13211,11,小平市,Kodaira-shi,76707,439,8058,40502,8689,182,123,685,4288,2378,8130,-,3235,-
令和3,2021,13212,12,日野市,Hino-shi,78197,401,8247,38886,8004,250,126,847,5565,2233,10206,35,3397,-
令和3,2021,13213,13,東村山市,Higashimurayama-shi,67350,337,6222,34534,5838,460,127,900,6792,1768,5613,-,4759,-
令和3,2021,13214,14,国分寺市,Kokubunji-shi,56466,304,8568,26042,5296,157,76,1148,5406,1694,5765,-,2010,-
令和3,2021,13215,15,国立市,Kunitachi-shi,34182,293,2895,17743,2958,168,63,284,3360,1150,3563,-,1705,-
令和3,2021,13218,16,福生市,Fussa-shi,28294,255,2949,13151,3572,202,48,288,2879,942,3255,-,752,-
令和3,2021,13219,17,狛江市,Komae-shi,33225,297,2971,17372,2861,88,34,323,1996,1246,4348,-,1691,-
令和3,2021,13220,18,東大和市,Higashiyamato-shi,36391,281,4938,19811,3189,39,78,388,1389,1177,3234,103,1764,-
令和3,2021,13221,19,清瀬市,Kiyose-shi,35704,287,5382,19039,2848,119,112,346,1190,1147,3288,-,1946,-
令和3,2021,13222,20,東久留米市,Higashikurume-shi,46871,297,4094,25907,3703,161,70,501,3442,1485,5104,-,2106,-
令和3,2021,13223,21,武蔵村山市,Musashimurayama-shi,32205,260,3641,17455,2830,37,40,385,2139,1093,3057,-,1268,-
令和3,2021,13224,22,多摩市,Tama-shi,68529,375,13762,30834,5409,335,60,1014,4082,1825,8913,-,1919,-
令和3,2021,13225,23,稲城市,Inagi-shi,37238,326,3138,17396,3728,92,59,514,3321,1187,5413,3,2061,-
令和3,2021,13227,24,羽村市,Hamura-shi,25280,238,3274,12360,2678,134,30,386,1908,925,2387,-,959,-
令和3,2021,13228,25,あきる野市,Akiruno-shi,35921,276,3621,15906,4226,194,254,623,3558,1141,3324,481,2316,-
令和3,2021,13229,26,西東京市,Nishitokyo-shi,80335,433,6264,44502,8235,361,80,692,4333,2451,8239,-,4744,-
平成29,2017,13300,,郡部,All gun,33512,465,5286,10600,3106,334,1748,776,5338,1382,3091,5,1382,-
平成30,2018,13300,,郡部,All gun,33937,465,5928,10489,3022,333,1713,922,5261,1431,2978,55,1338,-
令和元,2019,13300,,郡部,All gun,36779,461,8026,11108,2976,362,1711,766,4959,1700,2964,387,1358,-
令和2,2020,13300,,郡部,All gun,41531,462,12118,11160,3264,333,1731,1127,4318,1543,3408,680,1387,-
令和3,2021,13300,,郡部,All gun,38164,428,6970,12323,3696,351,1915,1089,4499,1298,3717,444,1434,-
令和3,2021,13303,1,瑞穂町,Mizuho-machi,16761,146,2877,6072,1782,143,69,190,2372,564,1997,-,550,-
令和3,2021,13305,2,日の出町,Hinode-machi,10386,118,1997,4359,990,87,121,242,577,339,918,67,570,-
令和3,2021,13307,3,檜原村,Hinohara-mura,3888,74,722,678,338,73,911,124,395,126,268,75,102,-
令和3,2021,13308,4,奥多摩町,Okutama-machi,7129,90,1374,1214,586,47,814,532,1155,269,534,303,211,-
平成29,2017,13350,,島部,All islands,38112,411,9355,5599,6550,403,2689,1895,3499,1100,3265,177,2969,201
平成30,2018,13350,,島部,All islands,35716,415,7961,5471,6799,394,2033,1847,3830,1661,2582,37,2517,168
令和元,2019,13350,,島部,All islands,36275,422,7473,5490,5447,416,2216,1913,4082,1391,3735,959,2598,132
令和2,2020,13350,,島部,All islands,42978,396,11311,6097,6457,429,2888,2169,3934,2080,3815,590,2625,188
令和3,2021,13350,,島部,All islands,39245,384,9899,6798,6067,351,2158,1827,3523,1738,3042,197,3089,171
令和3,2021,13361,1,大島町,Oshima-machi,8829,75,1560,2236,1236,54,429,469,933,268,586,7,976,-
令和3,2021,13362,2,利島村,Toshima-mura,1485,20,481,160,326,18,129,134,33,31,96,-,57,-
令和3,2021,13363,3,新島村,Niijima-mura,3936,48,1230,643,310,52,239,232,315,99,446,15,307,-
令和3,2021,13364,4,神津島村,Kozushima-mura,3414,36,777,455,487,63,230,243,594,51,311,26,141,-
令和3,2021,13381,5,三宅村,Miyake-mura,4553,41,1092,528,663,52,296,262,222,670,298,72,292,65
令和3,2021,13382,6,御蔵島村,Mikurajima-mura,1503,13,713,115,189,-,51,70,202,7,74,-,67,-
令和3,2021,13401,7,八丈町,Hachijo-machi,8602,83,1820,1727,1296,112,576,166,693,536,737,40,710,106
令和3,2021,13402,8,青ヶ島村,Aogashima-mura,994,17,354,58,134,-,67,14,268,10,56,-,17,-
令和3,2021,13421,9,小笠原村,Ogasawara-mura,5929,52,1874,876,1425,-,140,237,263,67,437,35,522,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成29～令和3年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 「市町村決算状況調査結果」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
