年度末,End of fiscal year,地域階層,地域コード,地域,District,郵便局 Post offices／総数 Total,郵便局 Post offices／郵便局(直営) Post offices(direct management),郵便局 Post offices／簡易郵便局 Postal agencies,郵便差出箱 Mailboxes,郵便切手類販売所 Stamp and revenue stamp shops
令和2,2020,0,13000,総数,Tokyo-to,1502,1496,6,11462,9312
令和3,2021,0,13000,総数,Tokyo-to,1502,1496,6,11444,9104
令和3,2021,1,13100,区部,All ku,1058,1057,1,8298,6804
令和3,2021,3,13101,千代田区,Chiyoda-ku,50,50,-,427,361
令和3,2021,3,13102,中央区,Chuo-ku,51,51,-,416,271
令和3,2021,3,13103,港区,Minato-ku,55,55,-,562,504
令和3,2021,3,13104,新宿区,Shinjuku-ku,55,55,-,434,446
令和3,2021,3,13105,文京区,Bunkyo-ku,34,34,-,259,162
令和3,2021,3,13106,台東区,Taito-ku,34,34,-,275,210
令和3,2021,3,13107,墨田区,Sumida-ku,26,26,-,242,192
令和3,2021,3,13108,江東区,Koto-ku,43,43,-,432,362
令和3,2021,3,13109,品川区,Shinagawa-ku,42,42,-,377,309
令和3,2021,3,13110,目黒区,Meguro-ku,24,24,-,223,161
令和3,2021,3,13111,大田区,Ota-ku,71,71,-,529,416
令和3,2021,3,13112,世田谷区,Setagaya-ku,79,79,-,633,447
令和3,2021,3,13113,渋谷区,Shibuya-ku,37,37,-,341,358
令和3,2021,3,13114,中野区,Nakano-ku,30,30,-,212,184
令和3,2021,3,13115,杉並区,Suginami-ku,52,52,-,293,273
令和3,2021,3,13116,豊島区,Toshima-ku,35,35,-,254,260
令和3,2021,3,13117,北区,Kita-ku,41,41,-,274,204
令和3,2021,3,13118,荒川区,Arakawa-ku,19,19,-,149,136
令和3,2021,3,13119,板橋区,Itabashi-ku,49,48,1,374,302
令和3,2021,3,13120,練馬区,Nerima-ku,62,62,-,421,314
令和3,2021,3,13121,足立区,Adachi-ku,68,68,-,453,366
令和3,2021,3,13122,葛飾区,Katsushika-ku,45,45,-,303,224
令和3,2021,3,13123,江戸川区,Edogawa-ku,56,56,-,415,342
令和3,2021,1,13200,市部,All shi,407,406,1,2998,2193
令和3,2021,3,13201,八王子市,Hachioji-shi,64,64,-,472,292
令和3,2021,3,13202,立川市,Tachikawa-shi,18,18,-,158,129
令和3,2021,3,13203,武蔵野市,Musashino-shi,16,16,-,40,91
令和3,2021,3,13204,三鷹市,Mitaka-shi,19,19,-,122,105
令和3,2021,3,13205,青梅市,Ome-shi,16,16,-,125,82
令和3,2021,3,13206,府中市,Fuchu-shi,24,24,-,208,147
令和3,2021,3,13207,昭島市,Akishima-shi,12,12,-,96,68
令和3,2021,3,13208,調布市,Chofu-shi,21,21,-,163,118
令和3,2021,3,13209,町田市,Machida-shi,34,34,-,309,209
令和3,2021,3,13210,小金井市,Koganei-shi,10,10,-,19,58
令和3,2021,3,13211,小平市,Kodaira-shi,17,17,-,150,92
令和3,2021,3,13212,日野市,Hino-shi,17,17,-,140,71
令和3,2021,3,13213,東村山市,Higashimurayama-shi,12,11,1,92,63
令和3,2021,3,13214,国分寺市,Kokubunji-shi,11,11,-,82,55
令和3,2021,3,13215,国立市,Kunitachi-shi,10,10,-,70,52
令和3,2021,3,13218,福生市,Fussa-shi,6,6,-,58,45
令和3,2021,3,13219,狛江市,Komae-shi,7,7,-,60,38
令和3,2021,3,13220,東大和市,Higashiyamato-shi,8,8,-,66,44
令和3,2021,3,13221,清瀬市,Kiyose-shi,7,7,-,67,40
令和3,2021,3,13222,東久留米市,Higashikurume-shi,12,12,-,85,51
令和3,2021,3,13223,武蔵村山市,Musashimurayama-shi,7,7,-,57,42
令和3,2021,3,13224,多摩市,Tama-shi,15,15,-,62,71
令和3,2021,3,13225,稲城市,Inagi-shi,8,8,-,20,40
令和3,2021,3,13227,羽村市,Hamura-shi,5,5,-,48,46
令和3,2021,3,13228,あきる野市,Akiruno-shi,12,12,-,95,54
令和3,2021,3,13229,西東京市,Nishitokyo-shi ,19,19,-,134,90
令和3,2021,1,13300,郡部,All gun,10,9,1,51,59
令和3,2021,1,13350,島部,All islands,27,24,3,97,48
令和3,2021,2,13360,大島支庁,Oshima-shicho,12,11,1,42,29
令和3,2021,2,13380,三宅支庁,Miyake-shicho,6,6,-,19,5
令和3,2021,2,13400,八丈支庁,Hachijo-shicho,7,6,1,30,11
令和3,2021,2,13420,小笠原支庁,Ogasawara-shicho,2,1,1,6,3
,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,
"5-1　地域別郵便局数等 (令和2,3年度末) 5-1 POST OFFICES BY DISTRICT ( End of Fiscal Years 2020 and 2021 )",,,,,,,,,,
資料：日本郵便株式会社東京支社 Source:  Japan Post Co.， Ltd.,,,,,,,,,,
地域階層(0:東京都　1:区部・市部・郡部・島部　2:支庁　3:区市町村),,,,,,,,,,
