年次,Year,月次,Month,出生 Live births／計 Total,出生 Live births／男 Male,出生 Live births／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲）乳児死亡  (relisted) Infant deaths／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／女 Female,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡  (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,婚姻 Marriages,離婚 Divorces
平成3,1991,総数,Total,103226,53373,49853,70675,38733,31942,32551,14640,17911,400,211,189,204,107,97,4333,2157,2176,83171,19400
平成4,1992,総数,Total,100965,51868,49097,72974,40217,32757,27991,11651,16340,430,265,165,231,143,88,3992,2012,1980,82371,20211
平成5,1993,総数,Total,98291,50583,47708,74758,40896,33862,23533,9687,13846,467,248,219,255,135,120,3559,1821,1738,85518,21114
平成6,1994,総数,Total,101998,52251,49747,75299,41306,33993,26699,10945,15754,433,252,181,247,144,103,3362,1776,1586,83563,21372
平成7,1995,総数,Total,96823,49648,47175,78651,43286,35365,18172,6362,11810,423,226,197,219,124,95,3189,1745,1444,84286,21548
平成8,1996,総数,Total,97954,50423,47531,77356,42696,34660,20598,7727,12871,368,205,163,190,105,85,3190,1686,1504,84007,22273
平成9,1997,総数,Total,97906,50282,47624,78744,43548,35196,19162,6734,12428,384,205,179,196,106,90,3131,1516,1615,81002,23690
平成10,1998,総数,Total,98960,50948,48012,80793,44653,36140,18167,6295,11872,358,204,154,195,116,79,3107,1483,1624,82589,25685
平成11,1999,総数,Total,97959,50396,47563,85427,46950,38477,12532,3446,9086,325,191,134,175,102,73,3143,1550,1593,81287,26375
平成12,2000,総数,Total,100209,51487,48722,83849,46409,37440,16360,5078,11282,354,195,159,200,110,90,2995,1364,1631,87360,27032
平成13,2001,総数,Total,98421,50546,47875,84586,46661,37925,13835,3885,9950,298,164,134,159,82,77,2907,1389,1518,88538,28593
平成14,2002,総数,Total,100118,51619,48499,85162,46936,38226,14956,4683,10273,295,155,140,169,85,84,2908,1361,1547,84623,28780
平成15,2003,総数,Total,98534,50804,47730,87500,48128,39372,11034,2676,8358,293,156,137,139,67,72,2938,1295,1643,84755,28211
平成16,2004,総数,Total,99272,50793,48479,88767,48465,40302,10505,2328,8177,260,150,110,122,72,50,2923,1325,1598,84618,27123
平成17,2005,総数,Total,96542,49603,46939,93599,51265,42334,2943,-1662,4605,257,148,109,129,71,58,2839,1293,1546,85382,26984
平成18,2006,総数,Total,101674,52391,49283,93596,50908,42688,8078,1483,6595,290,156,134,154,79,75,2782,1247,1535,89413,26347
平成19,2007,総数,Total,103837,53564,50273,96354,52202,44152,7483,1362,6121,278,165,113,146,82,64,2621,1201,1420,89243,26627
平成20,2008,総数,Total,106015,54348,51667,98248,53289,44959,7767,1059,6708,261,122,139,119,57,62,2724,1218,1506,91196,26300
平成21,2009,総数,Total,106613,54736,51877,98304,53549,44755,8309,1187,7122,246,135,111,119,61,58,2482,1118,1364,91028,26803
平成22,2010,総数,Total,108135,55420,52715,104238,56443,47795,3897,-1023,4920,212,114,98,95,51,44,2587,1143,1444,91197,26335
平成23,2011,総数,Total,106027,54333,51694,105723,56613,49110,304,-2280,2584,216,112,104,98,50,48,2484,1140,1344,86888,24927
平成24,2012,総数,Total,107401,54985,52416,109194,58203,50991,-1793,-3218,1425,236,129,107,117,70,47,2325,1103,1222,89301,25329
平成25,2013,総数,Total,109986,56267,53719,110507,58810,51697,-521,-2543,2022,215,112,103,96,49,47,2441,1131,1310,88067,24855
平成26,2014,総数,Total,110629,56541,54088,111024,58865,52158,-395,-2324,1930,205,116,89,89,58,31,2460,1135,1325,87000,23653
平成27,2015,総数,Total,113194,58192,55002,111673,59164,52509,1521,-972,2493,189,101,88,89,47,42,2406,1143,1263,87169,24135
平成28,2016,総数,Total,111964,57359,54603,113415,59824,53591,-1451,-2465,1012,222,116,106,97,58,39,2365,1131,1234,86010,23470
平成29,2017,総数,Total,108990,55818,53172,116453,61471,54980,-7463,-5653,-1808,169,92,77,86,51,35,2298,1095,1203,84993,23055
平成30,2018,総数,Total,107150,55052,52098,119253,62466,56787,-12103,-7414,-4689,183,108,75,71,45,26,2201,1007,1194,82716,22706
平成31・令和元,2019,総数,Total,101818,52032,49786,120870,63222,57648,-19052,-11190,-7862,146,75,71,59,33,26,2303,966,1337,86059,22707
令和2,2020,総数,Total,99661,51169,48492,121219,63512,57707,-21558,-12343,-9215,135,65,70,61,25,36,2076,955,1121,73931,20783
令和3,2021,総数,Total,95404,48916,46488,127649,66583,61066,-32245,-17667,-14578,160,89,71,68,34,34,1975,894,1081,69813,19605
令和3,2021,1,Jan.,6656,3327,3329,12591,6635,5956,-5935,-3308,-2627,12,6,6,2,1,1,164,73,91,5201,1581
令和3,2021,2,Feb.,6466,3343,3123,10909,5703,5206,-4443,-2360,-2083,14,8,6,6,3,3,193,101,92,6156,1564
令和3,2021,3,Mar.,7591,3942,3649,10861,5650,5211,-3270,-1708,-1562,10,4,6,6,3,3,163,73,90,7713,2261
令和3,2021,4,Apr.,8239,4243,3996,10438,5443,4995,-2199,-1200,-999,16,11,5,9,7,2,157,72,85,4255,1687
令和3,2021,5,May,8027,4110,3917,9965,5139,4826,-1938,-1029,-909,12,8,4,5,2,3,175,90,85,6475,1458
令和3,2021,6,June,8268,4159,4109,9383,4798,4585,-1115,-639,-476,18,11,7,9,5,4,176,73,103,5555,1662
令和3,2021,7,July,8586,4339,4247,9807,5158,4649,-1221,-819,-402,12,6,6,4,1,3,162,64,98,5869,1470
令和3,2021,8,Aug. ,8733,4468,4265,10716,5716,5000,-1983,-1248,-735,13,6,7,6,1,5,160,80,80,5946,1497
令和3,2021,9,Sept.,8652,4433,4219,10432,5597,4835,-1780,-1164,-616,15,5,10,8,3,5,151,64,87,4035,1500
令和3,2021,10,Oct.,8431,4307,4124,10582,5394,5188,-2151,-1087,-1064,13,7,6,5,1,4,155,68,87,4328,1512
令和3,2021,11,Nov.,7862,4078,3784,10573,5457,5116,-2711,-1379,-1332,13,7,6,5,4,1,148,68,80,8555,1579
令和3,2021,12,Dec.,7893,4167,3726,11392,5893,5499,-3499,-1726,-1773,12,10,2,3,3,-,171,68,103,5725,1834
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (2) 年，月別及び男女別（平成3～令和3年）  2-7  VITAL STATISTICS  (2) BY YEAR， MONTH， AND GENDER ( 1991-2021 ) ,,,,,,,,,,,,,,,,,,,,,,,
