年度,Fiscal year,系統,Line,営業キロ Length of line(km),駅数 Stations,在籍車両数 Vehicles owned,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ Distance traveled／列車 Trains(km),走行キロ Distance traveled／客車 Vehicles(km),輸送人員 Passengers 1),旅客運賃収入 Passenger fare revenue(千円 1000yen),使用電力量 Electric power used(Kwh)
平成29,2017,総数,Total,106.2,105,1142,6920468,4479676,2440792,348702,14985474,117668756,990223782,150957717,239839716
平成30,2018,総数,Total,106.2,105,1174,7111076,4608597,2502479,344942,15032237,118601619,1015046543,154647864,242169959
令和元,2019,総数,Total,106.2,105,1174,7182868,4713438,2469430,350960,15191785,119529545,1021366650,155508197,244149612
令和2,2020,総数,Total,106.2,105,1190,4944537,3385426,1559111,350084,15218555,119704827,689080330,104292853,234535835
令和3,2021,総数,Total,106.2,105,1206,5111637,3256990,1854647,351574,15257856,120038394,717130814,111919901,235932972
令和3,2021,浅草線,Asakusa Line,18.3,20,224,1016644,617004,399640,69350,2825842,22606738,190652464,24161095,39848642
令和3,2021,三田線,Mita Line,26.5,27,222,1213482,813192,400290,63774,3590356,21542133,176336628,24576416,38836530
令和3,2021,新宿線,Shinjuku Line　2),20.7,20,288,1436044,925684,510360,80132,2954791,28794590,201692974,30800957,54276100
令和3,2021,大江戸線,Oedo Line,40.7,38,472,1445467,901110,544357,138318,5886867,47094933,247006440,32381433,102971700
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-14  地下鉄の運輸成績 (2)  都営　 (平成29～令和3年度） 4-14 OPERATIONS OF SUBWAYS (2) TOEI SUBWAY ( Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,
注 1) 「輸送人員」の総数は乗り換えによる重複分があるため， 内訳の計と一致しない。,,,,,,,,,,,,,,,
2) 新宿線の使用車両数， 旅客運賃収入及び使用電力量には， 都外分を含む。,,,,,,,,,,,,,,,
Note: 1) The total number of passengers does not match the total of the breakdowns due to duplication of transit passenger numbers.,,,,,,,,,,,,,,,
2) The railway vehicles used， passenger fare revenue， power used for the Shinjuku Line include figures from outside Tokyo.,,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
