年次,Year,月次,Month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／年/月/日 Year/Month/Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m/s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m/s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／年/月/日 Year/Month/Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／年/月/日 Year/Month/Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m/s or more,地震回数（震度1以上） Earthquakes on record (seismic intensity of one or greater)
平成23,2011,総数,Total,1014,16.5,20.3,13.1,58,9,2011-01-16，2011-04-04,6.4,2056.2,46,2.9,16.9,南 S,2011-09-21,1479.5,124,2011-09-21,101,95,40,13,36,145,101,13,3,-,13,46,14,463
平成24,2012,総数,Total,1013.6,16.3,20,13.1,62,11,2012-02-02,6.8,2022.9,46,3,16.3,南 S,2012-06-19,1570,121.5,2012-05-03,123,109,49,14,29,149,123,10,5,1,26,53,11,131
平成25,2013,総数,Total,1013,17.1,21,13.6,61,13,2013-02-08，2013-02-25,6.3,2131.1,48,3.1,14.5,南南西 SSW,2013-03-13,1614,176.5,2013-10-16,111,93,38,17,53,137,111,5,6,-,19,44,20,91
平成26,2014,総数,Total,1013.8,16.6,20.5,13.3,62,8,2014-04-12,6.6,2104,47,2.9,11.8,南 S,2014-03-18,1808,148.5,2014-10-05,113,106,41,16,46,153,113,11,10,-,20,51,14,65
平成27,2015,総数,Total,1014.1,16.4,20.8,12.8,68,12,2015-02-13，2015-05-11,6.8,1966.6,44,2.8,11,北北西，南南西 NNW，SSW,2015-02-15，2015-12-11,1781.5,156.5,2015-09-09,129,115,51,17,39,165,129,11,2,-,13,67,14,66
平成28,2016,総数,Total,1014.5,16.4,20.9,12.7,69,9,2016-03-17,7.1,1841.7,41,2.8,12.6,南 S,2016-04-17,1779,106.5,2016-08-22,128,113,50,19,24,181,128,6,3,-,8,62,8,71
平成29,2017,総数,Total,1013.2,15.8,20.4,12.1,68,13,2017-03-20,6.7,2050.9,46,2.9,13.7,南南東 SSE,2017-10-23,1430,147.5,2017-10-22,114,95,41,12,39,163,114,7,1,-,14,56,10,60
平成30,2018,総数,Total,1014.1,16.8,21.2,13,70,14,2018-02-07,6.7,2112.2,48,3,18.2,南 S,2018-10-01,1445.5,58,2018-03-09,116,103,44,17,34,156,116,11,10,-,14,47,15,64
平成31･令和元,2019,総数,Total,1014,16.5,20.9,12.8,70,15,2019-05-24,6.8,1909,43,2.9,17.8,南南東 SSE,2019-10-12,1874,209.5,2019-10-12,131,111,45,14,35,153,131,6,3,1,12,68,10,52
令和2,2020,総数,Total,1013.9,16.5,21,12.8,71,15,2020-12-17,6.8,1889.5,43,2.8,13.1,北西 NW,2020-03-16,1590,132,2020-04-13,135,108,42,16,29,156,135,6,1,-,17,64,12,65
令和3,2021,総数,Total,1014.4,16.6,21.3,12.8,69,10,2021-04-22,6.4,2089.8,47,2.7,12.4,南 S,2021-08-09,2052.5,138.5,2021-08-15,124,107,49,24,45,145,124,2,-,1,15,54,11,70
令和3,2021,1,Jan.,1017.1,5.4,10.3,1.3,57,15,2021-01-09,5.1,172.4,56,2.3,10.7,南西 SW,2021-01-07,43.5,19,2021-01-23,5,5,2,-,7,8,5,2,-,-,-,4,1,2
令和3,2021,2,Feb.,1014.8,8.5,14,3.3,49,16,"2021-02-16,2021-02-18,2021-02-19",3.9,214.9,71,2.9,8.6,南南西 SSW,2021-02-04,88.5,76.5,2021-02-15,2,2,2,1,7,2,2,-,-,-,-,1,-,8
令和3,2021,3,Mar.,1017.4,12.8,17.9,8.3,62,17,2021-03-26,7,193.2,52,3.2,11,北西 NW,2021-03-03,173,65,2021-03-13,11,7,3,3,3,16,11,-,-,-,1,4,4,4
令和3,2021,4,Apr.,1017.7,15.1,20.6,10.3,60,10,2021-04-22,5.7,218.5,56,3.2,9,南 S,2021-04-08,156,37,2021-04-29,9,8,6,3,3,7,9,-,-,-,1,4,-,2
令和3,2021,5,May,1009.4,19.6,24.1,15.7,73,20,2021-05-10,8.5,150.5,35,3.2,9.3,南 S,2021-05-17,99.5,35.5,2021-05-27,17,15,2,1,-,20,17,-,-,-,2,6,-,6
令和3,2021,6,June,1010.2,22.7,27.3,19.4,77,28,2021-06-09,8.5,131.6,30,2.7,10.1,南 S,2021-06-04,168.5,53,2021-06-29,14,12,6,2,1,21,14,-,-,-,2,5,1,3
令和3,2021,7,July,1010.5,25.9,30.3,22.9,83,33,2021-07-22,7.7,160.2,36,2.4,9,北西 NW,2021-07-11,310,68,2021-07-02,13,11,7,5,-,17,13,-,-,1,5,5,-,1
令和3,2021,8,Aug.,1009.9,27.4,31.6,24.3,80,41,2021-08-10,7.2,175.6,42,3.1,12.4,南 S,2021-08-09,382.5,138.5,2021-08-15,14,12,6,3,-,15,14,-,-,-,2,4,2,9
令和3,2021,9,Sept.,1015,22.3,26.2,19.3,82,36,2021-09-24,8,100.7,27,2.4,7.3,南南東 SSE,2021-09-18,222.5,124.5,2021-09-18,13,12,6,1,1,17,13,-,-,-,-,9,-,7
令和3,2021,10,Oct.,1018.6,18.2,22.7,14.7,76,29,2021-10-20,6.2,163,47,2.5,7.3,北西 NW,2021-10-23,199.5,113,2021-10-01,13,11,4,2,3,10,13,-,-,-,1,7,-,9
令和3,2021,11,Nov.,1016.1,13.7,18.6,9.7,65,28,2021-11-12,4.8,206.7,67,2.2,9,南南西 SSW,2021-11-10,93,47.5,2021-11-09,6,6,3,1,10,7,6,-,-,-,1,2,-,10
令和3,2021,12,Dec.,1016,7.9,12.5,4,60,17,2021-12-27,4.2,202.5,67,2.4,11,北西 NW,2021-12-17,116,54.5,2021-12-01,7,6,2,2,10,5,7,1,-,-,-,3,3,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-6  気象概況 （平成11～令和3年） 1-6  CLIMATE ( 1999-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表の気圧，気温，湿度の平均値は1～24時毎正時の24回平均，雲量は 3，9，15，21時の4回平均である。最高気温平均と最低気温平均は毎日の最高，最低の1カ月の平均値を示し，平均風速は毎10分の144回平均 （ただし平成20年6月までは24時間の全風程から求めた)，天気日数における「快晴日」は日平均雲量1.5未満，「曇天日」は日平均雲量8.5以上をいう。雲量は雲が全天を占める時を10とし全天に対する雲の占める比である。各年の雪日数及び積雪日数は，前年8月から当年7月までの期間で算出している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average atmospheric pressure， temperature， and humidity are the average of 24 observations a day  (at every hour on the hour) and average cloudiness is the average of  4 observations (at 3， 9， 15 and 21hours). Average maximum and minimum temperatures are the monthly averages of daily highs and lows. Average wind speed is the average of 144 observations a day taken every 10 minutes (but are 24 hour averages up to June 2008). “Clear days” are days with an average amount of clouds less than 1.5， and “cloudy days” 8.5 or more. “Average amount of clouds” shows the ratio of cloudiness， assuming this to be 10 when clouds cover the entire sky. The number of snowy days and snow cover days of each year are derived over the period from the previous August to July of the stated year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 平成29年の最大風速は，欠測等により統計を行う対象資料が許容範囲を越えて欠けている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The maximum wind speed in 2017 indicates that an unacceptably large portion of data needed for the calculation was missing due to measurement failure or other reasons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：気象庁（地震回数は千代田区大手町の観測所で観測した地震回数） Source: Japan Meteorological Agency  (earthquake frequency data from Otemachi monitoring station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
