地域階層,国名,Country,東京（港） Tokyo (Seaport)／輸出 Exports,東京（港） Tokyo (Seaport)／輸入 Imports,羽田（空港） Haneda (Airport)／輸出 Exports,羽田（空港） Haneda (Airport)／輸入 Imports,成田（空港） Narita (Airport)／輸出 Exports,成田（空港） Narita (Airport)／輸入 Imports,,,,,,
0,総額,Total,5233124,10994662,243013,549446,10158849,12803024,,,,,,
1,アジア,Asia,2938305,7690400,128680,125288,6559372,6124966,,,,,,
2,大韓民国,Republic of Korea,280534,578851,5997,2336,730616,287020,,,,,,
2,中華人民共和国,China,1107729,4360450,39499,36216,2052021,3280024,,,,,,
2,台湾,Taiwan,340622,548699,13228,12806,996770,823205,,,,,,
2,香港,Hong Kong,268435,25633,22448,120,1212141,22623,,,,,,
2,ベトナム,Viet Nam,137664,599590,1492,5056,179050,246545,,,,,,
2,タイ,Thailand,241023,505951,9355,22786,328820,368814,,,,,,
2,シンガポール,Singapore,194075,106968,33842,17088,519212,428204,,,,,,
2,マレーシア,Malaysia,107521,290825,504,10347,248312,324869,,,,,,
2,フィリピン,Philippines,108757,170699,600,9919,116546,180303,,,,,,
2,インドネシア,Indonesia,71601,234444,1045,5819,52760,40821,,,,,,
2,インド,India,56127,70110,643,1539,105410,90137,,,,,,
1,東南アジア諸国連合,ASEAN,867836,2040309,46865,71821,1449346,1606550,,,,,,
1,中東,Middle East,56432,29539,644,799,93244,78319,,,,,,
2,サウジアラビア,Saudi Arabia,9667,1790,2,-,5210,47,,,,,,
2,イスラエル,Israel,14110,14023,9,123,38632,73397,,,,,,
2,アラブ首長国連邦,United Arab Emirates,26071,9177,542,4,35121,1490,,,,,,
1,西欧,Western Europe,604742,1315855,27598,279842,1577250,3119061,,,,,,
2,ノルウェー,Norway,2666,28945,1,4196,2989,23314,,,,,,
2,スウェーデン,Sweden,7468,30631,29,304,8295,49509,,,,,,
2,デンマーク,Denmark,7287,42838,46,4443,5521,88254,,,,,,
2,英国,United Kingdom,60511,102035,9213,41746,317048,215041,,,,,,
2,アイルランド,Ireland,8960,27208,1505,57960,19989,495343,,,,,,
2,オランダ,Netherlands,153288,51868,257,1906,208968,110436,,,,,,
2,ベルギー,Belgium,36832,21454,848,2217,55161,108927,,,,,,
2,フランス,France,66045,207954,2641,83961,87400,327852,,,,,,
2,ドイツ,Germany,144724,304202,8389,39982,406811,693078,,,,,,
2,スイス,Switzerland,11560,85914,3819,5102,346790,465654,,,,,,
2,ポルトガル,Portugal,2886,6383,104,582,3211,9409,,,,,,
2,スペイン,Spain,14642,71766,113,12485,18547,59073,,,,,,
2,イタリア,Italy,26297,167654,356,23600,63834,400682,,,,,,
2,フィンランド,Finland,3029,22782,206,101,4666,9369,,,,,,
2,オーストリア,Austria,7798,44791,54,865,15886,34126,,,,,,
2,トルコ,Turkey,10743,15623,7,40,6879,13007,,,,,,
1,中東欧・ロシア等,"Eastern Europe, Russia, etc.",84125,179097,3031,2896,88520,289143,,,,,,
2,ポーランド,Poland,23650,18331,1792,136,10792,22296,,,,,,
2,ロシア,Russia,16968,39431,1073,74,24657,168513,,,,,,
2,ハンガリー,Hungary,14504,18793,148,1805,14306,24613,,,,,,
2,チェコ,Czech Republic,17091,37381,16,347,23709,26787,,,,,,
1,欧州連合,European Union,589576,1171952,18410,235922,1026244,2536007,,,,,,
1,北米,North America,1432720,1263346,82724,127912,1685082,2344542,,,,,,
2,カナダ,Canada,40925,157886,4207,5245,60612,152687,,,,,,
2,アメリカ合衆国,United States of America,1391795,1099529,78517,122667,1624469,2191856,,,,,,
1,中南米,Central and South America,63481,333225,92,9984,78393,349438,,,,,,
2,メキシコ,Mexico,30539,124244,56,4772,42062,166479,,,,,,
2,プエルトリコ,Puerto Rico,1827,7171,9,659,2778,126661,,,,,,
2,チリ,Chile,1545,106535,-,289,2984,4189,,,,,,
2,ブラジル,Brazil,21849,41169,21,3933,17590,5830,,,,,,
1,アフリカ,Africa,11725,31852,18,646,21993,456579,,,,,,
2,南アフリカ共和国,Republic of South Africa,5655,5345,2,53,5811,436172,,,,,,
1,大洋州,Oceania,41592,151348,226,2078,54995,40974,,,,,,
2,オーストラリア,Australia,33586,89178,101,1869,48506,30390,,,,,,
2,ニュージーランド,New Zealand,7502,59766,124,197,5477,8913,,,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,
12-6  国別輸出入額 (令和2年) 12-6   VALUE OF IMPORTS AND EXPORTS BY SELECTED COUNTRY ( 2020 ),,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡価額 (F.O.B.)，輸入は到着価額 (C.I.F.) である。 ,,,,,,,,,,,,,,
This table has been prepared in reference to import/export declarations， reshipment declarations， notifications of the seaports/airports of entry/departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.,,,,,,,,,,,,,,
注) 主要国及び地域のみを掲げたので，各国・地域の合計と小計とは一致しない。,,,,,,,,,,,,,,
Note: Totals and subtotals by country and region do not match the sum of their components because data only reter to selected countries and regions.,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」，「貿易概況」 Source: Tokyo Customs ,,,,,,,,,,,,,,
（単位  百万円）(In millions of yen)  ,,,,,,,,,,,,,,
地域階層 (0:総額　1:地域　2:内訳),,,,,,,,,,,,,,
