年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成29,2017,総数,Total,,,,3471048,2041568,1429454
平成30,2018,総数,Total,,,,3509798,2064649,1445124
令和元,2019,総数,Total,,,,3484080,2089331,1394728
令和2,2020,総数,Total,,,,2321481,1512046,809409
令和3,2021,総数,Total,,,,2439829,1465274,974555
令和3,2021,うち区部,Ku area only,,,,2006350,1185930,820416
令和3,2021,東海道本線,Tokaido Line,,,※,447472,269104,178368
令和3,2021,東海道本線,Tokaido Line,東京,Tokyo,,103163,57579,45584
令和3,2021,東海道本線,Tokaido Line,有楽町,Yurakucho,,37517,21567,15950
令和3,2021,東海道本線,Tokaido Line,新橋,Shimbashi,,61103,38690,22413
令和3,2021,東海道本線,Tokaido Line,浜松町,Hamamatsucho,,35381,22900,12480
令和3,2021,東海道本線,Tokaido Line,田町,Tamachi,,35848,24232,11616
令和3,2021,東海道本線,Tokaido Line,高輪ゲートウェイ,Takanawa Gateway,,2871,1844,1027
令和3,2021,東海道本線,Tokaido Line,品川,Shinagawa,,77563,44011,33552
令和3,2021,東海道本線,Tokaido Line,大井町,Oimachi,,25668,15207,10462
令和3,2021,東海道本線,Tokaido Line,大森,Omori,,25094,15530,9564
令和3,2021,東海道本線,Tokaido Line,蒲田,Kamata,,38083,24405,13678
令和3,2021,東海道本線,Tokaido Line,西大井,Nishi-Oi,,5178,3137,2041
令和3,2021,中央本線,Chuo Line,,,,557607,344335,213272
令和3,2021,中央本線,Chuo Line,神田,Kanda,※,26216,16123,10093
令和3,2021,中央本線,Chuo Line,御茶ノ水,Ochanomizu,※,26006,16526,9479
令和3,2021,中央本線,Chuo Line,水道橋,Suidobashi,※,17278,9825,7452
令和3,2021,中央本線,Chuo Line,飯田橋,Iidabashi,※,20197,13150,7047
令和3,2021,中央本線,Chuo Line,市ケ谷,Ichigaya,※,15274,10437,4837
令和3,2021,中央本線,Chuo Line,四ツ谷,Yotsuya,※,25896,17612,8284
令和3,2021,中央本線,Chuo Line,信濃町,Shinanomachi,※,6050,3537,2513
令和3,2021,中央本線,Chuo Line,千駄ケ谷,Sendagaya,※,4263,2155,2109
令和3,2021,中央本線,Chuo Line,代々木,Yoyogi,※,16766,8507,8258
令和3,2021,中央本線,Chuo Line,大久保,Okubo,※,7330,3758,3572
令和3,2021,中央本線,Chuo Line,東中野,Higashi-Nakano,※,11825,6778,5048
令和3,2021,中央本線,Chuo Line,中野,Nakano,※,39611,24294,15317
令和3,2021,中央本線,Chuo Line,高円寺,Koenji,※,14618,7994,6623
令和3,2021,中央本線,Chuo Line,阿佐ケ谷,Asagaya,※,13011,7500,5511
令和3,2021,中央本線,Chuo Line,荻窪,Ogikubo,※,25684,15515,10169
令和3,2021,中央本線,Chuo Line,西荻窪,Nishi-Ogikubo,※,13140,7486,5654
令和3,2021,中央本線,Chuo Line,吉祥寺,Kichijoji,,39374,22297,17077
令和3,2021,中央本線,Chuo Line,三鷹,Mitaka,,26882,17416,9465
令和3,2021,中央本線,Chuo Line,武蔵境,Musashi-Sakai,,18891,12629,6262
令和3,2021,中央本線,Chuo Line,東小金井,Higashi-Koganei,,8828,5868,2960
令和3,2021,中央本線,Chuo Line,武蔵小金井,Musashi-Koganei,,18153,12340,5813
令和3,2021,中央本線,Chuo Line,国分寺,Kokubunji,,31463,21086,10377
令和3,2021,中央本線,Chuo Line,西国分寺,Nishi-Kokubunji,,8594,5119,3474
令和3,2021,中央本線,Chuo Line,国立,Kunitachi,,15356,10321,5034
令和3,2021,中央本線,Chuo Line,立川,Tachikawa,,47750,26884,20866
令和3,2021,中央本線,Chuo Line,日野,Hino,,7386,5133,2254
令和3,2021,中央本線,Chuo Line,豊田,Toyoda,,10046,7178,2869
令和3,2021,中央本線,Chuo Line,八王子,Hachioji,,23933,14465,9468
令和3,2021,中央本線,Chuo Line,西八王子,Nishi-Hachioji,,9563,6859,2704
令和3,2021,中央本線,Chuo Line,高尾,Takao,,8220,5540,2680
令和3,2021,南武線,Nambu Line,,,,35376,23186,12190
令和3,2021,南武線,Nambu Line,矢野口,Yanokuchi,,2957,1980,976
令和3,2021,南武線,Nambu Line,稲城長沼,Inaginaganuma,,2401,1643,758
令和3,2021,南武線,Nambu Line,南多摩,Minamitama,,1922,1198,724
令和3,2021,南武線,Nambu Line,府中本町,Fuchu-Hommachi,,4355,2316,2039
令和3,2021,南武線,Nambu Line,分倍河原,Bubaigawara,,11835,7697,4139
令和3,2021,南武線,Nambu Line,西府,Nishifu,,3130,2259,871
令和3,2021,南武線,Nambu Line,谷保,Yaho,,3103,2117,986
令和3,2021,南武線,Nambu Line,矢川,Yagawa,,2588,1752,836
令和3,2021,南武線,Nambu Line,西国立,Nishi-Kunitachi,,3083,2222,860
令和3,2021,横浜線,Yokohama Line,,,,46843,30079,16765
令和3,2021,横浜線,Yokohama Line,成瀬,Naruse,,5564,3675,1889
令和3,2021,横浜線,Yokohama Line,町田,Machida,,31473,19685,11788
令和3,2021,横浜線,Yokohama Line,相原,Aihara,,2745,1869,876
令和3,2021,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,5443,3827,1615
令和3,2021,横浜線,Yokohama Line,片倉,Katakura,,1617,1022,595
令和3,2021,青梅線,Ome Line,,,,46569,31514,15055
令和3,2021,青梅線,Ome Line,西立川,Nishi-Tachikawa,,1861,1157,704
令和3,2021,青梅線,Ome Line,東中神,Higashi-Nakagami,,2202,1547,655
令和3,2021,青梅線,Ome Line,中神,Nakagami,,3561,2493,1068
令和3,2021,青梅線,Ome Line,昭島,Akishima,,7392,4818,2574
令和3,2021,青梅線,Ome Line,拝島,Haijima,,8970,6006,2964
令和3,2021,青梅線,Ome Line,牛浜,Ushihama,,1295,787,508
令和3,2021,青梅線,Ome Line,福生,Fussa,,4687,3106,1581
令和3,2021,青梅線,Ome Line,羽村,Hamura,,3926,2747,1179
令和3,2021,青梅線,Ome Line,小作,Ozaku,,4640,3240,1400
令和3,2021,青梅線,Ome Line,河辺,Kabe,,3941,2753,1188
令和3,2021,青梅線,Ome Line,東青梅,Higashi-Ome,,1989,1477,512
令和3,2021,青梅線,Ome Line,青梅,Ome,,1820,1287,533
令和3,2021,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
令和3,2021,青梅線,Ome Line,日向和田,Hinatawada,○,…,…,…
令和3,2021,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
令和3,2021,青梅線,Ome Line,二俣尾,Futamatao,○,…,…,…
令和3,2021,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
令和3,2021,青梅線,Ome Line,沢井,Sawai,○,…,…,…
令和3,2021,青梅線,Ome Line,御嶽,Mitake,○,…,…,…
令和3,2021,青梅線,Ome Line,川井,Kawai,○,…,…,…
令和3,2021,青梅線,Ome Line,古里,Kori,○,…,…,…
令和3,2021,青梅線,Ome Line,鳩ノ巣,Hatonosu,○,…,…,…
令和3,2021,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
令和3,2021,青梅線,Ome Line,奥多摩,Okutama,,285,96,189
令和3,2021,五日市線,Itsukaichi Line,,,,6238,4463,1775
令和3,2021,五日市線,Itsukaichi Line,熊川,Kumagawa,○,…,…,…
令和3,2021,五日市線,Itsukaichi Line,東秋留,Higashi-Akiru,,1366,1015,351
令和3,2021,五日市線,Itsukaichi Line,秋川,Akigawa,,1953,1415,538
令和3,2021,五日市線,Itsukaichi Line,武蔵引田,Musashi-Hikida,,964,677,287
令和3,2021,五日市線,Itsukaichi Line,武蔵増戸,Musashi-Masuko,,726,523,203
令和3,2021,五日市線,Itsukaichi Line,武蔵五日市,Musashi-Itsukaichi,,1229,833,396
令和3,2021,武蔵野線,Musashino Line,,,,19626,13758,5868
令和3,2021,武蔵野線,Musashino Line,北府中,Kita-Fuchu,,4483,3592,890
令和3,2021,武蔵野線,Musashino Line,新小平,Shin-Kodaira,,3414,2263,1151
令和3,2021,武蔵野線,Musashino Line,新秋津,Shin-Akitsu,,11729,7903,3826
令和3,2021,八高線,Hachiko Line,,,,4386,3206,1181
令和3,2021,八高線,Hachiko Line,北八王子,Kita-Hachioji,,2205,1643,562
令和3,2021,八高線,Hachiko Line,小宮,Komiya,,860,594,266
令和3,2021,八高線,Hachiko Line,東福生,Higashi-Fussa,○,…,…,…
令和3,2021,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1322,969,353
令和3,2021,東北本線,Tohoku Line,,,※,258343,145205,113138
令和3,2021,東北本線,Tohoku Line,秋葉原,Akihabara,,58958,29215,29743
令和3,2021,東北本線,Tohoku Line,御徒町,Okachimachi,,18148,10326,7822
令和3,2021,東北本線,Tohoku Line,上野,Ueno,,44561,23561,21000
令和3,2021,東北本線,Tohoku Line,鶯谷,Uguisudani,,6895,3193,3702
令和3,2021,東北本線,Tohoku Line,日暮里,Nippori,,29972,17748,12224
令和3,2021,東北本線,Tohoku Line,西日暮里,Nishi-Nippori,,27943,17156,10787
令和3,2021,東北本線,Tohoku Line,田端,Tabata,,12744,7420,5324
令和3,2021,東北本線,Tohoku Line,上中里,Kami-Nakazato,,2247,1469,779
令和3,2021,東北本線,Tohoku Line,王子,Oji,,17972,11825,6147
令和3,2021,東北本線,Tohoku Line,東十条,Higashi-Jujo,,7109,4424,2684
令和3,2021,東北本線,Tohoku Line,赤羽,Akabane,,28587,16735,11852
令和3,2021,東北本線,Tohoku Line,尾久,Oku,,3205,2133,1072
令和3,2021,山手線,Yamanote Line,,,※,710589,399178,311411
令和3,2021,山手線,Yamanote Line,大崎,Osaki,,37863,23710,14152
令和3,2021,山手線,Yamanote Line,五反田,Gotanda,,34195,19825,14370
令和3,2021,山手線,Yamanote Line,目黒,Meguro,,27251,14643,12607
令和3,2021,山手線,Yamanote Line,恵比寿,Ebisu,,36185,18680,17504
令和3,2021,山手線,Yamanote Line,渋谷,Shibuya,,90704,47097,43607
令和3,2021,山手線,Yamanote Line,原宿,Harajuku,,16956,6018,10938
令和3,2021,山手線,Yamanote Line,新宿,Shinjuku,,190595,106103,84492
令和3,2021,山手線,Yamanote Line,新大久保,Shin-Okubo,,13039,5252,7787
令和3,2021,山手線,Yamanote Line,高田馬場,Takadanobaba,,55018,33847,21171
令和3,2021,山手線,Yamanote Line,目白,Mejiro,,9609,5837,3772
令和3,2021,山手線,Yamanote Line,池袋,Ikebukuro,,148734,88487,60248
令和3,2021,山手線,Yamanote Line,大塚,Otsuka,,16204,9029,7174
令和3,2021,山手線,Yamanote Line,巣鴨,Sugamo,,20709,12530,8179
令和3,2021,山手線,Yamanote Line,駒込,Komagome,,13527,8119,5408
令和3,2021,埼京線,Saikyo Line,,,※,33004,21932,11071
令和3,2021,埼京線,Saikyo Line,板橋,Itabashi,,10046,6046,4000
令和3,2021,埼京線,Saikyo Line,十条,Jujo,,10481,7308,3172
令和3,2021,埼京線,Saikyo Line,北赤羽,Kita-Akabane,,5788,3903,1884
令和3,2021,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,6689,4675,2014
令和3,2021,常磐線,Joban Line,,,※,102556,71374,31182
令和3,2021,常磐線,Joban Line,三河島,Mikawashima,,3574,2421,1153
令和3,2021,常磐線,Joban Line,南千住,Minami-Senju,,5256,3478,1778
令和3,2021,常磐線,Joban Line,北千住,Kita-Senju,,61527,44341,17185
令和3,2021,常磐線,Joban Line,綾瀬,Ayase,,4327,2833,1493
令和3,2021,常磐線,Joban Line,亀有,Kameari,,12779,8187,4592
令和3,2021,常磐線,Joban Line,金町,Kanamachi,,15094,10113,4980
令和3,2021,総武線,Sobu Line,,,※,133893,84286,49606
令和3,2021,総武線,Sobu Line,両国,Ryogoku,,10306,6312,3994
令和3,2021,総武線,Sobu Line,浅草橋,Asakusabashi,,14600,9141,5460
令和3,2021,総武線,Sobu Line,新日本橋,Shin-Nihombashi,,5391,3901,1490
令和3,2021,総武線,Sobu Line,馬喰町,Bakurocho,,7047,4807,2240
令和3,2021,総武線,Sobu Line,錦糸町,Kinshicho,,28688,15746,12941
令和3,2021,総武線,Sobu Line,亀戸,Kameido,,16305,10284,6021
令和3,2021,総武線,Sobu Line,平井,Hirai,,9772,6415,3357
令和3,2021,総武線,Sobu Line,新小岩,Shin-Koiwa,,22631,15049,7582
令和3,2021,総武線,Sobu Line,小岩,Koiwa,,19151,12631,6520
令和3,2021,京葉線,Keiyo Line,,,※,37328,23654,13674
令和3,2021,京葉線,Keiyo Line,八丁堀,Hatchobori,,8476,5435,3041
令和3,2021,京葉線,Keiyo Line,越中島,Etchujima,,1608,1055,552
令和3,2021,京葉線,Keiyo Line,潮見,Shiomi,,4253,3043,1210
令和3,2021,京葉線,Keiyo Line,新木場,Shin-Kiba,,18964,11794,7171
令和3,2021,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4027,2328,1700
,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-8　JRの駅別乗車人員 (平成29～令和3年度) 4-8  NUMBER OF PASSENGERS ON EAST JAPAN RAILWAY COMPANY TRAINS BY STATION ( Fiscal Years 2017-2021 ),,,,,,,,,
各駅の乗車人員は最新年度1年間の合計である。各駅はJRの基準により配列した。 またJR内の乗り継ぎを除く。 乗り換え駅は主線に載せた。,,,,,,,,,
The number of boarding passengers for each station is a one-year total for the most recent fiscal year. Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line.,,,,,,,,,
注 1) ※印は区部にある駅 （線） を示す。,,,,,,,,,
2) ○印の駅は無人駅のため，資料元において非公開としているので各々の計にも含まない。,,,,,,,,,
Note: 1) Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,
2) Stations marked with a ○ are unmanned stations and are not included in the respective totals as figures are not disclosed by the data source.,,,,,,,,,
"資料：東日本旅客鉄道株式会社首都圏本部企画総務部経営戦略ユニット, 東日本旅客鉄道株式会社「各駅の乗車人員 2021年度 」 Source: East Japan Railway Company",,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,
