品目階層,品目,Item,平成31･令和元年 2019／数量 Quantity,平成31･令和元年 2019／金額 Value,令和2年 2020／数量 Quantity,令和2年 2020／金額 Value,令和3年 2021／数量 Quantity,令和3年 2021／金額 Value
0,総数,Total,1951158,545443174,1903655,560467083,1876879,546654712
1,野菜,Vegetables,1503623,356421977,1486183,369364363,1447223,347783438
2,根菜類,Root vegetables,237192,29358963,232542,32197688,229482,29867392
3,だいこん,Japanese radish,118030,9648700,114890,10186091,110912,9071593
3,かぶ,Turnip,13373,1853852,13166,1834443,13786,1762439
3,にんじん,Carrot,87228,10003240,86758,12871081,87303,11190186
3,ごぼう,Edible burdock,8729,2520459,7830,2378274,6716,2569679
3,れんこん,Lotus root,7418,3780221,7365,3656296,8585,4068018
3,その他,Others,2414,1552493,2533,1271503,2180,1205476
2,キャベツ類,Cabbage varieties,198012,16303124,195354,19302306,199604,14808161
2,レタス類,Lettuce varieties,94057,17081496,90855,15209828,89159,15073628
2,葉茎菜類,Leaf and stem vegetables,298794,81286429,301357,84625226,293401,77913545
3,はくさい,Chinese cabbage,127428,7561223,127867,9592674,124203,6707758
3,こまつな,"""Komatsuna""",13522,4211691,14965,4478863,14028,3635807
3,ほうれんそう,Spinach,14404,7560105,15565,8214775,16528,7779475
3,ねぎ,Welsh onion,53039,16493987,52705,17464910,49384,17180964
3,ブロッコリー,Broccoli,31755,12328197,34052,13029624,35524,13062421
3,その他,Others,58645,33131225,56203,31844380,53735,29547120
2,果菜類,Fruit vegetables,307960,110836787,299100,117270620,302251,107780799
3,きゅうり,Cucumber,75392,23817679,75398,26673528,76652,22745492
3,かぼちゃ,Pumpkin　,32365,5492926,29052,5506969,27594,4943317
3,なす,Eggplant,30518,12085274,30059,12736724,29996,11373886
3,トマト,Tomato,80740,27715834,76486,28424913,78258,27587800
3,ピーマン,Bell pepper,24267,11061083,24905,13484973,26096,11288047
3,その他,Others,64678,30663991,63199,30443514,63654,29842258
2,豆科野菜類,Legumes,13347,11030250,12598,10704537,12537,10302303
3,いんげん,String bean,2975,2589989,2699,2389724,2517,2270791
3,えだまめ,Green soybean,5650,4565884,5020,4567113,5458,4404290
3,その他,Others,4721,3874377,4879,3747700,4563,3627222
2,ばれいしょ類,Potatoes,90753,10555852,93947,14847864,78503,17166089
2,土物類,Sweet potatoes/onions， etc.,178524,30779721,184376,29408079,173597,32506596
3,かんしょ,Sweet potato,26655,6870061,26323,7086441,27994,8100313
3,たまねぎ,Onion,122851,12311887,128136,10581232,119317,13465983
3,その他,Others,29019,11597772,29918,11740406,26286,10940299
2,香辛つま物類,Spices/garnishes,12158,17703035,11553,15689627,10527,15299451
3,根しょうが,Ginger,4366,2780896,4242,2795026,3353,2248312
3,その他,Others,7792,14922139,7311,12894600,7174,13051140
2,きのこ山菜類,Mushrooms/Wild plants,41182,22774580,39285,22511685,37807,20367481
3,なましいたけ,"""Shiitake"" mushroom， fresh",7470,6971346,7546,7095793,7490,6720519
3,えのきだけ,"""Enokidake"" mushroom",14192,2932357,13051,3270399,12499,2805268
3,しめじ,"""Shimeji"" mushroom",8732,3778928,7916,3587199,7505,3002501
3,その他,Others,10789,9091950,10772,8558293,10312,7839193
2,その他野菜類,Others,4543,3232399,3972,3109061,4535,3185648
3,うめ,"""Ume"" apricot",1806,1047266,1477,1126702,2071,1324505
3,その他,Others,2737,2185134,2496,1982360,2465,1861143
2,野菜加工品,Processed vegetables,27100,5479339,21243,4487842,15819,3512344
1,果実,Fruits,413053,178146145,389552,181273632,402476,187783492
2,みかん類,Mandarins,93890,28526571,94150,28482401,96591,28889986
2,かんきつ類,Citrus varieties,53734,16951371,49882,15973017,47347,16027420
3,いよかん,"""Iyo""tangor",5583,1315327,4993,1122219,4523,1016179
3,グレープ,Grapefruit,3901,699152,3329,636338,2780,533530
3,その他,Others,44249,14936891,41559,14214460,40044,14477710
2,りんご類,Apples,61485,19222716,57725,20776030,62047,19744866
2,日本なし類,Japanese pears,21939,7724051,15225,7661454,17569,7942172
2,西洋なし類,European pears,2955,987871,2643,1015459,2077,970169
2,かき類,Japanese persimmons,20641,5779774,19483,6313647,19444,6729924
2,びわ類,Loquats,458,683853,291,492721,357,630975
2,もも類,Peaches,12971,8038508,10882,7914278,12482,9170057
2,すもも類,Plums,2643,1699216,2456,1738684,2687,1854692
2,おうとう類,Cherries,1431,3284372,1561,3410754,1034,2651761
2,あんず類,Apricots,109,70853,39,30466,59,54204
2,ぶどう類,Grapes,14072,17388216,13385,19612024,13722,21485144
2,くり類,Chestnuts,784,575397,1078,713260,992,686950
2,いちぢく類,Figs,929,888452,785,832358,846,870997
2,いちご類,Strawberries,23946,33453685,23773,33753518,25518,35425085
2,メロン類,Melons,18415,9625712,17270,9344665,17863,10113626
2,すいか類,Watermelons,40278,8951856,36837,9206888,40785,10663015
2,その他果実,Other fruits,39133,11202676,38698,10706744,37439,10558958
2,果実加工品,Processed fruits,3241,3090997,3389,3295261,3616,3313489
1,つけ物,Pickles,11835,5699528,9049,5179440,7508,5370286
1,その他食料品,Other foods,11360,2533430,10045,2587339,11593,3460365
1,鳥卵,Poultry eggs,11288,2642093,8826,2062310,8080,2257131
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成31･令和元～令和3年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2019-2021 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
