年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 Adjudication equivalent to agreement,既済 Disposed／調停に代わる審判 Adjudication in lieu of conciliation,既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 Adjudication equivalent to agreement,異議 Objection／調停に代わる審判 Adjudication in lieu of conciliation,,,,,,,,,,,,,,
令和2,2020,0,,総数,Total,24223,9680,14543,13506,6162,2850,2556,172,1048,150,568,10717,-,160,,,,,,,,,,,,,,
令和3,2021,0,,総数,Total,25665,10717,14948,15770,7224,3622,2658,195,1314,182,575,9895,-,157,,,,,,,,,,,,,,
令和3,2021,1,,別表第二調停事件総数,Total number of domestic relations conciliation cases stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,15951,6869,9082,9419,4855,1414,1695,-,911,119,425,6532,-,143,,,,,,,,,,,,,,
令和3,2021,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,22,10,12,10,1,4,3,-,-,1,1,12,-,-,,,,,,,,,,,,,,
令和3,2021,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,4853,1951,2902,3253,1872,472,505,-,248,18,138,1600,-,63,,,,,,,,,,,,,,
令和3,2021,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,6246,2498,3748,3621,1824,597,670,-,274,42,214,2625,-,57,,,,,,,,,,,,,,
令和3,2021,3,,うち監護者の指定,(of which) Designation of a child custodian,506,195,311,315,90,77,99,-,14,-,35,191,-,3,,,,,,,,,,,,,,
令和3,2021,3,,うち養育費請求,(of which) Claim for child support payments,2273,735,1538,1506,846,228,176,-,169,16,71,767,-,34,,,,,,,,,,,,,,
令和3,2021,3,,うち面会交流,(of which) Visitation and contacts,3132,1443,1689,1600,840,243,337,-,81,26,73,1532,-,15,,,,,,,,,,,,,,
令和3,2021,3,,うち子の引渡し,(of which) Surrender of child custody ,317,121,196,190,47,44,54,-,10,-,35,127,-,5,,,,,,,,,,,,,,
令和3,2021,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,445,199,246,250,130,48,50,-,9,2,11,195,-,6,,,,,,,,,,,,,,
令和3,2021,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,39,19,20,30,8,12,6,-,3,1,-,9,-,-,,,,,,,,,,,,,,
令和3,2021,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,2,-,2,2,-,2,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
令和3,2021,2,7,親権者の指定又は変更,Designation or change of person having parental authority,459,152,307,342,161,47,98,-,17,5,14,117,-,4,,,,,,,,,,,,,,
令和3,2021,2,8,扶養に関する処分,Disposition on support,107,46,61,80,28,14,28,-,6,3,1,27,-,-,,,,,,,,,,,,,,
令和3,2021,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,3512,1892,1620,1660,739,186,310,-,340,42,43,1852,-,12,,,,,,,,,,,,,,
令和3,2021,2,10,寄与分を定める処分,Disposition to determine an heir's contributory portion,81,39,42,40,16,12,7,-,4,1,-,41,-,-,,,,,,,,,,,,,,
令和3,2021,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,136,31,105,102,75,7,7,-,10,1,2,34,-,1,,,,,,,,,,,,,,
令和3,2021,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
令和3,2021,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir / rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
令和3,2021,1,,別表第二以外の調停事件総数,Total number of cases of conciliation of domestic relations other than those stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,9714,3848,5866,6351,2369,2208,963,195,403,63,150,3363,-,14,,,,,,,,,,,,,,
