項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,178007,54017,42910,19759,15321,12605,9695,8109,4481,3291,7444,375,71675,63597,6469,1091,518
,区部,All ku,,,,151882,44635,34401,17268,13649,11322,8988,7413,3976,3048,6817,365,61303,53942,5840,1024,497
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,188,12,11,5,4,10,18,12,12,4,72,28,236,62,53,37,84
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,2023,214,316,296,244,252,255,176,56,51,152,11,1276,926,261,56,33
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4884,521,900,726,619,662,611,372,112,140,216,5,2320,1975,294,41,10
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3586,266,469,407,434,502,528,412,153,178,232,5,2138,1620,412,69,37
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3811,304,554,504,495,492,484,420,182,169,202,5,1781,1478,215,59,29
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,681,113,93,57,56,106,39,43,17,36,89,32,219,171,36,8,4
7,港区,Minato-ku,芝署,Shiba F. Sta.,,3926,450,605,463,424,482,524,328,156,130,312,52,2049,1639,291,77,42
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2517,577,503,312,279,249,199,113,74,60,143,8,1799,1529,219,33,18
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1964,415,367,251,201,202,185,137,57,37,99,13,1646,1339,231,60,16
10,港区,Minato-ku,高輪署,Takanawa F. Sta.,,1363,335,272,133,122,120,86,78,45,37,111,24,831,680,108,32,11
11,新宿区,Shinjuku-ku,四谷署,Yotsuya F. Sta.,,2126,451,434,246,191,202,215,181,83,32,90,1,1296,1095,166,33,2
12,新宿区,Shinjuku-ku,牛込署,Ushigome F. Sta.,,2812,784,738,330,244,174,135,137,67,65,133,5,1413,1257,132,17,7
13,新宿区,Shinjuku-ku,新宿署,Shinjuku F. Sta.,,5334,1615,1179,570,411,371,357,305,136,107,245,38,3018,2471,423,76,48
14,文京区,Bunkyo-ku,小石川署,Koishikawa F. Sta.,,2654,737,585,291,220,165,167,144,117,69,156,3,1204,1042,134,18,10
