年次,Year,海区,Sea region,区分,Classification,区分,Classification,生産金額 Value
令和2,2020,総数,Total,総数,Total,,,3089178
令和2,2020,総数,Total,魚類,Fish,総数,Total,2709574
令和2,2020,総数,Total,魚類,Fish,きんめだい,Alfonsino,1397892
令和2,2020,総数,Total,魚類,Fish,まぐろ類,Tuna,350542
令和2,2020,総数,Total,魚類,Fish,かじき類,Swordfish,324529
令和2,2020,総数,Total,その他の水産動物,Other marine animals,総数,Total,249056
令和2,2020,総数,Total,その他の水産動物,Other marine animals,いか,Squid,124688
令和2,2020,総数,Total,その他の水産動物,Other marine animals,さんご,Coral,75120
令和2,2020,総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,44673
令和2,2020,総数,Total,貝類,Shellfish,総数,Total,32998
令和2,2020,総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,15027
令和2,2020,総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,9805
令和2,2020,総数,Total,貝類,Shellfish,あわび,Abalone,2081
令和2,2020,総数,Total,藻類,Seaweed,総数,Total,97550
令和2,2020,総数,Total,藻類,Seaweed,てんぐさ,Tengusa,83544
令和2,2020,総数,Total,藻類,Seaweed,とさかのり,Comb paste,11748
令和2,2020,総数,Total,藻類,Seaweed,いわのり,Spontaneous purple,231
令和2,2020,東京湾海区,Tokyo bay area,総数,Total,,,218824
令和2,2020,東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,199588
令和2,2020,東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,129283
令和2,2020,東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,19449
令和2,2020,東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,10378
令和2,2020,東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,72
令和2,2020,東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,19060
令和2,2020,東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,15027
令和2,2020,東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,104
令和2,2020,大島海区,Oshima sea area,総数,Total,,,1229149
令和2,2020,大島海区,Oshima sea area,魚類,Fish,総数,Total,991472
令和2,2020,大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,691130
令和2,2020,大島海区,Oshima sea area,魚類,Fish,まぐろ類,Tuna,113857
令和2,2020,大島海区,Oshima sea area,魚類,Fish,むつ類,Gnomefish,38487
令和2,2020,大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,128553
令和2,2020,大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか,Squid,90247
令和2,2020,大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,38222
令和2,2020,大島海区,Oshima sea area,貝類,Shellfish,総数,Total,13430
令和2,2020,大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,9667
令和2,2020,大島海区,Oshima sea area,貝類,Shellfish,あわび,Abalone,2081
令和2,2020,大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,908
令和2,2020,大島海区,Oshima sea area,藻類,Seaweed,総数,Total,95694
令和2,2020,大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,82497
令和2,2020,大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,11748
令和2,2020,三宅海区,Miyake sea area,総数,Total,,,249334
令和2,2020,三宅海区,Miyake sea area,魚類,Fish,総数,Total,239072
令和2,2020,三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,116683
令和2,2020,三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,75980
令和2,2020,三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,11646
令和2,2020,三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,8019
令和2,2020,三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,5279
令和2,2020,三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか,Squid,2466
令和2,2020,三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,500
令和2,2020,三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,130
令和2,2020,三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,1743
令和2,2020,三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,1047
令和2,2020,三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,231
令和2,2020,八丈海区,Hachijo sea area,総数,Total,,,782244
令和2,2020,八丈海区,Hachijo sea area,魚類,Fish,総数,Total,780940
令和2,2020,八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,590079
令和2,2020,八丈海区,Hachijo sea area,魚類,Fish,まぐろ類,Tuna,82513
令和2,2020,八丈海区,Hachijo sea area,魚類,Fish,めだい,Doderlein,21870
令和2,2020,八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,1287
令和2,2020,八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,795
令和2,2020,八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,その他のえび類,Other shrimps and prawns,40
令和2,2020,八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,8
令和2,2020,八丈海区,Hachijo sea area,貝類,Shellfish,とこぶし,Japanese abalone,8
令和2,2020,八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,9
令和2,2020,小笠原海区,Ogasawara sea area,総数,Total,,,609627
令和2,2020,小笠原海区,Ogasawara sea area,魚類,Fish,総数,Total,498502
令和2,2020,小笠原海区,Ogasawara sea area,魚類,Fish,かじき類,Swordfish,314258
令和2,2020,小笠原海区,Ogasawara sea area,魚類,Fish,まぐろ類,Tuna,78192
令和2,2020,小笠原海区,Ogasawara sea area,魚類,Fish,はまだい,Ruby snapper,70127
令和2,2020,小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,総数,Total,111125
令和2,2020,小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,さんご,Coral,75120
令和2,2020,小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いか,Squid,31975
令和2,2020,小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,かめ,Sea turtle,3564
令和2,2020,小笠原海区,Ogasawara sea area,貝類,Shellfish,総数,Total,-
令和2,2020,小笠原海区,Ogasawara sea area,藻類,Seaweed,総数,Total,-
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,
9-8  海区別生産金額（令和2年） 9-8 CATCHES ( VALUE ) BY SEA REGION ( 2020 )　,,,,,,,,
大手水産会社による遠洋・沖合漁業を除く。,,,,,,,,
Excluding deep sea and offshore activities by large fishery companies.,,,,,,,,
注) 数値は，主要生産額のみを掲げたので，内訳の合計は総数に一致しない。,,,,,,,,
Note: The total is not the sum of the details as detailed figures are given for key values only.,,,,,,,,
資料：都産業労働局農林水産部水産課 「東京都の水産」 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,
（単位　千円） (Value in thousands of yen),,,,,,,,
