年次,Year,総数 Total,建設業 Construction,製造業 Manufacturing,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.,その他 Others
平成29,2017,172,2,29,19,19,6,-,-,4,8,3,8,57,5,12,-
平成30,2018,148,3,30,20,11,9,2,-,2,2,1,8,46,-,14,-
平成31･令和元,2019,135,1,30,21,10,8,-,-,2,6,2,9,40,-,3,3
令和2,2020,135,1,29,14,11,8,2,1,4,9,3,5,38,-,7,3
令和3,2021,156,2,28,19,10,10,-,2,5,5,2,13,38,-,18,4
,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,
7-8  産業別労働争議件数 （平成29～令和3年） 7-8  LABOR DISPUTES BY INDUSTRY （ 2017-2021 ）,,,,,,,,,,,,,,,,,
資料：都産業労働局雇用就業部労働環境課 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,,,,,,,,,,
