学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,68043,31478,36565,…,…,…,7272,…,…
幼稚園,Kindergartens,1136,834,22,812,259,55,204,43,4,39
幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),213,199,10,189,8,-,8,6,-,6
小学校,Elementary schools,44713,34442,13503,20939,6870,1925,4945,3401,1418,1983
中学校,Junior high schools,21501,15623,8662,6961,4534,2074,2460,1344,591,753
義務教育学校,Compulsory education schools,582,487,229,258,59,15,44,36,13,23
高等学校,Senior high schools,13327,9163,5811,3352,2903,1582,1321,1261,689,572
中等教育学校,Secondary education schools,604,447,296,151,112,60,52,45,20,25
大学,Colleges and universities,…,679,542,137,…,…,…,404,170,234
高等専門学校,Colleges of technology,…,125,112,13,…,…,…,41,…,…
特別支援学校,Special needs schools,7119,5840,2258,3582,631,209,422,648,300,348
高等学校（通信制）,Senior high schools (Correspondence course),77,43,23,20,28,19,9,6,3,3
専修学校,Specialized training schools,1055,161,10,151,857,391,466,37,10,27
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (令和3年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2021 ),,,,,,,,,,,
"資料：文部科学省, 都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG ",,,,,,,,,,,
