年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
平成29,2017,,,44233,56523,9915,8721,2,14,-,-,16143,9606,2,3,-,-,100584,91097,746,261,18,42,17964,15149,4,18,-,-,12715,10902,2,1,-,-
平成30,2018,,,43763,54949,9566,8343,2,14,-,-,16328,10085,1,3,-,-,103538,93522,669,239,17,43,17724,15344,3,16,-,-,11583,10193,2,0,-,-
平成31･令和元,2019,,,42927,52418,8259,7474,1,13,-,-,15733,10140,0,2,-,-,105139,94562,604,241,17,46,16890,14829,3,16,-,-,11536,10484,2,1,-,-
令和2,2020,,,27752,34385,5106,4328,2,13,-,-,10055,6627,0,3,-,-,55885,51013,340,175,10,47,11318,9671,3,14,-,-,7906,7126,1,1,-,-
令和3,2021,,,30605,37814,5112,4417,2,11,-,-,10785,7230,0,2,-,-,54861,50667,265,180,8,48,12492,10812,3,15,-,-,8962,7691,1,1,-,-
令和3,2021,1,Jan.,1821,2081,300,241,176,981,-,-,607,519,30,332,-,-,2551,2258,20382,17304,784,4127,666,605,145,1103,-,-,480,415,85,12,-,-
令和3,2021,2,Feb.,1813,2383,355,250,118,864,-,-,669,449,11,199,-,-,2213,2110,18571,15416,635,3727,756,622,245,1039,-,-,578,474,94,62,-,-
令和3,2021,3,Mar.,2557,3340,378,293,123,967,-,-,900,610,24,190,-,-,3979,3708,12604,12379,612,4047,1201,981,297,1131,-,-,821,639,148,56,-,-
令和3,2021,4,Apr.,2414,3019,425,361,172,941,-,-,912,558,9,236,-,-,3584,3657,11630,13796,579,4672,1018,891,272,1009,-,-,625,569,142,68,-,-
令和3,2021,5,May,1764,2141,253,203,110,939,-,-,613,429,37,189,-,-,3945,3290,10617,11859,484,4213,740,672,205,1414,-,-,511,431,154,91,-,-
令和3,2021,6,June,2118,2603,274,226,112,942,-,-,773,496,21,166,-,-,2891,2596,11970,10895,490,4312,889,786,235,1067,-,-,643,587,96,81,-,-
令和3,2021,7,July,2662,3047,432,435,164,1034,-,-,922,652,20,171,-,-,5598,5593,21457,12343,565,3019,978,913,183,1185,-,-,675,614,81,60,-,-
令和3,2021,8,Aug.,2960,3498,524,562,84,1030,-,-,931,565,75,177,-,-,7386,6364,31175,14729,680,3199,1086,933,269,1256,-,-,882,826,77,135,-,-
令和3,2021,9,Sept.,2177,2734,349,300,95,922,-,-,786,536,28,177,-,-,4209,3615,24332,12248,621,3572,913,799,251,1331,-,-,654,520,108,223,-,-
令和3,2021,10,Oct.,3043,3819,428,351,189,897,-,-,1141,759,14,180,-,-,5111,4760,23374,17873,673,5002,1306,1143,223,1130,-,-,910,755,175,20,-,-
令和3,2021,11,Nov.,3456,4357,653,564,96,895,-,-,1222,820,26,230,-,-,6749,6285,26770,15239,616,3755,1389,1133,155,1151,-,-,1049,902,118,29,-,-
令和3,2021,12,Dec.,3820,4792,741,631,251,1025,-,-,1309,837,1,231,-,-,6645,6431,51904,25680,1045,3877,1550,1334,300,1715,-,-,1134,959,178,92,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-23　航空輸送量 (3)  その他の空港 （国内線）（平成29～令和3年） 4-23 TRANSPORTATION BY ＡIR (3) OTHER AIRPORTS ( DOMESTIC )  ( 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 都港湾局離島港湾部管理課 Source: Bureau of  Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：月別貨物郵便物取扱量（kg）） (Unit: Monthly amount of  freight/mail handled in kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
