年次,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
平成31･令和元,2019,,,降船者, Deboarding passengers,880199,-,20063,-,-,276992,169774,25147,10244,28962,523262,30920
令和2,2020,,,降船者, Deboarding passengers,248856,-,9728,-,-,130594,86311,14009,4341,17024,91251,259
令和3,2021,,,降船者, Deboarding passengers,237979,-,12079,-,-,139390,89523,14077,4715,18460,68050,-
令和3,2021,1,Jan.,降船者, Deboarding passengers,7914,-,637,-,-,5058,4215,460,132,907,1312,-
令和3,2021,2,Feb.,降船者, Deboarding passengers,6987,-,430,-,-,4662,3801,466,125,983,912,-
令和3,2021,3,Mar.,降船者, Deboarding passengers,17520,-,1226,-,-,10475,7680,1183,613,2045,3774,-
令和3,2021,4,Apr.,降船者, Deboarding passengers,15339,-,953,-,-,8643,5948,1037,337,1484,4259,-
令和3,2021,5,May,降船者, Deboarding passengers,13748,-,945,-,-,8381,5117,1027,460,1008,3414,-
令和3,2021,6,June,降船者, Deboarding passengers,13130,-,572,-,-,9008,5491,1046,245,1114,2436,-
令和3,2021,7,July,降船者, Deboarding passengers,24793,-,861,-,-,17426,9342,1584,607,2159,4347,-
令和3,2021,8,Aug.,降船者, Deboarding passengers,31908,-,1524,-,-,24675,12657,1563,774,2722,2987,-
令和3,2021,9,Sept.,降船者, Deboarding passengers,19446,-,822,-,-,14495,8247,1532,388,1199,2930,-
令和3,2021,10,Oct.,降船者, Deboarding passengers,23627,-,1546,-,-,11407,7695,1344,244,1558,9116,-
令和3,2021,11,Nov.,降船者, Deboarding passengers,29558,-,1363,-,-,13227,9701,1577,499,1573,13395,-
令和3,2021,12,Dec.,降船者, Deboarding passengers,34009,-,1200,-,-,11933,9629,1258,291,1708,19168,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,
4-20　航路別乗降船人員 (平成29～令和3年)（東京港） 4-20 NUMBER OF PASSENGERS BY VESSEL ROUTE ( 2017-2021 )( Port of Tokyo ),,,,,,,,,,,,,,,,,
注) 外国は，航路に外国港が１港でも含まれるものをいう。また，外国の乗降地は，寄港地が複数ある場合，直前の外国港とする。,,,,,,,,,,,,,,,,,
Note: Overseas indicates that at least one foreign port of call is included in the vessel route. If the liner vessel has multiple ports of call， the last foreign port of call is the boarding and deboarding port.,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,
