年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
令和2,2020,0,13000,,総数,Tokyo-to,3720,2677,217,-,5,821,161,127,1955,16264,726,87,711,5600790
令和3,2021,0,13000,,総数,Tokyo-to,3969,2830,217,1,6,915,227,152,2025,16753,480,86,670,4250190
令和3,2021,1,13100,,区部,All ku　,2816,2095,133,1,-,587,149,95,1438,8565,-,50,468,2528958
令和3,2021,2,13101,1,千代田区,Chiyoda-ku ,127,108,9,-,-,10,-,-,12,25,-,-,5,94072
令和3,2021,2,13102,2,中央区,Chuo-ku,103,80,4,-,-,19,-,-,14,2,-,-,14,12750
令和3,2021,2,13103,3,港区,Minato-ku,216,172,7,-,-,37,5,1,56,192,-,1,25,93325
令和3,2021,2,13104,4,新宿区,Shinjuku-ku,199,160,3,-,-,36,1,2,74,219,-,1,20,80608
令和3,2021,2,13105,5,文京区,Bunkyo-ku,63,53,3,-,-,7,-,1,37,180,-,1,10,308930
令和3,2021,2,13106,6,台東区,Taito-ku,83,57,6,-,-,20,4,4,32,130,-,3,9,44174
令和3,2021,2,13107,7,墨田区,Sumida-ku,81,57,2,-,-,22,1,2,47,59,-,4,10,24563
令和3,2021,2,13108,8,江東区,Koto-ku,129,90,8,-,-,31,13,5,56,809,-,3,19,168963
令和3,2021,2,13109,9,品川区,Shinagawa-ku ,106,76,11,1,-,18,8,14,48,663,-,2,19,89952
令和3,2021,2,13110,10,目黒区,Meguro-ku,86,71,3,-,-,12,13,2,42,378,-,2,15,200261
令和3,2021,2,13111,11,大田区,Ota-ku,175,124,10,-,-,41,8,10,94,492,-,4,41,150699
令和3,2021,2,13112,12,世田谷区,Setagaya-ku,196,148,12,-,-,36,15,13,167,1277,-,4,50,289332
令和3,2021,2,13113,13,渋谷区,Shibuya-ku,129,85,8,-,-,36,2,-,33,48,-,1,15,18684
令和3,2021,2,13114,14,中野区,Nakano-ku,63,50,3,-,-,10,7,3,40,271,-,4,20,75219
令和3,2021,2,13115,15,杉並区,Suginami-ku,101,89,3,-,-,9,3,3,78,110,-,-,19,43445
令和3,2021,2,13116,16,豊島区,Toshima-ku,119,89,2,-,-,28,4,1,47,105,-,1,23,24849
令和3,2021,2,13117,17,北区,Kita-ku,97,77,6,-,-,14,15,2,45,204,-,2,25,62283
令和3,2021,2,13118,18,荒川区,Arakawa-ku,42,29,-,-,-,13,3,-,23,207,-,2,4,36524
令和3,2021,2,13119,19,板橋区,Itabashi-ku,135,86,4,-,-,45,10,8,82,688,-,5,24,153256
令和3,2021,2,13120,20,練馬区,Nerima-ku,136,106,8,-,-,22,6,8,118,658,-,5,25,91226
令和3,2021,2,13121,21,足立区,Adachi-ku,174,114,8,-,-,52,9,7,133,743,-,1,28,194851
令和3,2021,2,13122,22,葛飾区,Katsushika-ku,108,74,5,-,-,29,4,2,63,277,-,3,26,33402
令和3,2021,2,13123,23,江戸川区,Edogawa-ku ,148,100,8,-,-,40,18,7,97,828,-,1,22,237590
令和3,2021,1,13200,,市部,All shi ,1111,717,81,-,4,309,75,56,581,7560,461,35,196,1662016
令和3,2021,2,13201,1,八王子市,Hachioji-shi,173,108,19,-,1,45,15,6,99,1428,1,6,22,719899
令和3,2021,2,13202,2,立川市,Tachikawa-shi,73,51,4,-,-,18,2,4,18,199,-,2,10,41715
令和3,2021,2,13203,3,武蔵野市,Musashino-shi,36,25,2,-,-,9,3,3,22,354,-,3,3,57334
令和3,2021,2,13204,4,三鷹市,Mitaka-shi,40,26,4,-,-,10,3,1,21,122,-,2,9,36173
令和3,2021,2,13205,5,青梅市,Ome-shi,44,27,5,-,3,9,8,3,19,1170,460,1,13,110302
令和3,2021,2,13206,6,府中市,Fuchu-shi,69,37,6,-,-,26,2,4,35,166,-,4,13,22051
令和3,2021,2,13207,7,昭島市,Akishima-shi,30,17,-,-,-,13,-,-,7,34,-,-,1,10062
令和3,2021,2,13208,8,調布市,Chofu-shi,53,38,6,-,-,9,-,6,28,275,-,1,15,76425
令和3,2021,2,13209,9,町田市,Machida-shi,112,74,5,-,-,33,4,3,50,802,-,2,17,60822
令和3,2021,2,13210,10,小金井市,Koganei-shi,25,22,1,-,-,2,4,4,15,73,-,1,6,7158
令和3,2021,2,13211,11,小平市,Kodaira-shi,35,24,2,-,-,9,2,3,25,209,-,-,9,57637
令和3,2021,2,13212,12,日野市,Hino-shi ,51,34,4,-,-,13,1,-,30,65,-,1,6,17330
