年,Year,項目,Item,総数 Total／頭数 Number（頭 Number）,総数 Total／重量 Weight（kg）,総数 Total／金額 Value（千円 in thousands of yen）
平成29,2017,総数,Total,329287,78147317,132904972
平成30,2018,総数,Total,332932,78259347,134061705
平成31･令和元,2019,総数,Total,327655,76813612,134159930
令和2,2020,総数,Total,332116,78109609,124160399
令和3,2021,総数,Total,333895,78291200,138003684
令和3,2021,牛,Cattle,131220,61744741,129508485
令和3,2021,豚,Pig,202549,16516356,8381550
令和3,2021,馬,Horse,2,261,436
令和3,2021,こ牛,Calf,125,11708,7043
令和3,2021,山羊・緬羊,Goat and sheep,-,-,-
令和3,2021,その他,Others,…,18134,106169
,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-3  畜産物の畜種別取扱高 （平成29～令和3年） 10-3 TOTAL TRANSACTIONS IN LIVESTOCK PRODUCTS BY TYPE OF LIVESTOCK （ 2017-2021 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　重量　kg，金額　千円） （Weight in kg ， Value in thousands of yen),,,,,,
