年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興業場 Entertainment places／総数 Total,常設興業場 Entertainment places／映画館 Cinemas,常設興業場 Entertainment places／スポーツ施設 Sports center,常設興業場 Entertainment places／その他 Others,プール Swimming pool
平成28,2016,0,13000,,東京都,Tokyo-to,8256,22064,10221,2060,593,1467,253,3010,1939,1058,13,861,288,35,538,2852
平成29,2017,0,13000,,東京都,Tokyo-to,8167,22844,10093,2014,561,1453,249,3233,2024,1196,13,895,316,38,541,2803
平成30,2018,0,13000,,東京都,Tokyo-to,8019,23482,9895,1991,542,1449,243,3780,2435,1333,12,905,320,38,547,2810
令和元,2019,0,13000,,東京都,Tokyo-to,7929,24088,9685,1953,522,1431,240,4707,3308,1388,11,941,314,46,581,2799
令和2,2020,0,13000,,東京都,Tokyo-to,7802,24713,9395,1900,501,1399,237,4957,3620,1325,12,961,323,47,591,2801
令和3,2021,0,13000,,東京都,Tokyo-to,7689,25638,9116,1888,483,1405,240,4920,3654,1255,11,953,324,47,582,2794
令和3,2021,1,13100,,区部,All ku,5592,20091,7318,1527,438,1089,117,3950,3225,714,11,737,223,30,484,1890
令和3,2021,2,13101,1,千代田区,Chiyoda-ku,151,255,263,38,4,34,4,152,130,22,-,82,23,1,58,37
令和3,2021,2,13102,2,中央区,Chuo-ku,159,922,305,54,8,46,3,210,186,24,-,37,14,-,23,35
令和3,2021,2,13103,3,港区,Minato-ku,197,1510,552,140,4,136,3,310,266,44,-,60,16,1,43,87
令和3,2021,2,13104,4,新宿区,Shinjuku-ku,273,1255,442,86,19,67,5,420,362,53,5,107,46,3,58,98
令和3,2021,2,13105,5,文京区,Bunkyo-ku,112,333,232,19,5,14,3,49,43,6,-,17,-,1,16,81
令和3,2021,2,13106,6,台東区,Taito-ku,187,502,279,231,24,207,3,756,539,214,3,35,11,-,24,41
令和3,2021,2,13107,7,墨田区,Sumida-ku,190,542,218,35,18,17,4,315,269,46,-,22,6,2,14,46
令和3,2021,2,13108,8,江東区,Koto-ku,238,601,359,66,20,46,3,122,108,14,-,54,21,5,28,120
令和3,2021,2,13109,9,品川区,Shinagawa-ku,205,713,348,61,22,39,9,137,114,22,1,17,4,2,11,69
令和3,2021,2,13110,10,目黒区,Meguro-ku,146,930,223,36,9,27,1,34,28,6,-,15,1,-,14,52
令和3,2021,2,13111,11,大田区,Ota-ku,347,821,400,84,35,49,21,113,86,27,-,19,7,4,8,118
令和3,2021,2,13112,12,世田谷区,Setagaya-ku,362,1795,631,97,25,72,7,85,77,6,2,46,14,6,26,155
令和3,2021,2,13113,13,渋谷区,Shibuya-ku,171,2719,287,89,11,78,3,271,250,21,-,80,24,3,53,56
令和3,2021,2,13114,14,中野区,Nakano-ku,200,535,256,35,20,15,4,104,70,34,-,12,1,-,11,53
令和3,2021,2,13115,15,杉並区,Suginami-ku,284,838,308,39,19,20,24,56,48,8,-,14,2,-,12,88
