年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area
平成30,2018,0,13000,,総数,Tokyo-to,24622612,188402007,18566095,170827557,319358,12838281,1026316,28725240,6281403,68816380,10939018,60447656,6056517,17574450,58032,586681,446645,2162641,5551840,14825128
平成31,2019,0,13000,,総数,Tokyo-to,24647916,188847170,18615840,171333075,319819,12873358,1026887,28726196,6295371,69037111,10973763,60696410,6032076,17514095,57988,586589,445672,2160330,5528416,14767176
令和2,2020,0,13000,,総数,Tokyo-to,24711739,189590795,18715869,172256375,318372,12845681,1031989,28868746,6318318,69347598,11047190,61194350,5995870,17334420,57006,577841,439127,2106418,5499737,14650161
令和3,2021,0,13000,,総数,Tokyo-to,24730032,189992451,18771381,172750344,319887,12943289,1031621,28897696,6328883,69485645,11090990,61423714,5958651,17242107,56469,570014,438351,2102851,5463831,14569242
令和4,2022,0,13000,,総数,Tokyo-to,24741402,190309050,18737930,172853840,317592,13052781,1027459,28805246,6319631,69537619,11073248,61458194,6003472,17455210,58392,585457,443306,2129238,5501774,14740515
令和4,2022,1,13100,,区部,All ku,12004128,104394431,10316105,98115394,292008,11924208,764228,19870294,3901679,38403362,5358190,27917530,1688023,6279037,26483,312760,224901,1020462,1436639,4945815
令和4,2022,2,13101,1,千代田区,Chiyoda-ku,175508,2787768,175508,2787768,19575,798553,34117,897320,69187,803382,52629,288513,-,-,-,-,-,-,-,-
令和4,2022,2,13102,2,中央区,Chuo-ku,194215,3047548,186504,3009733,16566,681675,30651,911276,99786,1178193,39501,238589,7711,37815,730,10361,481,6641,6500,20813
令和4,2022,2,13103,3,港区,Minato-ku,303775,4448059,285198,4387088,29472,1211539,53056,1419104,87008,1105615,115662,650830,18577,60971,110,815,50,208,18417,59948
令和4,2022,2,13104,4,新宿区,Shinjuku-ku,356515,3415571,356515,3415571,11711,405030,35841,987455,80357,962225,228606,1060861,-,-,-,-,-,-,-,-
令和4,2022,2,13105,5,文京区,Bunkyo-ku,207455,1955589,114998,1555707,6147,239455,18617,466322,41556,552299,48678,297631,92457,399882,-,-,15967,90728,76490,309154
令和4,2022,2,13106,6,台東区,Taito-ku,258517,2626920,217505,2477621,7937,308547,25646,655271,84883,913253,99039,600550,41012,149299,-,-,-,-,41012,149299
令和4,2022,2,13107,7,墨田区,Sumida-ku,296988,2958672,296882,2958454,3247,119094,35827,879158,109583,1240080,148225,720122,106,218,-,-,-,-,106,218
令和4,2022,2,13108,8,江東区,Koto-ku,396365,5755680,395288,5751086,38724,1593425,69437,1773817,175488,1669825,111639,714019,1077,4594,-,-,809,3684,268,910
令和4,2022,2,13109,9,品川区,Shinagawa-ku,392543,4030594,228044,3356447,19489,869177,44267,1098787,139378,1217172,24910,171311,164499,674147,26,338,128616,566521,35857,107288
令和4,2022,2,13110,10,目黒区,Meguro-ku,359463,2319238,294584,2129878,2824,104863,15942,464677,135115,1002680,140703,557658,64879,189360,140,3459,2788,14501,61951,171400
令和4,2022,2,13111,11,大田区,Ota-ku,853163,7629146,740588,7225832,27884,1128560,44238,1144657,252402,2441672,416064,2510943,112575,403314,1799,12901,4783,26953,105993,363460
令和4,2022,2,13112,12,世田谷区,Setagaya-ku,1187175,8272543,949681,7462476,16040,611643,28095,670491,222870,2375954,682676,3804388,237494,810067,70,578,2363,11995,235061,797494
令和4,2022,2,13113,13,渋谷区,Shibuya-ku,271818,2782611,244485,2709502,8707,391991,29882,818753,109499,1059950,96397,438808,27333,73109,-,-,-,-,27333,73109
令和4,2022,2,13114,14,中野区,Nakano-ku,368969,2169697,213509,1624452,1193,40556,8349,234183,51587,633714,152380,715999,155460,545245,-,-,-,-,155460,545245
令和4,2022,2,13115,15,杉並区,Suginami-ku,689504,4637109,519529,4016008,8413,327711,20469,534993,91334,1000930,399313,2152374,169975,621101,24,270,912,3926,169039,616905
令和4,2022,2,13116,16,豊島区,Toshima-ku,307807,2389401,228447,2119335,5205,202122,17536,502307,47613,572538,158093,842368,79360,270066,-,-,143,575,79217,269491
令和4,2022,2,13117,17,北区,Kita-ku,375451,3022099,275465,2659165,2225,81719,20670,502652,171715,1646424,80855,428370,99986,362934,13868,115456,26698,98532,59420,148946
令和4,2022,2,13118,18,荒川区,Arakawa-ku,215351,1665302,215351,1665302,2703,95527,5655,176459,86551,872436,120442,520880,-,-,-,-,-,-,-,-
令和4,2022,2,13119,19,板橋区,Itabashi-ku,740190,5854601,669346,5536170,16143,720124,39004,950915,151137,1352582,463062,2512549,70844,318431,1655,82359,3447,13981,65742,222091
令和4,2022,2,13120,20,練馬区,Nerima-ku,1142939,7503435,986190,6866526,5546,218453,28022,770180,433430,3442684,519192,2435209,156749,636909,8061,86223,15316,85910,133372,464776
令和4,2022,2,13121,21,足立区,Adachi-ku,1066838,9991201,982178,9735857,9258,367370,57174,1626899,563674,5402561,352072,2339027,84660,255344,-,-,16541,65077,68119,190267
令和4,2022,2,13122,22,葛飾区,Katsushika-ku,754409,5735925,651140,5269694,3311,306326,25058,706376,220973,2680743,401798,1576249,103269,466231,-,-,5987,31230,97282,435001
令和4,2022,2,13123,23,江戸川区,Edogawa-ku,1089170,9395722,1089170,9395722,29688,1100748,76675,1678242,476553,4276450,506254,2340282,-,-,-,-,-,-,-,-
令和4,2022,1,13200,,市部,All shi,10434624,73604416,7324200,65136931,24890,1107654,254268,8691767,1964295,25538102,5080747,29799408,3110424,8467485,28069,242073,174557,917263,2907798,7308149
令和4,2022,2,13201,1,八王子市,Hachioji-shi,1552089,14873314,1336106,14250378,5323,268699,78998,3564066,323141,4653282,928644,5764331,215983,622936,1093,11220,4280,22184,210610,589532
令和4,2022,2,13202,2,立川市,Tachikawa-shi,296997,2623591,236296,2395371,843,38904,16150,541231,95619,1117841,123684,697395,60701,228220,19,198,70,278,60612,227744
令和4,2022,2,13203,3,武蔵野市,Musashino-shi,149275,1160939,125975,1077167,210,7528,1931,53750,43234,568996,80600,446893,23300,83772,108,867,221,1256,22971,81649
令和4,2022,2,13204,4,三鷹市,Mitaka-shi,296700,1960974,254208,1800260,193,7601,6231,207205,49944,577373,197840,1008081,42492,160714,170,1630,1297,5841,41025,153243
令和4,2022,2,13205,5,青梅市,Ome-shi,935932,4767348,445196,3792488,315,14690,10856,256113,146567,1907270,287458,1614415,490736,974860,32,235,561,2908,490143,971717
令和4,2022,2,13206,6,府中市,Fuchu-shi,486887,3850382,402094,3605211,3062,107469,22619,679389,101498,1303365,274915,1514988,84793,245171,-,-,4344,16326,80449,228845
令和4,2022,2,13207,7,昭島市,Akishima-shi,257540,1872209,135133,1415518,882,40223,5816,147766,64128,861349,64307,366180,122407,456691,4276,36990,22227,130502,95904,289199
令和4,2022,2,13208,8,調布市,Chofu-shi,441497,2738227,306181,2383839,459,21889,17156,449383,60101,711817,228465,1200750,135316,354388,181,1266,2050,9674,133085,343448
令和4,2022,2,13209,9,町田市,Machida-shi,1357987,8732818,921006,7705948,2527,140930,13296,367328,178559,2620357,726624,4577333,436981,1026870,75,2882,3114,11701,433792,1012287
令和4,2022,2,13210,10,小金井市,Koganei-shi,178513,1080414,88127,747602,21,967,2379,68659,29353,364301,56374,313675,90386,332812,2482,23644,12639,56635,75265,252533
令和4,2022,2,13211,11,小平市,Kodaira-shi,275178,2061224,217777,1783152,265,13908,1057,31656,74387,907995,142068,829593,57401,278072,3645,30589,22041,129657,31715,117826
令和4,2022,2,13212,12,日野市,Hino-shi,496831,3362951,354119,3011565,1341,49151,12932,396874,72092,973578,267754,1591962,142712,351386,185,1209,2144,12723,140383,337454
令和4,2022,2,13213,13,東村山市,Higashimurayama-shi,305302,1823784,233685,1628098,376,14920,1721,39664,57277,619374,174311,954140,71617,195686,27,166,601,2510,70989,193010
令和4,2022,2,13214,14,国分寺市,Kokubunji-shi,240210,1325307,105701,783930,70,2236,409,9311,30979,353621,74243,418762,134509,541377,8405,73207,35995,195791,90109,272379
令和4,2022,2,13215,15,国立市,Kunitachi-shi,153383,1299227,126896,1229707,473,18853,7791,316686,38361,439420,80271,454748,26487,69520,-,-,458,2448,26029,67072
令和4,2022,2,13218,16,福生市,Fussa-shi,152349,1150527,134500,1099568,39,842,5247,94428,38643,512285,90571,492013,17849,50959,-,-,235,990,17614,49969
令和4,2022,2,13219,17,狛江市,Komae-shi,128362,825657,111886,781356,140,8849,794,25842,20609,272263,90343,474402,16476,44301,-,-,142,514,16334,43787
令和4,2022,2,13220,18,東大和市,Higashiyamato-shi,235492,1569315,192365,1449267,292,15161,639,26362,108061,1016022,83373,391722,43127,120048,1780,10959,10092,42744,31255,66345
令和4,2022,2,13221,19,清瀬市,Kiyose-shi,189740,1137285,112936,912648,1143,48564,867,23585,39924,433047,71002,407452,76804,224637,829,6024,11792,60245,64183,158368
令和4,2022,2,13222,20,東久留米市,Higashikurume-shi,257423,1663633,205594,1506082,73,3852,212,4313,43662,586069,161647,911848,51829,157551,69,5159,1277,6465,50483,145927
令和4,2022,2,13223,21,武蔵村山市,Musashimurayama-shi,272348,1562812,151760,1210371,-,-,572,15305,52904,677329,98284,517737,120588,352441,-,-,289,1369,120299,351072
令和4,2022,2,13224,22,多摩市,Tama-shi,330553,3444198,330415,3443742,4386,180186,21126,634943,54335,808269,250568,1820344,138,456,-,-,-,-,138,456
令和4,2022,2,13225,23,稲城市,Inagi-shi,259847,2039094,174447,1862935,317,22659,8321,241898,57336,892763,108473,705615,85400,176159,166,1127,438,3528,84796,171504
令和4,2022,2,13227,24,羽村市,Hamura-shi,164547,1330519,129227,1202614,823,25439,4792,116083,53988,654604,69624,406488,35320,127905,935,6830,4912,23967,29473,97108
令和4,2022,2,13228,25,あきる野市,Akiruno-shi,742124,3496527,291015,2541022,290,13819,9998,316884,83110,1134936,197617,1075383,451109,955505,1410,11183,8634,43936,441065,900386
令和4,2022,2,13229,26,西東京市,Nishitokyo-shi,277518,1852140,201555,1517092,1027,40315,2358,63043,46483,570576,151687,843158,75963,335048,2182,16688,24704,133071,49077,185289
令和4,2022,1,13300,,郡部,All gun,813308,5045734,417569,4234095,291,10680,6961,204574,172737,2668543,237580,1350298,395739,811639,297,2398,3042,15366,392400,793875
令和4,2022,2,13303,1,瑞穂町,Mizuho-machi,243441,1487702,148157,1232100,212,8830,5369,161428,49608,573257,92968,488585,95284,255602,22,126,1640,8020,93622,247456
令和4,2022,2,13305,2,日の出町,Hinode-machi,142698,906892,87799,753540,72,1688,1456,40420,31413,396097,54858,315335,54899,153352,241,1975,1056,5711,53602,145666
令和4,2022,2,13307,3,檜原村,Hinohara-mura,120163,1021664,64776,923713,7,162,6,92,35805,732364,28958,191095,55387,97951,11,108,250,1164,55126,96679
令和4,2022,2,13308,4,奥多摩町,Okutama-machi,307006,1629476,116837,1324742,-,-,130,2634,55911,966825,60796,355283,190169,304734,23,189,96,471,190050,304074
