"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38","時刻39","時刻40"
"青山ルート","六本木ヒルズ","126","赤坂見附駅","7:49","8:09","8:29","8:49","9:09","9:29","9:49","10:09","10:29","10:49","11:09","11:29","11:49","12:09","12:29","12:49","13:09","13:29","13:49","14:09","14:37","14:57","15:17","15:37","15:57","16:17","16:37","16:57","17:17","17:37","17:57","18:17","18:37","18:57","19:17","19:37","19:49","20:09","20:29","20:49"
"青山ルート","六本木ヒルズ","127","元赤坂一丁目","7:50","8:10","8:30","8:50","9:10","9:30","9:50","10:10","10:30","10:50","11:10","11:30","11:50","12:10","12:30","12:50","13:10","13:30","13:50","14:10","14:38","14:58","15:18","15:38","15:58","16:18","16:38","16:58","17:18","17:38","17:58","18:18","18:38","18:58","19:18","19:38","19:50","20:10","20:30","20:50"
"青山ルート","六本木ヒルズ","44","赤坂地区総合支所前","7:52","8:12","8:32","8:52","9:12","9:32","9:52","10:12","10:32","10:52","11:12","11:32","11:52","12:12","12:32","12:52","13:12","13:32","13:52","14:12","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","19:52","20:12","20:32","20:52"
"青山ルート","六本木ヒルズ","45","高橋是清翁記念公園前","7:53","8:13","8:33","8:53","9:13","9:33","9:53","10:13","10:33","10:53","11:13","11:33","11:53","12:13","12:33","12:53","13:13","13:33","13:53","14:13","14:41","15:01","15:21","15:41","16:01","16:21","16:41","17:01","17:21","17:41","18:01","18:21","18:41","19:01","19:21","19:41","19:53","20:13","20:33","20:53"
"青山ルート","六本木ヒルズ","46","赤坂郵便局前","7:54","8:14","8:34","8:54","9:14","9:34","9:54","10:14","10:34","10:54","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","13:54","14:14","14:42","15:02","15:22","15:42","16:02","16:22","16:42","17:02","17:22","17:42","18:02","18:22","18:42","19:02","19:22","19:42","19:54","20:14","20:34","20:54"
"青山ルート","六本木ヒルズ","128","青山一丁目駅前","7:56","8:16","8:36","8:56","9:16","9:36","9:56","10:16","10:36","10:56","11:16","11:36","11:56","12:16","12:36","12:56","13:16","13:36","13:56","14:16","14:44","15:04","15:24","15:44","16:04","16:24","16:44","17:04","17:24","17:44","18:04","18:24","18:44","19:04","19:24","19:44","19:56","20:16","20:36","20:56"
"青山ルート","六本木ヒルズ","129","青山二丁目交差点","7:58","8:18","8:38","8:58","9:18","9:38","9:58","10:18","10:38","10:58","11:18","11:38","11:58","12:18","12:38","12:58","13:18","13:38","13:58","14:18","14:46","15:06","15:26","15:46","16:06","16:26","16:46","17:06","17:26","17:46","18:06","18:26","18:46","19:06","19:26","19:46","19:58","20:18","20:38","20:58"
"青山ルート","六本木ヒルズ","130","外苑前駅","8:00","8:20","8:40","9:00","9:20","9:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:48","15:08","15:28","15:48","16:08","16:28","16:48","17:08","17:28","17:48","18:08","18:28","18:48","19:08","19:28","19:48","20:00","20:20","20:40","21:00"
"青山ルート","六本木ヒルズ","131","南青山三丁目交差点","8:01","8:21","8:41","9:01","9:21","9:41","10:01","10:21","10:41","11:01","11:21","11:41","12:01","12:21","12:41","13:01","13:21","13:41","14:01","14:21","14:49","15:09","15:29","15:49","16:09","16:29","16:49","17:09","17:29","17:49","18:09","18:29","18:49","19:09","19:29","19:49","20:01","20:21","20:41","21:01"
"青山ルート","六本木ヒルズ","132","表参道駅","8:03","8:23","8:43","9:03","9:23","9:43","10:03","10:23","10:43","11:03","11:23","11:43","12:03","12:23","12:43","13:03","13:23","13:43","14:03","14:23","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:03","20:23","20:43","21:03"
"青山ルート","六本木ヒルズ","133","青南小学校","8:06","8:26","8:46","9:06","9:26","9:46","10:06","10:26","10:46","11:06","11:26","11:46","12:06","12:26","12:46","13:06","13:26","13:46","14:06","14:26","14:54","15:14","15:34","15:54","16:14","16:34","16:54","17:14","17:34","17:54","18:14","18:34","18:54","19:14","19:34","19:54","20:06","20:26","20:46","21:06"
"青山ルート","六本木ヒルズ","133-2","南青山六丁目","8:07","8:27","8:47","9:07","9:27","9:47","10:07","10:27","10:47","11:07","11:27","11:47","12:07","12:27","12:47","13:07","13:27","13:47","14:07","14:27","14:55","15:15","15:35","15:55","16:15","16:35","16:55","17:15","17:35","17:55","18:15","18:35","18:55","19:15","19:35","19:55","20:07","20:27","20:47","21:07"
"青山ルート","六本木ヒルズ","198","青山高樹町","8:09","8:29","8:49","9:09","9:29","9:49","10:09","10:29","10:49","11:09","11:29","11:49","12:09","12:29","12:49","13:09","13:29","13:49","14:09","14:29","14:57","15:17","15:37","15:57","16:17","16:37","16:57","17:17","17:37","17:57","18:17","18:37","18:57","19:17","19:37","19:57","20:09","20:29","20:49","21:09"
"青山ルート","六本木ヒルズ","117-2","日赤医療センター","8:12","8:32","8:52","9:12","9:32","9:52","10:12","10:32","10:52","11:12","11:32","11:52","12:12","12:32","12:52","13:12","13:32","13:52","14:12","14:32","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:12","20:32","20:52","21:12"
"青山ルート","六本木ヒルズ","135","西麻布二丁目","8:16","8:36","8:56","9:16","9:36","9:56","10:16","10:36","10:56","11:16","11:36","11:56","12:16","12:36","12:56","13:16","13:36","13:56","14:16","14:36","15:05","15:25","15:45","16:05","16:25","16:45","17:05","17:25","17:45","18:05","18:25","18:45","19:05","19:25","19:45","20:05","20:16","20:36","20:56","21:16"
"青山ルート","六本木ヒルズ","135-2","西麻布一丁目","8:18","8:38","8:58","9:18","9:38","9:58","10:18","10:38","10:58","11:18","11:38","11:58","12:18","12:38","12:58","13:18","13:38","13:58","14:18","14:38","15:08","15:28","15:48","16:08","16:28","16:48","17:08","17:28","17:48","18:08","18:28","18:48","19:08","19:28","19:48","20:08","20:18","20:38","20:58","21:18"
"青山ルート","六本木ヒルズ","16","六本木ヒルズ","8:23","8:43","9:03","9:23","9:43","10:03","10:23","10:43","11:03","11:23","11:43","12:03","12:23","12:43","13:03","13:23","13:43","14:03","14:23","14:43","15:13","15:33","15:53","16:13","16:33","16:53","17:13","17:33","17:53","18:13","18:33","18:53","19:13","19:33","19:53","20:13","20:23","20:43","21:03","21:23"

"ちぃばす時刻表　青山ルート 六本木ヒルズ行き（平日）","Ver201904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
