産業,Industry,組合数 Unions／平成26年 2014,組合数 Unions／平成27年 2015,組合員数 No. of Members／平成26年 2014,組合員数 No. of Members／平成27年 2015
総数,Total,7469,7344,2120469,2169717
農業，林業,Agriculture and forestry,4,4,288,277
漁業,Fisheries,13,13,1017,1022
鉱業，砕石業，砂利採取業,Mining and quarrying of stone and gravel,8,8,1035,1105
建設業,Construction,347,345,210226,214681
製造業,Manufacturing,1248,1223,335095,334693
電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,140,138,21270,20112
情報通信業,Information and communications,579,573,198688,198716
運輸業，郵便業,Transport and postal activities ,1302,1280,193220,195069
卸売業，小売業,Wholesale and retail trade,857,853,284545,296233
金融業，保険業,Finance and insurance,541,535,255434,261241
不動産業，物品賃貸業,Real estate and goods rental and leasing,85,80,13964,13965
学術研究，専門・技術サービス業,Scientific research， professional and technical services,267,260,34454,35889
宿泊業，飲食サービス業,Accommodations， eating and drinking services,97,101,86333,114822
生活関連サービス業，娯楽業,Living-related and personal services and amusement services,136,130,53196,53109
教育，学習支援業,Education， learning support,451,439,91248,90796
医療，福祉,Medical， health care and welfare,433,432,120093,118657
複合サービス事業,Compound services,64,64,6474,6460
サービス業 (他に分類されないもの),Services， n.e.c.,448,417,84887,85476
公務 (他に分類されるものを除く),Government， except elsewhere classified,292,291,103898,100146
分類不能の産業,Industries unable to classify,157,158,25104,27248
,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　7  労働 7  LABOR,,,,,
7-7  産業別労働組合組織状況 （平成26年，27年） 7-7  LABOR UNIONS BY INDUSTRY ( 2014 and 2015 ),,,,,
6月30日現在,,,,,
Figures are as of June 30.,,,,,
資料：都産業労働局雇用就業部労働環境課 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,
