年次,Year,港,Harbor,総数 Total／隻数 Number,総数 Total／総トン数 GT,内航商船 Coasters／隻数 Number,内航商船 Coasters／総トン数 GT,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／隻数 Number,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／総トン数 GT
平成23,2011,総数,Total,28029,15164990,11909,14834246,16120,330744
平成24,2012,総数,Total,27715,15789640,11719,15407520,15996,382120
平成25,2013,総数,Total,27775,17039108,10271,16616498,17504,422610
平成26,2014,総数,Total,26636,19912525,10734,19452794,15902,459731
平成27,2015,総数,Total,22757,18113590,9569,17335425,13188,778165
平成27,2015,元町港,Motomachi Harbor,1314,779732,1288,775463,26,4269
平成27,2015,岡田港,Okada Harbor,2185,3016114,2157,3006700,28,9414
平成27,2015,波浮港,Habu Harbor,458,151041,340,120845,118,30196
平成27,2015,利島港,Toshima Harbor,1144,2439505,1144,2439505,-,-
平成27,2015,新島港,Niijima Harbor,1887,2973201,1717,2890751,170,82450
平成27,2015,式根島港,Shikinejima Harbor,41,322,-,-,41,322
平成27,2015,神津島港,Kozushima Harbor,4041,935117,501,826604,3540,108513
平成27,2015,三池港,Miike Harbor,320,1313970,320,1313970,-,-
平成27,2015,御蔵島港,Mikurajima Harbor,549,2755710,549,2755710,-,-
平成27,2015,神湊港,Kaminato Harbor,677,2010898,609,1925949,68,84949
平成27,2015,八重根港,Yaene Harbor,33,63875,31,59443,2,4432
平成27,2015,青ヶ島港,Aogashima Harbor,171,79968,171,79968,-,-
平成27,2015,二見港,Futami Harbor,6905,1392280,436,998178,6469,394102
平成27,2015,沖港,Oki Harbor,3032,201857,306,142339,2726,59518
,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-21  入港船舶隻数及び総トン数 （平成23～27年）（島しょ港湾） 4-21 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2011-2015 )( Harbors of Islands ),,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,
