項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,4830,111136,3494,2597
1,たばこ,Cigarettes,711,2105,476,438
2,こんろ,Gas table,569,2003,603,473
3,かまど,Kitchen stove,3,-,2,-
4,風呂かまど,Bathtub water heater ,4,-,4,4
5,炉,Furnace,22,5,20,-
6,焼却炉,Incinerator,1,1300,-,-
7,ストーブ,Space heater ,101,911,116,143
8,こたつ,Kotatsu， a Japanese table with a heating device,6,376,9,7
9,ボイラー,Hot water boiler,8,-,7,6
10,煙突・煙道,Chimney and flue,3,-,3,-
11,排気管,Exhaust pipe,50,98,8,8
12,電気機器,Electric machinery and appliances,251,953,228,111
13,電気装置,Electric equipment,90,120,62,10
14,電灯電話配線,Lighting and telephone wiring,137,2087,115,74
15,内燃機関,Internal-combustion engine,6,-,-,-
16,配線器具,Wiring devices ,237,1464,255,150
17,火遊び,Playing with matches／lighters,77,34,20,8
18,マッチ・ライター,Matches and lighters,63,3891,52,42
19,たき火,Bonfire,45,60274,13,9
20,切断機・溶接機,Welding and cutting machines,40,176,16,5
21,灯火,Lighting,57,210,68,63
22,衝突の火花,Sparks caused by collision,4,-,-,-
23,取灰,Ash,4,-,1,-
24,火入れ,Kindling,1,-,-,-
25,放火,Arson,1279,5283,556,348
26,放火の疑い,Suspected arson,96,411,45,17
27,交通機関内配線,Wiring installed in transportation facilities ,33,-,4,-
28,その他,Others　,603,1971,499,394
29,不明・調査中,Unknown and currently under investigation,329,27464,312,287
,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （平成26年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2014 ),,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,
