産業 1,Industry 1,産業 2,Industry 2,平成26年 2014,平成27年 2015
総額,Total,,,9898272,9806783
農業,Agriculture,,,-,-
林業,Forestry,,,-,-
漁業,Fishery,,,-,-
鉱業,Mining,,,33037,29219
製造業,Manufacturing Industries,,,2379561,2256713
製造業,Manufacturing Industries,食料品製造業 1),Food and kindred products,385134,372521
製造業,Manufacturing Industries,繊維工業 2),Textile mill products,-,-
製造業,Manufacturing Industries,パルプ，紙，紙加工品製造業,Pulp， paper and paper worked products,85456,62584
製造業,Manufacturing Industries,化学工業,Chemical and allied industries,165822,163927
製造業,Manufacturing Industries,石油製品，石炭製品製造業,Petroleum and coal products,2453,1537
製造業,Manufacturing Industries,ゴム製品製造業,Rubber products,55296,48586
製造業,Manufacturing Industries,窯業，土石製品製造業,Ceramic， clay and stone products,106354,101257
製造業,Manufacturing Industries,鉄鋼業,Iron and steel ,248784,219826
製造業,Manufacturing Industries,非鉄金属製造業,Non-ferrous metals and products,19328,19933
製造業,Manufacturing Industries,機械器具製造業 3),Machinery  ,886305,892323
製造業,Manufacturing Industries,その他の製造業 4),Miscellaneous manufacturing industries,424629,374219
鉄道業,Railway ｔｒansport,,,2362194,2344716
その他の産業 5),Other industries,,,5123480,5176136
,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,
6-２  産業別電力使用量 （平成26，27年） 6-2  DEMAND FOR ELECTRIC POWER BY INDUSTRY ( Fiscal Years 2014 and 2015 ),,,,,
契約電力500kW以上,,,,,
Figures refer to contracts not less than 500kW. ,,,,,
注 1)  「飲料・飼料製造業」を含む。,,,,,
2）「衣服・その他の繊維製品製造業」を含む。,,,,,
3）「電気機械器具製造業」，「輸送用機械器具製造業」，「機械その他」を含む。,,,,,
4）「木材，木製品製造業」，「出版，印刷，同関連産業」，「プラスチック製品製造業」，「金属製品製造業」を含む。,,,,,
5） 「建設業」，「電気・ガス・熱供給・水道業」，「 運輸・通信業」を含む。,,,,,
Note: １） Including “Manufacture of beverage and feed”.,,,,,
2) Including  “Manufacture of apparel and other finished products made from fabrics and similar materials”.,,,,,
3)Including “Electrical machinery，equipment and supplies”， “Transportation equipment” and  “Machinery and others”.,,,,,
4) Including “Lumber and wood  products”， “Publishing， printing and allied industries”， “Plastic products”  and “Fabricated metal products”.,,,,,
5) Including　“Construction”， “ Electricity， gas， heat supply and water”，“Transport and communication”.,,,,,
資料 ： 東京電力エナジーパートナー株式会社 Source : TEPCO Energy Partner，Incorporated,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,
