年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成27,2015,13108,8,江東区,Koto-ku,193609,47978,665,620,1492,12469,22,301,322,57889,46,3062,2999,749,28964,9850,563,801,5366,8567,4759,6125
平成27,2015,13109,9,品川区,Shinagawa-ku,149064,44443,539,588,1411,10965,-,242,148,40413,34,1671,4822,617,23041,9992,647,318,1062,3981,3915,215
平成27,2015,13110,10,目黒区,Meguro-ku,98820,43822,365,567,1369,6562,-,164,69,15655,30,982,2399,464,10929,5304,4367,283,831,3286,704,668
平成27,2015,13111,11,大田区,Ota-ku,254262,71570,1961,951,2262,17020,-,446,351,71554,71,2636,6985,1116,46722,16614,460,50,896,6532,5664,400
平成27,2015,13112,12,世田谷区,Setagaya-ku,280726,115493,1201,1596,3825,19393,-,539,296,46452,95,1941,6156,1309,39495,19743,1190,38,212,11062,6396,4296
平成27,2015,13113,13,渋谷区,Shibuya-ku,91860,46650,401,591,1433,8903,-,180,41,6548,36,742,3436,701,10588,4606,487,149,-,5439,928,-
平成27,2015,13114,14,中野区,Nakano-ku,133286,32335,409,432,1040,7276,-,183,102,37426,26,742,1878,531,23321,8162,2656,87,6310,4948,2773,2648
平成27,2015,13115,15,杉並区,Suginami-ku,174295,61664,723,874,2082,12256,-,324,174,40654,59,950,4067,778,25054,11329,250,61,3380,6689,1637,1288
平成27,2015,13116,16,豊島区,Toshima-ku,138943,31119,436,386,927,8361,-,195,94,30678,26,1015,2885,628,18832,7242,19393,14,9797,800,3372,2741
平成27,2015,13117,17,北区,Kita-ku,144118,27288,452,361,863,7846,9,203,158,49411,28,1370,2890,535,24938,9530,4547,15,4182,2632,3410,3449
平成27,2015,13118,18,荒川区,Arakawa-ku,94865,16107,272,210,504,4785,-,122,145,39610,19,1147,1889,338,16651,5074,272,103,474,3239,2080,1822
平成27,2015,13119,19,板橋区,Itabashi-ku,202710,43807,772,588,1404,12367,5,347,344,67347,58,2912,3667,782,43746,12882,194,204,185,4889,2347,3864
平成27,2015,13120,20,練馬区,Nerima-ku,247177,64232,1010,881,2103,15564,-,453,338,83881,74,1287,3903,820,45990,16313,450,55,555,2255,3075,3938
平成27,2015,13121,21,足立区,Adachi-ku,279900,46467,1032,587,1406,15435,2,464,541,101782,84,2556,4285,830,62353,19404,1001,115,7989,3503,8051,2014
平成27,2015,13122,22,葛飾区,Katsushika-ku,192458,32298,654,424,1012,9927,-,294,338,73098,52,1626,2543,508,35133,12302,369,31,4581,8490,6060,2720
平成27,2015,13123,23,江戸川区,Edogawa-ku,252905,51402,1040,680,1622,14944,-,467,433,89925,72,2504,4134,791,49320,14145,758,126,4462,11088,3490,1502
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2015 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (1) 歳入 (平成25～27年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (1) REVENUE ( Fiscal Years 2013-2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,
