年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成23,2011,総数,Total,185.1,172,17332492,11036922,6295570
平成24,2012,総数,Total,185.1,172,17851220,11290068,6561152
平成25,2013,総数,Total,185.1,172,18693047,11808378,6884669
平成26,2014,総数,Total,185.1,172,18970658,11975295,6995363
平成27,2015,総数,Total,185.1,172,19649068,12372674,7276394
平成27,2015,銀座線,Ginza Line,14.3,19,1404663,688466,716197
平成27,2015,丸ノ内線,Marunouchi Line,27.4,28,2310066,1349239,960827
平成27,2015,日比谷線,Hibiya Line,20.3,21,2268431,1370643,897788
平成27,2015,東西線,Tozai Line,22.2,17,3525527,2373275,1152252
平成27,2015,千代田線,Chiyoda Line,24,20,3137778,2134823,1002955
平成27,2015,有楽町線,Yurakucho Line,26.9,23,2807378,1865032,942346
平成27,2015,半蔵門線,Hanzomon Line,16.8,14,1880275,1100790,779485
平成27,2015,南北線 ,Namboku Line,21.3,19,1159493,764441,395052
平成27,2015,副都心線,Fukutoshin Line,11.9,11,1155457,725965,429492
,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成23～27年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2011-2015 ),,,,,,,,
資料：東京地下鉄株式会社 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
