年次,Year,区分階層,項番Itemnumber,種類,Kind,受理Received／総数Total,受理Received／旧受Previouslyreceived,受理Received／新受Newlyreceived,既済Disposed／総数Total,既済Disposed／認容Granted,既済Disposed／却下Rejected,既済Disposed／取下Withdrawn,既済Disposed／その他Others,未済Pending
平成26,2014,0,,総数,Total,98224,7209,91015,89682,85529,460,2095,1598,8542
平成27,2015,0,,総数,Total,103428,8542,94886,94774,90427,486,2154,1707,8654
平成27,2015,1,,別表第一審判事件総数,TotalnumberofcasesofadjudicationofdomesticrelationsstipulatedinAppendedTable1oftheDomesticRelationsCaseProcedureAct,100052,7351,92701,92597,89434,271,1784,1108,7455
平成27,2015,2,1,後見開始の審判及びその取消し,Adjudicationoncommencementofguardianshipandrescissionofsuchadjudication,4596,426,4170,4163,3987,31,55,90,433
平成27,2015,2,2,保佐開始の審判・取消しなど,Adjudicationoncommencementofcuratorship，rescissionofsuchadjudication，etc.,1795,206,1589,1573,1414,20,119,20,222
平成27,2015,2,3,補助開始の審判・取消しなど,Adjudicationoncommencementofassistance，rescissionofsuchadjudication，etc.,686,64,622,615,554,3,43,15,71
平成27,2015,2,4,後見人等の選任,Appointmentofaguardian，etc.,4010,102,3908,3863,3773,8,26,56,147
平成27,2015,3,,うち成年後見人の選任,(ofwhich)Appointmentofaguardianofanadult,1514,33,1481,1483,1455,4,6,18,31
平成27,2015,3,,うち成年後見監督人の選任,(ofwhich)Appointmentofasupervisorfortheguardianofanadult,1582,16,1566,1551,1531,3,4,13,31
平成27,2015,3,,うち保佐人の選任,(ofwhich)Appointmentofacurator,103,11,92,91,87,-,2,2,12
平成27,2015,3,,うち保佐監督人の選任,(ofwhich)Appointmentofasupervisorforacurator,383,6,377,358,346,-,-,12,25
平成27,2015,3,,うち補助人の選任,(ofwhich)Appointmentofanassistant,30,2,28,27,22,-,2,3,3
平成27,2015,3,,うち補助監督人の選任,(ofwhich)Appointmentofasupervisorfortheassistant,93,1,92,84,82,-,-,2,9
平成27,2015,3,,うち未成年後見人の選任,(ofwhich)Appointmentofaguardianofaminor,268,33,235,233,215,1,11,6,35
平成27,2015,3,,うち未成年後見監督人の選任,(ofwhich)Appointmentofasupervisorfortheguardianofaminor,37,-,37,36,35,-,1,-,1
平成27,2015,2,5,離縁後の未成年後見人の選任,Appointmentofaguardianofanadoptedminorafterdissolutionofadoptiverelation,3,-,3,1,-,-,1,-,2
平成27,2015,2,6,後見人等の辞任,Resignationofaguardianofanadult，etc.,2238,85,2153,2166,2120,3,16,27,72
平成27,2015,2,7,後見人等の解任,Dismissalofaguardianofanadult，etc.,208,42,166,172,76,22,58,16,36
平成27,2015,3,,うち職権によるもの,(ofwhich)Dismissalbythefamilycourt'sauthority,122,20,102,103,56,-,38,9,19
平成27,2015,2,8,後見人の財産目録の作成の期間の伸長,Extensionoftheperiodforpreparinganinventoryofpropertybytheguardianofanadult,1,-,1,1,1,-,-,-,-
平成27,2015,2,9,後見人等の権限行使についての定め及びその取消し,Determinationoftheexerciseofauthorityofanadultguardian，etc.andrescissionofsuchdetermination,1264,5,1259,1261,1260,-,-,1,3
平成27,2015,2,10,居住用不動産の処分についての許可,Permissionfordispositionofrealpropertyusedforresidence,1526,60,1466,1478,1398,2,65,13,48
平成27,2015,2,11,特別代理人の選任（利益相反行為）,Appointmentofaspecialagent(forconflictofinterest),1173,127,1046,1095,1028,-,63,4,78
平成27,2015,2,12,後見人等に対する報酬の付与,Remunerationtoaguardianofanadult，etc.,18467,876,17591,17682,17647,3,24,8,785
平成27,2015,2,13,後見等監督処分,Supervisorydispositionofguardianship，etc.,16588,2373,14215,14367,13907,1,1,458,2221
平成27,2015,3,,うち職権によるもの,(ofwhich)Dispositionbythefamilycourt'sauthority,16540,2366,14174,14323,13864,-,1,458,2217
平成27,2015,2,14,第三者が子等に与えた財産の管理者選任等,Appointment，etc.ofamanagerofpropertyofferedtoachild，etc.byathirdparty,1,-,1,1,1,-,-,-,-
平成27,2015,2,15,後見終了に伴う管理計算の期間の伸長,Extensionoftheperiodofsettlementofaccountattheendofguardianship,7,1,6,7,6,-,1,-,-
平成27,2015,2,16,臨時保佐人等の選任（利益相反行為）,Appointmentofatemporarycurator，etc.(forconflictofinterest),15,-,15,12,6,-,6,-,3
平成27,2015,2,17,不在者の財産の管理に関する処分,Dispositionregardingtheadministrationofpropertyofanabsentee,1253,119,1134,1134,902,2,75,155,119
平成27,2015,2,18,失踪の宣告及びその取消し,Adjudicationofdisappearanceandrescissionofsuchadjudication,812,258,554,504,400,2,92,10,308
平成27,2015,2,19,夫婦の財産管理者変更・共有財産の分割,ChangeofanadministratorofpropertyunderaMatrimonialPropertyContract／divisionofpropertyinco-ownership,-,-,-,-,-,-,-,-,-
平成27,2015,2,20,特別代理人の選任（嫡出否認）,Appointmentofaspecialagent(rebuttalofpresumptionofachildinwedlock),1,-,1,-,-,-,-,-,1
