年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
平成26,2014,総数,All Courses,4345,3826,2539,74,68.3
令和27,2015,総数,All Courses,4014,3355,2460,56,75
令和27,2015,メカトロニクス,Mechatronics (2 years),32,29,29,-,100
令和27,2015,自動車整備工学,Automobile mechanics (2 years),59,44,43,1,100
令和27,2015,機械加工,Machining (2 years),24,11,11,-,100
令和27,2015,自動車車体整備,Automobile body repair (2 years),24,15,15,-,100
令和27,2015,エンジニア養成,Engineering (2 years),23,14,12,-,85.7
令和27,2015,精密加工,Precision machining,20,9,9,-,100
令和27,2015,木工技術,Woodworking,48,43,40,1,95.3
令和27,2015,インテリアサービス,Interior decoration,21,18,15,1,88.9
令和27,2015,電気工事,Electrical wiring ,98,86,82,-,95.3
令和27,2015,コンピュータ制御システム,Embedded computer system development,14,4,4,-,100
令和27,2015,電気設備技術,Electrical work,24,20,20,-,100
令和27,2015,計測制御システム,Measurement control systems,10,9,7,-,77.8
令和27,2015,環境分析,Environmental analysis,22,14,12,-,85.7
令和27,2015,自動車塗装,Automobile body painting,19,15,15,-,100
令和27,2015,パソコングラフィック,Computer graphics,30,24,20,-,83.3
令和27,2015,ＯＡシステム開発,OA system development,43,30,28,-,93.3
令和27,2015,ネットワークプログラミング,Network programming,21,15,12,-,80
令和27,2015,金型加工,Die and mold machining,7,5,5,-,100
令和27,2015,３ＤＣＡＤ・ＣＡＭ,3D CAD／CAM,26,11,9,1,90.9
令和27,2015,機械組立技術,Machine assembly,10,6,5,-,83.3
令和27,2015,建築設備,Building equipment installation,18,16,16,-,100
令和27,2015,広告美術,Advertising art,23,17,15,-,88.2
令和27,2015,サイン・ディスプレイ,Signs and displays,26,23,19,-,82.6
令和27,2015,測量設計,Surveying,17,13,10,-,76.9
令和27,2015,環境空調サービス,Air conditioning services,13,11,10,-,90.9
令和27,2015,和装技術,Kimono-making,27,25,21,1,88
令和27,2015,電気設備システム,Electrical facilities management,30,21,21,-,100
令和27,2015,Ｗｅｂ設計,Web design,29,21,12,-,57.1
令和27,2015,組込みシステム技術,Embedded systems technology,17,10,9,-,90
令和27,2015,若年者就業支援科(塗装コース),Employment support course for young people (painting course),15,11,11,-,100
令和27,2015,若年者就業支援科（建築塗装）,Employment support course for young people (Construction painting),3,2,2,-,100
令和27,2015,若年者就業支援科（溶接コース）,Employment support course for young people (welding course),12,7,6,-,85.7
令和27,2015,わかもの人財養成,Basic job skills for young people,19,15,7,-,46.7
令和27,2015,ネットワーク施工,Network technology,52,41,28,-,68.3
令和27,2015,プラスチック加工,Plastics processing,13,6,6,-,100
令和27,2015,アパレルパタンナー,Fashion pattern making,30,18,13,1,77.8
令和27,2015,製くつ,Shoemaking,21,21,18,-,85.7
令和27,2015,財務管理,Financial accounting,113,96,33,-,34.4
令和27,2015,ＣＡＤ,CAD,71,58,41,-,70.7
令和27,2015,建築ＣＡＤ,Architecture CAD,60,41,28,1,70.7
令和27,2015,溶接,Welding,36,26,23,-,88.5
令和27,2015,住宅内外装仕上,Interior and exterior finishing,43,27,23,2,92.6
令和27,2015,建築設備施工,Equipment installation,46,41,35,2,90.2
令和27,2015,住宅リフォーム,Home renovation,54,40,30,2,80
令和27,2015,グリーンエクステリア,Gardening and exterior work,60,59,55,2,96.6
令和27,2015,セキュリティサービス,Security services,54,48,24,-,50
令和27,2015,電気・通信工事,Electrical／telecommunications wiring,57,40,30,-,75
令和27,2015,印刷企画営業,Print design and marketing,35,31,22,-,71
令和27,2015,グラフィック印刷,Graphic printing,25,19,16,-,84.2
令和27,2015,ＤＴＰ,DTP,59,47,36,1,78.7
令和27,2015,医療事務,Medical billing,171,148,96,1,65.5
令和27,2015,貿易実務,International trade documentation,115,92,56,-,60.9
令和27,2015,ＯＡソフト管理,Office software management,63,50,30,-,60
令和27,2015,単位制パソコン,Computer operations (flexible course),39,35,7,-,20
令和27,2015,ネットワーク構築,Network construction,51,31,16,-,51.6
令和27,2015,配管,Plumbing,21,19,15,2,89.5
令和27,2015,流通ビジネス,Retail sales,28,25,13,-,52
令和27,2015,ファッションリテール,Fashion retail,15,10,8,-,80
令和27,2015,調理,Cooking,59,48,42,-,87.5
令和27,2015,介護サービス,Nursing care,330,281,263,1,94
令和27,2015,ビルクリーニング管理,Building custodial services,38,35,30,1,88.6
令和27,2015,ビルクリーニング管理（高年齢者向）,Building custodial services (for elderly people),35,31,31,-,100
