年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area,
平成24,2012,0,13000,,総数,Tokyo-to,24405945,183598991,18133457,165571825,322327,12661521,1006140,27190736,6235692,67638018,10569297,58081549,6272488,18027166,59274,593745,456707,2200508,5756507,15232913,
平成25,2013,0,13000,,総数,Tokyo-to,24431102,184674165,18178522,166684718,320483,12625201,1004049,27886445,6229529,67827829,10624461,58345243,6252580,17989447,58136,588476,429398,2100585,5765046,15300386,
平成26,2014,0,13000,,総数,Tokyo-to,24466923,185309675,18233090,167360258,321179,12677806,1008821,28087240,6220148,67891712,10682942,58703500,6233833,17949417,57650,587833,427461,2093754,5748722,15267830,
平成27,2015,0,13000,,総数,Tokyo-to,24498186,186379779,18315681,168477508,321895,12731828,1017210,28564585,6239539,68172405,10737037,59008690,6182505,17902271,59159,599983,434140,2128594,5689206,15173694,
平成28,2016,0,13000,,総数,Tokyo-to,24522639,187047726,18361686,169218870,323193,12964269,1019528,28472686,6251788,68580038,10767177,59201877,6160953,17828856,58382,594590,424812,2083669,5677759,15150597,
平成28,2016,1,13100,,区部,All ku,11897638,102861629,10239152,96794952,297111,11850688,756931,19591399,3878390,37961494,5306720,27391371,1658486,6066677,26066,312675,223285,1001551,1409135,4752451,
平成28,2016,5,13101,1,千代田区,Chiyoda-ku,175628,2784922,175628,2784922,19563,798418,34048,892772,69450,805974,52567,287758,-,-,-,-,-,-,-,-,
平成28,2016,5,13102,2,中央区,Chuo-ku,194805,2991684,186225,2947506,15309,620914,31353,923579,100496,1171803,39067,231210,8580,44178,1141,15149,656,7371,6783,21658,
平成28,2016,5,13103,3,港区,Minato-ku,304796,4387158,285486,4324115,30281,1248539,50196,1313530,87527,1102264,117482,659782,19310,63043,110,815,50,208,19150,62020,
平成28,2016,5,13104,4,新宿区,Shinjuku-ku,355745,3388433,355745,3388433,11917,418884,36157,993883,79690,937245,227981,1038421,-,-,-,-,-,-,-,-,
平成28,2016,5,13105,5,文京区,Bunkyo-ku,207442,1952847,112499,1553155,6147,239494,18604,466364,41689,553161,46059,294136,94943,399692,-,-,15964,89373,78979,310319,
平成28,2016,5,13106,6,台東区,Taito-ku,258408,2623356,217396,2474057,9705,368743,23878,595522,84937,912523,98876,597269,41012,149299,-,-,-,-,41012,149299,
平成28,2016,5,13107,7,墨田区,Sumida-ku,295664,2944942,295558,2944724,3211,118067,35677,876450,108770,1236443,147900,713764,106,218,-,-,-,-,106,218,
平成28,2016,5,13108,8,江東区,Koto-ku,393275,5688348,392198,5683754,38413,1586736,68860,1769729,174885,1640347,110040,686942,1077,4594,-,-,809,3684,268,910,
平成28,2016,5,13109,9,品川区,Shinagawa-ku,388417,3846964,221580,3166271,17995,767843,42145,1042963,138569,1194609,22871,160856,166837,680693,80,1529,128624,566581,38133,112583,
