年次,Year,項番 Item number,種類,Type,種類,Type,種類,Type,種類,Type,取扱総数 Total number of cases handled,旧受 Previously received,新受計 Newly received total,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／職員受 Received by officials,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／委員受 Received by commissioners,手続開始内訳  Breakdown of case proceedings commenced／委員通報 Notified by commissioners,手続開始内訳  Breakdown of case proceedings commenced／関係官公署の通報 Reported by relevant public authorities,手続開始内訳  Breakdown of case proceedings commenced／情報 Information,手続開始内訳  Breakdown of case proceedings commenced／移送 Transferred,処理件数 Total number of cases disposed,処理内訳 Breakdown of cases processed／措置 Measures／援助 Assisted,処理内訳 Breakdown of cases processed／措置 Measures／調整 Adjusted,処理内訳 Breakdown of cases processed／措置 Measures／要請 Requested,処理内訳 Breakdown of cases processed／措置 Measures／説示 Instructed,処理内訳 Breakdown of cases processed／措置 Measures／勧告 Advised,処理内訳 Breakdown of cases processed／措置 Measures／通告 Informed,処理内訳 Breakdown of cases processed／措置 Measures／告発 Indicted,処理内訳 Breakdown of cases processed／措置猶予 Suspension of sentence,処理内訳 Breakdown of cases processed／侵犯事実不存在 Non-existence of facts about infringement,処理内訳 Breakdown of cases processed／侵犯事実不明確 Uncertainty of facts about infringement,処理内訳 Breakdown of cases processed／打切り Closed,処理内訳 Breakdown of cases processed／中止 Discontinued,処理内訳 Breakdown of cases processed／移送 Transferred,処理内訳 Breakdown of cases processed／啓発 Admonished,未済 Pending
平成26年,2014,,総数,Total,,,,,,,1736,58,1678,1048,627,-,-,3,-,1429,1335,-,47,13,-,-,-,2,1,27,16,-,-,6,307
平成27年,2015,,総数,Total,,,,,,,1928,307,1621,916,681,-,-,22,2,1608,1463,1,49,27,-,-,-,-,1,78,13,2,-,9,320
平成27年,2015,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,,,,,,,431,48,383,237,124,-,-,20,2,371,317,1,26,25,-,-,-,-,-,26,1,-,-,3,60
平成27年,2015,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,警察官によるもの,By policemen,,,26,-,26,19,7,-,-,-,-,16,15,-,-,-,-,-,-,-,-,-,1,-,-,-,10
平成27年,2015,2,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,その他の特別公務員,By other special public officials,,,1,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
平成27年,2015,3,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,体罰,Corporal punishment ,,,73,22,51,22,9,-,-,19,1,52,22,-,25,24,-,-,-,-,-,5,-,-,-,1,21
平成27年,2015,4,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,その他,Others,,,107,16,91,55,35,-,-,1,-,90,81,1,1,1,-,-,-,-,-,7,-,-,-,-,17
平成27年,2015,5,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,学校におけるいじめ,Bullying at school　　　　　　　　　　　　　　,,,,,180,5,175,111,64,-,-,-,-,175,170,-,-,-,-,-,-,-,-,5,-,-,-,1,5
平成27年,2015,6,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,刑務職員による侵犯,Infringement by prison personnel,,,,,3,-,3,3,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1
平成27年,2015,7,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,国家公務員,National public servants,,,8,1,7,5,1,-,-,-,1,6,4,-,-,-,-,-,-,-,-,2,-,-,-,1,2
