品目階層,品目,Item,平成25年 2013／数量 Quantity,平成25年 2013／金額 Value,平成26年 2014／数量 Quantity,平成26年 2014／金額 Value,平成27年 2015／数量 Quantity,平成27年 2015／金額 Value
0,総数,Total,2074745,531670296,2077339,541068774,2035703,579275463
1,野菜,Vegetables,1571007,361499440,1571449,365025521,1549946,395045724
2,根菜類,Root vegetables,264219,34798961,275130,33278112,269563,35554318
3,だいこん,Japanese radish,137008,12578741,144429,11305909,140938,12652358
3,かぶ,Turnip,16895,2282632,16914,2248958,16592,2274117
3,にんじん,Carrot,87159,12322465,92382,10961400,91605,11589212
3,ごぼう,Edible burdock,10708,2612349,9653,2971844,9753,2891601
3,れんこん,Lotus root,9700,3594093,8724,4228052,8179,4542759
3,その他,Others,2749,1408681,3028,1561948,2496,1604269
2,キャベツ類,Cabbage varieties,183690,17814302,183514,17056717,190032,20047228
2,レタス類,Lettuce varieties,97020,19754669,97238,18898818,96457,21876044
2,葉茎菜類,Leaf and stem vegetables,298359,79359474,298403,78990511,291098,86871188
3,はくさい,Chinese cabbage,118657,8485500,116145,7561739,111946,8556906
3,こまつな,"""Komatsuna""",11932,3715677,13086,3883248,13700,4375574
3,ほうれんそう,Spinach,15651,8015144,16294,8278410,16680,8691706
3,ねぎ,Welsh onion,57615,16055119,57236,15657022,55467,17280084
3,ブロッコリー,Broccoli,25151,8488180,26888,8819572,26292,10107106
3,その他,Others,69353,34599854,68754,34790520,67014,37859812
2,果菜類,Fruit vegetables,317106,107851747,314537,107725199,310509,116100145
3,きゅうり,Cucumber,77205,23455261,74269,23780113,76466,24778990
3,かぼちゃ,Pumpkin　,36930,5867234,33510,6582009,34507,6660685
3,なす,Eggplant,30546,10484272,30690,11007591,29898,11765197
3,トマト,Tomato,86628,30683633,87662,28945663,84621,31365872
3,ピーマン,Bell pepper,22643,9254210,23318,8755528,22192,10291707
3,その他,Others,63154,28107137,65088,28654296,62825,31237694
2,豆科野菜類,Legumes,15935,11522053,16596,12044546,15621,12699274
3,いんげん,String bean,4145,3132714,4089,3164520,4087,3401997
3,えだまめ,Green soybean,5260,4330036,6091,4585993,5896,4912663
3,その他,Others,6530,4059303,6417,4294033,5637,4384615
2,ばれいしょ類,Potatoes,99678,11110560,100084,11641771,94026,14166564
2,土物類,Sweet potatoes／onions， etc.,199757,30196902,193766,35037422,192888,35586582
3,かんしょ,Sweet potato,31575,5258643,31221,6229455,30309,7403782
3,たまねぎ,Onion,135537,12845858,130646,15199933,131398,14303206
3,その他,Others,32645,12092401,31899,13608034,31182,13879594
2,香辛つま物類,Spices／garnishes,14277,16766851,13598,17592891,13358,18930407
3,根しょうが,Ginger,6075,2576919,5350,3127271,4930,3120637
3,その他,Others,8202,14189932,8248,14465620,8428,15809770
2,きのこ山菜類,Mushrooms／Wild plants,43197,23163452,42860,23776321,42927,24275862
3,なましいたけ,"""Shiitake"" mushroom， fresh",7251,6757515,7024,6957785,7034,7089425
3,えのきだけ,"""Enokidake"" mushroom",13382,3253361,13500,3378628,12893,3357922
3,しめじ,"""Shimeji"" mushroom",10371,4504135,10700,4661080,10749,4725921
3,その他,Others,12193,8648441,11636,8778828,12252,9102594
2,その他野菜類,Others,8725,3419531,6963,3140124,5932,3107332
3,うめ,"""Ume"" apricot",3006,843807,2802,849395,2307,816338
3,その他,Others,5719,2575724,4160,2290728,3625,2290994
2,野菜加工品,Processed vegetables,29046,5740937,28760,5843089,27535,5830781
1,果実,Fruits,459911,156900257,466968,163003218,447980,171386077
2,みかん類,Mandarins,106570,26770966,107017,25187216,102356,27426267
2,かんきつ類,Citrus varieties,55291,13599796,58681,15315601,56020,16517121
3,いよかん,"""Iyo""tangor",6355,1231408,7567,1319841,5922,1266786
3,グレープ,Grapefruit,6535,950489,5494,904758,5623,1027078
3,その他,Others,42401,11417899,45620,13091001,44476,14223257
2,りんご類,Apples,67172,17719729,66404,19596217,67269,21148941
2,日本なし類,Japanese pears,24926,6940309,26021,7337028,23699,7283503
2,西洋なし類,European pears,3186,1024925,2474,901285,3294,1038190
2,かき類,Japanese persimmons,21311,5900834,22927,5706813,22865,5591235
2,びわ類,Loquats,594,711917,503,687619,350,576559
2,もも類,Peaches,14879,7101980,15880,7441678,14033,7381849
2,すもも類,Plums,2711,1336366,3207,1603899,3151,1685892
2,おうとう類,Cherries,1819,3303593,1982,3521949,1775,3482107
2,あんず類,Apricots,77,42979,141,71055,77,45712
2,ぶどう類,Grapes,14512,11140558,14801,11707911,14731,13123609
2,くり類,Chestnuts,1214,633039,1473,664689,1084,574544
2,いちぢく類,Figs,1255,898306,1371,1009328,1244,974314
2,いちご類,Strawberries,24407,27143627,24316,28759226,23679,29824223
2,メロン類,Melons,22082,10132906,22545,10571172,20897,10592097
2,すいか類,Watermelons,43405,8529956,46776,8357852,43842,8922763
2,その他果実,Other fruits,50300,10958980,46839,11608850,43848,11894151
2,果実加工品,Processed fruits,4199,3009491,3610,2953831,3764,3302998
1,つけ物,Pickles,13432,6874844,12102,6630503,11374,6407054
1,その他食料品,Other foods,17465,3405573,14764,3237738,14442,3144140
1,鳥卵,Poultry eggs,12930,2990183,12056,3171794,11961,3292467
,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成25～27年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2013-2015 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
