項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,165603,49509,40361,19109,14802,12091,9167,7322,4025,2747,6144,326,70227,62163,6459,1094,511
,区部,All ku,,,,140259,40415,31904,16691,13213,10871,8507,6680,3537,2526,5597,318,59982,52621,5842,1028,491
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,198,15,13,5,4,10,24,17,12,4,71,23,244,66,53,40,85
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,1953,185,285,295,262,267,258,180,52,38,119,12,1301,937,274,58,32
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4581,467,805,719,635,656,602,350,86,101,155,5,2286,1934,303,40,9
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3603,294,479,453,461,537,546,371,140,138,182,2,2246,1683,448,74,41
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3757,300,560,544,512,504,506,368,157,136,166,4,1901,1564,244,67,26
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,616,103,84,59,60,95,38,36,18,31,64,28,212,164,34,6,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,4021,473,650,503,476,503,537,323,146,112,255,43,2176,1749,308,78,41
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2443,570,500,319,282,233,184,108,65,50,124,8,1745,1485,210,33,17
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1997,404,391,263,215,214,195,133,54,33,84,11,1693,1377,239,60,17
10,港区,Minato-ku,高輪署,Takanawa F. Sta.,,1307,312,258,135,123,117,84,70,46,35,103,24,801,654,107,29,11
11,新宿区,Shinjuku-ku,四谷署,Yotsuya F. Sta.,,2057,418,423,252,203,202,211,172,81,26,69,0,1299,1103,162,32,2
12,新宿区,Shinjuku-ku,牛込署,Ushigome F. Sta.,,2455,637,640,312,234,163,121,119,62,53,109,5,1308,1144,138,19,7
13,新宿区,Shinjuku-ku,新宿署,Shinjuku F. Sta.,,5120,1533,1144,557,406,369,343,284,130,100,219,35,2934,2387,421,77,49
14,文京区,Bunkyo-ku,小石川署,Koishikawa F. Sta.,,2505,676,562,290,212,161,165,122,109,66,140,2,1184,1029,128,17,10
15,文京区,Bunkyo-ku,本郷署,Hongo F. Sta.,,2529,507,504,309,248,247,187,172,97,78,180,0,1294,1141,124,22,7
16,台東区,Taito-ku,上野署,Ueno F. Sta.,,3299,570,655,477,400,359,292,209,111,78,145,3,1393,1240,125,12,16
17,台東区,Taito-ku,浅草署,Asakusa F. Sta.,,2969,577,674,404,293,270,257,192,113,62,127,0,900,848,42,9,1
18,台東区,Taito-ku,日本堤署,Nihonzutsumi F. Sta.,,1697,501,376,217,146,120,101,89,49,33,64,1,365,344,14,6,1
19,墨田区,Sumida-ku,本所署,Honjo F. Sta.,,4614,1119,1024,606,645,329,293,232,126,97,139,4,720,667,39,10,4
20,墨田区,Sumida-ku,向島署,Mukojima F. Sta.,,1002,349,191,87,86,50,64,46,29,30,67,3,177,155,20,2,0
21,江東区,Koto-ku,深川署,Fukagawa F. Sta.,,4063,946,959,547,422,313,192,194,132,97,227,34,733,636,72,17,8
22,江東区,Koto-ku,城東署,Joto F. Sta.,,2471,607,550,245,189,210,146,134,119,53,215,3,454,423,27,2,2
23,品川区,Shinagawa-ku,品川署,Shinagawa F. Sta.,,2414,556,474,248,223,222,179,149,110,72,169,12,1323,1122,173,19,9
24,品川区,Shinagawa-ku,大井署,Oi F. Sta.,,1534,395,341,190,138,133,86,62,40,34,114,1,500,459,31,5,5
25,品川区,Shinagawa-ku,荏原署,Ebara F. Sta.,,1884,807,480,163,131,70,43,52,45,29,64,0,739,700,34,4,1
26,目黒区,Meguro-ku,目黒署,Meguro F. Sta.,,3595,1350,902,417,327,178,121,122,61,48,64,5,2116,1942,150,21,3
27,大田区,Ota-ku,大森署,Omori F. Sta.,,2787,1067,628,336,230,169,96,91,68,30,72,0,975,886,81,6,2
28,大田区,Ota-ku,田園調布署,Denenchofu F. Sta.,,1684,716,418,208,150,79,41,27,18,8,18,1,791,748,37,6,0
29,大田区,Ota-ku,蒲田署,Kamata F. Sta.,,2173,770,541,237,147,136,89,74,48,40,91,0,501,468,27,5,1
30,大田区,Ota-ku,矢口署,Yaguchi F. Sta.,,1701,671,384,235,143,85,59,39,22,11,51,1,416,387,26,2,1
31,世田谷区,Setagaya-ku,世田谷署,Setagaya F. Sta.,,3951,1711,1078,377,247,175,98,114,36,37,76,2,2245,2131,104,8,2
32,世田谷区,Setagaya-ku,玉川署,Tamagawa F. Sta.,,2244,962,692,234,162,80,45,25,15,9,17,3,1442,1362,69,10,1
33,世田谷区,Setagaya-ku,成城署,Seijo F. Sta.,,1677,723,532,157,107,58,38,34,7,6,15,0,825,779,40,6,0
34,渋谷区,Shibuya-ku,渋谷署,Shibuya F. Sta.,,7095,1807,1537,901,742,677,529,370,149,110,264,9,5063,4277,665,88,33
35,中野区,Nakano-ku,中野署,Nakano F. Sta.,,2712,1054,693,253,214,165,101,91,57,37,44,3,1256,1157,86,9,4
36,中野区,Nakano-ku,野方署,Nogata F. Sta.,,1479,720,332,169,108,77,34,14,14,6,5,0,738,711,23,2,2
37,杉並区,Suginami-ku,杉並署,Suginami F. Sta.,,3068,1288,782,345,239,172,80,63,35,22,42,0,1507,1432,66,8,1
38,杉並区,Suginami-ku,荻窪署,Ogikubo F. Sta.,,2101,936,574,225,135,92,57,34,13,14,21,0,1081,1036,41,4,0
39,豊島区,Toshima-ku,豊島署,Toshima F. Sta.,,3391,658,717,463,374,357,265,208,106,82,153,8,1647,1466,151,26,4
40,豊島区,Toshima-ku,池袋署,Ikebukuro F. Sta.,,2390,886,514,275,178,176,122,111,37,27,60,4,1187,1057,95,27,8
41,北区,Kita-ku,王子署,Oji F. Sta.,,1409,489,380,129,97,100,42,57,33,28,54,0,521,489,29,3,0
42,北区,Kita-ku,赤羽署,Akabane F. Sta.,,1518,476,400,177,127,89,57,49,43,25,75,0,353,323,24,4,2
43,北区,Kita-ku,滝野川署,Takinogawa F. Sta.,,1813,716,462,183,128,83,55,57,44,25,60,0,559,533,24,2,0
44,荒川区,Arakawa-ku,荒川署,Arakawa F. Sta.,,2090,636,418,261,186,139,107,119,67,44,104,9,497,465,25,4,3
45,荒川区,Arakawa-ku,尾久署,Ogu F. Sta.,,918,378,183,99,69,46,24,44,22,18,35,0,149,141,4,2,2
46,板橋区,Itabashi-ku,板橋署,Itabashi F. Sta.,,3083,1218,807,332,183,141,90,88,74,38,111,1,1000,944,51,2,3
47,板橋区,Itabashi-ku,志村署,Shimura F. Sta.,,3372,1271,948,372,236,157,86,80,95,40,86,1,1179,1098,74,6,1
48,練馬区,Nerima-ku,練馬署,Nerima F. Sta.,,2236,889,501,277,201,131,67,72,21,19,57,1,814,773,33,8,0
49,練馬区,Nerima-ku,光が丘署,Hikarigaoka F. Sta.,,963,331,258,121,69,49,19,25,14,11,64,2,349,331,14,2,2
50,練馬区,Nerima-ku,石神井署,Shakujii F. Sta.,,1616,642,511,168,117,88,32,26,12,6,13,1,638,612,24,1,1
51,足立区,Adachi-ku,千住署,Senju F. Sta.,,992,348,222,105,58,54,27,32,27,35,83,1,254,235,14,2,3
52,足立区,Adachi-ku,足立署,Adachi F. Sta.,,2884,773,994,307,283,176,116,84,41,24,86,0,320,300,15,4,1
53,足立区,Adachi-ku,西新井署,Nishiarai F. Sta.,,1282,478,395,117,83,84,42,25,25,7,26,0,165,155,8,2,0
54,葛飾区,Katsushika-ku,本田署,Honden F. Sta.,,2352,989,558,234,200,107,62,56,42,28,76,0,332,309,19,4,0
55,葛飾区,Katsushika-ku,金町署,Kanamachi F. Sta.,,1287,485,369,146,99,51,27,24,23,13,49,1,230,211,13,6,0
56,江戸川区,Edogawa-ku,江戸川署,Edogawa F. Sta.,,1629,607,376,165,147,91,52,60,34,25,70,2,271,248,19,3,1
57,江戸川区,Edogawa-ku,葛西署,Kasai F. Sta.,,2335,517,456,318,298,198,131,143,84,49,141,0,388,376,9,2,1
58,江戸川区,Edogawa-ku,小岩署,Koiwa F. Sta.,,1343,532,320,149,123,57,42,38,21,18,43,0,245,228,12,5,0
,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,,,,25344,9094,8457,2418,1589,1220,660,642,488,221,547,8,10245,9542,617,66,20
1,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,立川署 ,Tachikawa F. Sta. ,1),2416,792,833,267,164,115,82,66,18,30,48,1,934,881,48,5,0
2,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,武蔵野署,Musashino F. Sta.,,1504,570,373,152,129,108,52,56,23,20,20,1,1028,935,85,6,2
3,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,三鷹署,Mitaka F. Sta.,,1106,404,272,124,103,83,39,24,22,15,20,0,554,515,36,3,0
4,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,府中署,Fuchu F. Sta.,,1713,567,435,192,147,123,57,86,39,15,50,2,651,617,31,3,0
5,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,昭島署,Akishima F. Sta.,,566,246,153,37,39,22,7,10,36,2,14,0,195,185,7,3,0
6,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,調布署,Chofu F. Sta.,,1580,595,493,172,97,74,37,44,24,17,26,1,700,668,30,2,0
7,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,小金井署,Koganei F. Sta.,,602,235,164,62,48,27,14,19,14,5,14,0,326,310,14,1,1
8,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,小平署,Kodaira F. Sta.,,1077,440,419,89,46,30,18,7,12,0,16,0,350,339,10,0,1
9,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,東村山署,Higashimurayama F. Sta.,,785,267,270,93,48,22,20,15,24,6,20,0,281,269,12,0,0
10,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,国分寺署,Kokubunji F. Sta.,,726,246,219,99,44,43,24,15,9,9,18,0,463,427,35,0,1
11,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,狛江署,Komae F. Sta.,,388,133,161,42,19,9,7,4,7,0,6,0,155,152,3,0,0
12,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,北多摩西部署 ,Kitatama-seibu F. Sta. ,2),638,247,241,37,22,24,18,13,15,5,16,0,154,147,5,2,0
13,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,清瀬署,Kiyose F. Sta.,,433,180,175,21,26,11,7,3,2,1,7,0,121,110,10,1,0
14,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,東久留米署,Higashikurume F. Sta.,,555,129,282,38,34,18,10,20,7,9,8,0,158,155,3,0,0
15,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,西東京署,Nishitokyo F. Sta.,,1057,402,298,106,77,84,22,25,13,12,17,1,403,371,31,1,0
16,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,八王子署,Hachioji F. Sta.,,3732,1328,1100,357,245,211,132,112,86,41,119,1,1372,1261,93,11,7
17,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,青梅署,Ome F. Sta.,,606,272,165,62,39,23,10,10,13,6,6,0,251,229,19,2,1
18,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,町田署,Machida F. Sta.,,2288,759,1005,169,88,78,38,51,22,16,61,1,954,864,75,9,6
19,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,日野署,Hino F. Sta.,,985,382,351,86,50,34,20,19,18,6,19,0,343,316,18,8,1
20,消防事務受託地区,Areas entrusting fire service to the Tokyo Fire Department,福生署 ,Fussa F. Sta. ,3),817,406,256,66,32,26,13,3,6,2,7,0,214,206,7,1,0
