種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,信託の受益権  Rights based in trusts
一般財産 ,General assets,1,総額,Total,,11406804,89406169,5858275,27597613,3510490,960210,1006,10514,6279,2163,7146,8948,251701,614809,175263
一般財産 ,General assets,2,行政財産,Administrative assets,,9391087,81509269,5357444,26448773,3145042,863417,911,10301,6279,1742,5950,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,2015717,7896900,500831,1148840,365448,96793,95,213,-,421,1196,8948,251701,614809,175263
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2500587,13305649,1546156,1928726,315174,476116,1,113,-,-,250,135,112417,6,50218
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1409806,5953847,676195,1875079,313842,419405,1,113,-,-,250,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,1090781,7351802,869962,53647,1332,56711,-,-,-,-,-,135,112417,6,50218
公営企業用財産,Public enterprise assets,,,,1),13408888,250501782,962682,2980867,1141286,11266858,1829,150,-,-,358,-,34645,1078,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (平成27年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2015 ),,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
