年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成23,2011,13100,,区部,All ku,13584767,12902171,29112977,10074853,15969720,2647061,172895,7367,682596,1764371,463196,695435,126135,854,67405,25007
平成24,2012,13100,,区部,All ku,13161171,12497317,29493582,9629292,16034855,2686705,174218,7102,663854,1833668,440923,712293,130918,941,66080,24993
平成25,2013,13100,,区部,All ku,13205242,12522856,29477862,9670446,16072109,2673590,171724,7096,682386,1884006,461224,730392,130130,1441,64562,25028
平成26,2014,13100,,区部,All ku,13424791,12731522,29498621,9783687,16237637,2767738,172994,7095,693268,1971103,475800,707031,123812,1316,67311,25028
平成27,2015,13100,,区部,All ku,13821681,12985214,29544628,10021571,16189281,2798489,158044,7094,836467,2028159,613142,711379,129613,1343,67336,25028
平成27,2015,13101,1,千代田区,Chiyoda-ku,408351,370439,203674,298383,315728,71556,500,-,37912,40442,26208,44959,5342,177,6185,-
平成27,2015,13102,2,中央区,Chuo-ku,499309,466534,402465,317462,544235,144059,4789,223,32775,44751,25942,17228,5457,82,1294,-
平成27,2015,13103,3,港区,Minato-ku ,848963,813189,696849,619742,695094,188753,4684,-,35774,95062,33460,7015,798,8,1508,-
平成27,2015,13104,4,新宿区,Shinjuku-ku,686305,612291,961484,525479,559741,85869,943,-,74014,93808,41647,51312,6485,-,854,25028
平成27,2015,13105,5,文京区,Bunkyo-ku,442422,417867,722064,309576,415623,108291,-,-,24555,25415,13607,37284,10698,-,249,-
平成27,2015,13106,6,台東区,Taito-ku,246031,223538,403069,103340,448165,111524,8673,-,22493,37201,10121,21858,1447,57,10867,-
平成27,2015,13107,7,墨田区,Sumida-ku,248754,235522,594122,82765,539890,144854,7903,-,13232,169067,4117,19547,3676,35,5404,-
平成27,2015,13108,8,江東区,Koto-ku,549139,519563,1390180,361716,876759,152826,5010,11,29576,59797,14433,37064,10699,55,4389,-
平成27,2015,13109,9,品川区,Shinagawa-ku,774814,725530,1130390,570300,759110,146184,7712,1334,49284,98444,38371,35031,6665,19,4227,-
平成27,2015,13110,10,目黒区,Meguro-ku,430748,425340,768162,345441,523988,76194,3706,-,5408,50936,2868,10168,1776,11,753,-
平成27,2015,13111,11,大田区,Ota-ku,908382,883256,2470442,797951,1213398,76553,8715,36,25126,86584,22249,24255,1876,22,978,-
平成27,2015,13112,12,世田谷区,Setagaya-ku,1255319,1199660,2336141,894050,1202444,275588,30022,-,55659,78707,48624,16986,3535,226,3273,-
平成27,2015,13113,13,渋谷区,Shibuya-ku ,981478,829158,501643,732716,424298,92570,3865,-,152320,50419,124527,70017,22701,97,4995,-
平成27,2015,13114,14,中野区,Nakano-ku,256143,221958,913360,150930,439635,71029,-,-,34185,92237,26754,45622,7270,-,161,-
平成27,2015,13115,15,杉並区,Suginami-ku,613113,584947,1578865,403285,792791,177970,3692,-,28166,309396,22393,47139,4667,1,1106,-
平成27,2015,13116,16,豊島区,Toshima-ku,498403,443596,668754,353568,383889,87361,2667,-,54807,102193,43782,42807,10410,16,600,-
平成27,2015,13117,17,北区,Kita-ku,513421,500954,1135522,416709,678066,84245,-,-,12467,69807,12070,11565,265,-,132,-
平成27,2015,13118,18,荒川区,Arakawa-ku,206309,193559,524847,78770,414857,99118,10182,5490,12750,76769,10108,15905,2642,-,-,-
平成27,2015,13119,19,板橋区,Itabashi-ku,695676,683953,1831145,597317,852223,85251,1385,-,11723,45741,9707,10447,624,2,1389,-
平成27,2015,13120,20,練馬区,Nerima-ku,947172,910728,2829955,728320,1127823,166378,16029,-,36444,79703,26254,46816,9613,29,548,-
平成27,2015,13121,21,足立区,Adachi-ku,871639,811987,3170574,599385,1139664,196980,15623,-,59652,208270,38166,21745,2920,424,18142,-
平成27,2015,13122,22,葛飾区,Katsushika-ku,426627,406068,1659738,317557,780624,74533,13979,-,20559,80425,13179,53788,7215,56,109,-
平成27,2015,13123,23,江戸川区,Edogawa-ku,513163,505577,2651183,416809,1061236,80803,7965,-,7586,32985,4555,22821,2832,26,173,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (2) 区有 (平成23～平成27年度末) 21-9  PUBLIC ASSETS (2) ASSETS OWNED BY KU ( End of Fiscal Years 2011-2015 ) ,,,,,,,,,,,,,,,,,,,,,
注 1) 港区の行政財産の総額には，地上権を含む。,,,,,,,,,,,,,,,,,,,,,
2) 渋谷区の行政財産の総額には，温泉権を含む。,,,,,,,,,,,,,,,,,,,,,
Note: 1) The total value of the public and administrative property of Minato-ku includes surface rights.,,,,,,,,,,,,,,,,,,,,,
2) The total value of the public and administrative property of Shibuya-ku includes the right to hot spring.,,,,,,,,,,,,,,,,,,,,,
資料：公益財団法人特別区協議会事業部調査研究課 Source: Public Interest Foundation of Tokyo Metropolitan Area Cities,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
