地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
0,13000,,総数,Tokyo-to,49010,14710082,389567531,35271,4023365,70837720,109,410453,14593789,2817,5317036,155107184,10668,4945805,148661778,11,426,9291,134,12997,357769
1,13100,,区部,All ku,29743,11012025,310818967,20009,2343157,42209219,88,294997,11065599,2313,4346557,129281675,7246,4015469,127907782,6,287,6491,81,11558,348201
5,13101,1,千代田区,Chiyoda-ku,206,965802,36868662,30,5002,16201,7,98466,3662127,46,143686,5464193,121,710120,27396049,1,13,x,1,8515,x
5,13102,2,中央区,Chuo-ku,170,620794,21150714,17,1647,26962,9,37988,1971761,64,358933,9792524,80,222226,9359467,-,-,-,-,-,-
5,13103,3,港区,Minato-ku,449,753344,27413615,68,10216,212231,5,8990,x,123,286922,9894529,251,447152,16904815,-,-,-,2,64,x
5,13104,4,新宿区,Shinjuku-ku,879,575436,16622022,446,52641,966018,3,5770,312886,126,384656,10815653,304,132369,4527465,-,-,-,-,-,-
5,13105,5,文京区,Bunkyo-ku,521,180168,5454786,324,39090,725561,2,12457,x,74,86565,x,121,42056,1406439,-,-,-,-,-,-
5,13106,6,台東区,Taito-ku,376,220192,7411758,155,16556,325803,5,18396,821390,80,104569,3164983,136,80671,3099582,-,-,-,-,-,-
5,13107,7,墨田区,Sumida-ku,706,227937,6235464,400,42998,731158,2,3265,x,94,115918,3487788,209,65739,1920416,-,-,-,1,17,x
5,13108,8,江東区,Koto-ku,969,639900,12994188,388,41351,701004,5,6288,301329,82,470284,9618862,486,121153,2369593,-,-,-,8,824,3400
5,13109,9,品川区,Shinagawa-ku,985,447878,14347298,604,67885,1311196,12,6249,143906,115,140489,4784856,250,233205,8106951,-,-,-,4,50,389
5,13110,10,目黒区,Meguro-ku,957,288586,8275256,618,87769,1682029,4,1138,x,99,129112,4395263,235,70500,2167264,1,67,x,-,-,-
5,13111,11,大田区,Ota-ku,2555,803573,20595424,1722,198902,3633404,13,44230,x,179,328178,9201619,640,232252,6950504,-,-,-,1,11,x
5,13112,12,世田谷区,Setagaya-ku,3770,939262,24145154,2681,327080,6074456,3,2004,93708,234,349458,10694897,843,260117,7277510,-,-,-,9,603,4583
5,13113,13,渋谷区,Shibuya-ku,573,559882,16698258,230,31970,606058,10,31715,1222295,153,144898,7799954,180,351299,7069951,-,-,-,-,-,-
5,13114,14,中野区,Nakano-ku,1151,239422,6076592,823,98288,1774086,2,370,x,81,86534,2736273,243,54100,1553374,1,100,x,1,30,x
5,13115,15,杉並区,Suginami-ku,2477,453572,10896145,1959,225092,4235515,2,12468,x,115,130093,3895183,389,85513,2274522,-,-,-,12,406,x
5,13116,16,豊島区,Toshima-ku,769,285700,9689002,494,57529,1098033,1,2983,x,81,87633,x,193,137555,5896418,-,-,-,-,-,-
5,13117,17,北区,Kita-ku,1110,335402,8460664,721,78226,1373756,-,-,-,91,144561,x,297,112601,2924243,-,-,-,1,14,x
5,13118,18,荒川区,Arakawa-ku,604,153135,3896309,425,46443,805962,-,-,-,38,47277,x,140,59385,1623774,-,-,-,1,30,x
5,13119,19,板橋区,Itabashi-ku,1619,441289,9967070,1112,131075,2186129,2,1595,x,105,191377,4796588,394,117147,2950778,-,-,-,6,95,x
5,13120,20,練馬区,Nerima-ku,2833,567471,13534411,2188,243841,4278835,1,625,x,114,196564,5837114,523,126175,3403166,1,11,x,6,255,3096
5,13121,21,足立区,Adachi-ku,2515,617438,14284232,1878,219412,3827407,-,-,-,93,237662,6627832,532,160095,3828070,-,-,-,12,269,923
5,13122,22,葛飾区,Katsushika-ku,1656,306606,6952630,1287,150434,2669241,-,-,-,56,66961,1961232,305,89018,2321505,-,-,-,8,193,652
