年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成25,2013,13200,,市部,All shi,1448561,694086,6581,5160,8094,41750,411,-,4070,3145,46296,561,11783,16354,14328,228229,3090,188037,5987,2473,37288,40804,15515,74518
平成26,2014,13200,,市部,All shi,1502932,713044,6269,5209,12092,53204,381,-,2090,2814,41790,486,12731,16384,14087,244117,3096,191299,5697,2032,37635,47986,16959,73530
平成27,2015,13200,,市部,All shi,1551889,714961,6534,4473,10653,94425,410,-,2937,2725,38215,505,14030,16194,14819,257213,2905,194744,5534,3024,32598,44540,16648,73801
平成27,2015,13201,1,八王子市,Hachioji-shi,196162,90417,980,543,1293,13419,96,-,442,392,4629,78,1976,1867,2588,35097,2,25519,526,396,733,2115,1913,11143
平成27,2015,13202,2,立川市,Tachikawa-shi,79269,38998,277,186,442,4656,-,-,125,123,45,25,583,977,768,15414,285,9112,79,61,190,4072,572,2281
平成27,2015,13203,3,武蔵野市,Musashino-shi,68484,39829,178,241,577,3574,-,-,80,40,56,15,393,851,721,8228,-,6112,492,50,1698,4031,570,746
平成27,2015,13204,4,三鷹市,Mitaka-shi,70899,37248,264,250,597,4205,-,-,118,94,58,20,432,940,439,10365,-,7718,102,32,357,1505,492,5661
平成27,2015,13205,5,青梅市,Ome-shi,50443,20221,286,120,285,3231,53,-,128,89,2454,22,956,551,571,8559,-,6828,375,22,1450,870,841,2531
平成27,2015,13206,6,府中市,Fuchu-shi,100306,50756,376,290,690,6125,-,-,169,186,55,30,687,1528,1058,19308,4,11018,437,898,1473,2387,1332,1499
平成27,2015,13207,7,昭島市,Akishima-shi,43033,19216,176,105,248,2651,28,-,79,76,441,13,599,483,443,9227,13,5642,47,104,625,1288,350,1181
平成27,2015,13208,8,調布市,Chofu-shi,91359,46203,322,284,676,5076,9,-,144,123,65,25,998,1152,648,13106,-,10445,308,252,2428,5928,567,2599
平成27,2015,13209,9,町田市,Machida-shi,147811,68374,719,459,1093,9567,43,-,324,309,1099,54,1518,1018,1922,26211,-,17919,872,94,3960,4398,1211,6649
平成27,2015,13210,10,小金井市,Koganei-shi,40130,20834,163,156,372,2583,-,-,73,58,48,10,231,516,431,5908,-,5529,25,10,932,1540,309,400
平成27,2015,13211,11,小平市,Kodaira-shi,62731,30683,257,198,472,4166,17,-,116,148,748,21,418,764,260,10440,-,8189,134,4,1222,1258,492,2726
平成27,2015,13212,12,日野市,Hino-shi,67529,30355,297,189,450,4056,-,-,134,136,781,24,448,748,722,10115,-,8630,229,128,3103,2215,2088,2682
平成27,2015,13213,13,東村山市,Higashimurayama-shi,53048,20470,231,143,338,3333,-,-,104,116,4068,18,313,657,558,9984,-,7747,13,48,923,477,346,3161
平成27,2015,13214,14,国分寺市,Kokubunji-shi,43867,22367,178,160,380,2672,-,-,80,61,50,11,571,730,425,5994,-,5349,101,39,1520,1230,721,1229
平成27,2015,13215,15,国立市,Kunitachi-shi,31070,14577,119,103,245,1733,-,-,53,40,171,10,222,441,184,4486,-,4082,141,436,314,359,430,2923
平成27,2015,13218,16,福生市,Fussa-shi,25143,7993,98,52,124,1341,-,-,44,28,2321,10,234,187,198,4724,1598,3473,15,4,821,1122,166,588
平成27,2015,13219,17,狛江市,Komae-shi,29302,11927,112,92,218,1683,-,-,50,47,1607,8,173,304,322,3987,-,4259,948,174,463,977,366,1588
平成27,2015,13220,18,東大和市,Higashiyamato-shi,32035,12424,140,77,184,1834,-,-,63,75,1879,12,374,165,337,5646,-,4325,36,1,944,1214,246,2059
平成27,2015,13221,19,清瀬市,Kiyose-shi,29449,9224,116,65,155,1613,-,-,52,51,3866,8,185,211,194,5779,29,4396,17,42,869,805,354,1419
平成27,2015,13222,20,東久留米市,Higashikurume-shi,39685,16585,185,112,266,2525,-,-,83,86,2941,15,289,365,65,6792,-,5532,12,35,64,1167,635,1933
平成27,2015,13223,21,武蔵村山市,Musashimurayama-shi,28169,10015,126,53,128,1615,-,-,57,67,1977,11,291,117,136,5482,467,4311,11,4,962,905,284,1150
平成27,2015,13224,22,多摩市,Tama-shi,56112,28683,253,159,376,3493,34,-,114,84,72,16,567,333,613,8467,26,6630,60,11,2220,1072,1035,1796
平成27,2015,13225,23,稲城市,Inagi-shi,34491,14752,144,98,235,1859,78,-,65,60,998,10,352,330,318,4812,237,5113,57,5,1451,804,357,2354
平成27,2015,13227,24,羽村市,Hamura-shi,22816,10796,103,53,127,1368,-,-,46,40,65,8,223,214,206,3474,245,3373,31,5,1349,615,297,178
平成27,2015,13228,25,あきる野市,Akiruno-shi,32712,10593,169,68,161,1784,54,-,76,59,4023,13,394,164,279,4067,-,5121,143,13,100,758,248,4423
