地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
2,13206,6,府中市,Fuchu-shi,2293,1179,1114,1885,1023,862,408,156,252,3,1,2,1,1,0,43,20,23,1.44,1362,425
2,13207,7,昭島市,Akishima-shi,882,440,442,1070,562,508,-188,-122,-66,0,0,0,0,0,0,16,11,5,1.39,562,163
2,13208,8,調布市,Chofu-shi,1939,954,985,1672,902,770,267,52,215,1,1,0,0,0,0,37,19,18,1.23,1343,373
2,13209,9,町田市,Machida-shi,2841,1501,1340,3523,1923,1600,-682,-422,-260,6,2,4,4,1,3,77,33,44,1.23,1703,653
2,13210,10,小金井市,Koganei-shi,1107,555,552,904,468,436,203,87,116,2,0,2,0,0,0,16,9,7,1.36,685,159
2,13211,11,小平市,Kodaira-shi,1635,850,785,1502,794,708,133,56,77,1,0,1,0,0,0,18,11,7,1.46,870,298
2,13212,12,日野市,Hino-shi,1558,811,747,1447,780,667,111,31,80,2,0,2,1,0,1,28,20,8,1.45,918,275
2,13213,13,東村山市,Higashimurayama-shi,1110,557,553,1446,794,652,-336,-237,-99,2,1,1,1,0,1,27,15,12,1.34,629,252
2,13214,14,国分寺市,Kokubunji-shi,1046,520,526,875,462,413,171,58,113,1,1,0,0,0,0,26,19,7,1.34,695,150
2,13215,15,国立市,Kunitachi-shi,570,298,272,606,297,309,-36,1,-37,1,0,1,1,0,1,8,6,2,1.25,368,101
2,13218,16,福生市,Fussa-shi,431,207,224,562,286,276,-131,-79,-52,1,1,0,1,1,0,14,7,7,1.41,351,128
2,13219,17,狛江市,Komae-shi,698,373,325,661,374,287,37,-1,38,1,0,1,1,0,1,11,5,6,1.25,455,106
2,13220,18,東大和市,Higashiyamato-shi,792,405,387,771,420,351,21,-15,36,3,3,0,1,1,0,15,8,7,1.67,375,138
