年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成22,2010,0,13000,東京都,Tokyo-to,1860923,739420,1121503,141414,56190,85225,291053,115647,175406
平成23,2011,0,13000,東京都,Tokyo-to,1839868,731045,1108823,139526,55439,84087,285806,113561,172245
平成24,2012,0,13000,東京都,Tokyo-to,1881425,748402,1133023,142357,56628,85730,280854,111719,169135
平成25,2013,0,13000,東京都,Tokyo-to,1912684,760726,1151957,143954,57255,86700,282736,112452,170284
平成26,2014,0,13000,東京都,Tokyo-to,1993560,792310,1201251,149011,59222,89789,291210,115737,175473
平成26,2014,1,13100,区部,All ku,1496845,594793,902052,163714,65054,98660,304858,121140,183718
平成26,2014,2,13101,千代田区,Chiyoda-ku,21130,8422,12708,397935,158612,239323,684805,272955,411850
平成26,2014,2,13102,中央区,Chuo-ku,34053,13515,20538,245881,97585,148296,426083,169103,256980
平成26,2014,2,13103,港区,Minato-ku,110819,44204,66614,509529,203245,306284,852510,340056,512453
平成26,2014,2,13104,新宿区,Shinjuku-ku,61650,24566,37084,184380,73472,110908,269988,107585,162403
平成26,2014,2,13105,文京区,Bunkyo-ku,47950,19105,28845,222711,88735,133976,395095,157418,237676
平成26,2014,2,13106,台東区,Taito-ku,26800,10665,16135,145058,57724,87334,241740,96197,145543
平成26,2014,2,13107,墨田区,Sumida-ku,32248,12831,19417,126430,50306,76124,241876,96241,145635
平成26,2014,2,13108,江東区,Koto-ku,70245,27943,42302,145604,57920,87684,294794,117267,177527
平成26,2014,2,13109,品川区,Shinagawa-ku,66762,26595,40168,178175,70975,107199,318225,126764,191461
平成26,2014,2,13110,目黒区,Meguro-ku,67209,26766,40443,243775,97085,146690,457006,182005,275001
平成26,2014,2,13111,大田区,Ota-ku,106001,41171,64829,149984,58254,91729,287468,111654,175814
平成26,2014,2,13112,世田谷区,Setagaya-ku,180005,71730,108275,200283,79811,120472,383562,152845,230717
平成26,2014,2,13113,渋谷区,Shibuya-ku,69111,27544,41566,322178,128405,193773,504362,201014,303347
平成26,2014,2,13114,中野区,Nakano-ku,49890,19853,30036,156261,62183,94079,251327,100013,151313
平成26,2014,2,13115,杉並区,Suginami-ku,95643,38072,57572,171486,68262,103225,303288,120727,182561
平成26,2014,2,13116,豊島区,Toshima-ku,43454,17277,26177,147988,58838,89150,232412,92404,140008
平成26,2014,2,13117,北区,Kita-ku,39965,15899,24066,118152,47003,71149,214205,85215,128990
平成26,2014,2,13118,荒川区,Arakawa-ku,23629,9392,14237,114115,45357,68758,217783,86562,131221
平成26,2014,2,13119,板橋区,Itabashi-ku,65172,25906,39266,120140,47756,72383,223779,88954,134825
平成26,2014,2,13120,練馬区,Nerima-ku,97682,38824,58858,135161,53720,81441,276657,109959,166699
平成26,2014,2,13121,足立区,Adachi-ku,65734,26120,39614,95351,37888,57463,196624,78130,118494
平成26,2014,2,13122,葛飾区,Katsushika-ku,46824,18612,28213,105792,42050,63742,223873,88984,134889
平成26,2014,2,13123,江戸川区,Edogawa-ku,74870,29781,45089,110347,43893,66455,232930,92652,140278
平成26,2014,1,13200,市部,All shi,489581,194686,294895,117938,46899,71039,257633,102450,155183
平成26,2014,2,13201,八王子市,Hachioji-shi,59167,23510,35657,102058,40552,61506,226355,89941,136414
平成26,2014,2,13202,立川市,Tachikawa-shi,20137,8006,12131,111719,44417,67302,238122,94673,143449
平成26,2014,2,13203,武蔵野市,Musashino-shi,27091,10793,16297,190046,75718,114328,365617,145669,219948
