地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,12156,269815,129288120,464086538,815935066,329922094,799,51,506,75,282,501,2236,221,18,671,221,292,209,120,124,1642,408,1081,599,326,657,167,303,647,30267,1493,5345,783,3772,6700,48054,10905,353,8211,3314,3558,3933,2665,2468,18995,7563,16311,13462,8754,27626,13572,21996,9715,69887278,13931390,6268651,1487275,9709518,13752024,100070199,39556447,2973484,12076558,5692454,7081747,17075859,15914285,7976072,28429357,13498806,33117257,34359103,29877491,83508251,87707647,154926094,27057819
1,13100,,区部,All ku,9415,150908,65789822,167880795,320963388,143489127,549,20,443,61,227,452,2037,168,10,516,212,290,139,100,89,1348,303,759,396,121,386,71,183,535,13217,541,4309,661,2061,5654,42732,7353,224,5751,2595,3543,2616,2154,1351,14689,4443,10097,7577,1840,6230,1855,2708,6707,28389093,x,5175096,1372086,3204690,11472351,89236844,26795688,1654334,7904636,3410342,x,9900135,12146058,4646282,22245154,7691330,17836192,22387418,3104083,11799900,4516029,5074225,12581416
2,13101,1,千代田区,Chiyoda-ku,107,2066,970906,2102746,4562622,2300845,1,-,5,-,-,7,85,-,-,-,-,-,-,-,-,1,-,1,-,3,1,-,-,3,6,-,45,-,-,50,1871,-,-,-,-,-,-,-,-,6,-,5,-,22,7,-,-,54,x,-,86774,-,-,142620,4201905,-,-,-,-,-,-,-,-,x,-,x,-,20429,x,-,-,73934
2,13102,2,中央区,Chuo-ku,166,2508,1092154,2732079,5294852,2395123,23,-,7,1,1,7,108,-,-,1,1,-,-,-,-,2,1,2,1,1,-,1,-,9,435,-,73,6,5,52,1741,-,-,24,7,-,-,-,-,32,6,10,27,11,-,12,-,67,621167,-,108921,x,x,50253,3880618,-,-,x,x,-,-,-,-,x,x,x,x,x,-,x,-,167487
2,13103,3,港区,Minato-ku,128,1852,859546,2457040,4553742,1957830,12,2,4,-,5,1,70,1,-,2,-,-,4,1,-,5,6,5,-,1,4,2,1,2,314,12,40,-,31,6,1043,48,-,26,-,-,62,5,-,34,83,58,-,17,50,9,5,9,840698,x,35064,-,34116,x,1966564,x,-,x,-,-,968505,x,-,32164,190105,122540,-,x,65307,x,x,x
2,13104,4,新宿区,Shinjuku-ku,292,8186,4339128,12953752,20999351,7630695,15,2,13,1,5,17,201,1,-,3,-,1,-,-,1,4,1,3,8,3,2,3,-,8,241,41,96,17,21,200,6949,4,-,55,-,4,-,-,17,39,120,30,127,20,16,121,-,68,305798,x,73583,x,17700,401371,19177412,x,-,72038,-,x,-,-,x,22460,x,45065,335846,19596,x,209501,-,102059
2,13105,5,文京区,Bunkyo-ku,296,5871,2833768,5716216,11097249,5034911,10,-,11,3,5,9,196,4,-,2,-,2,3,-,-,3,-,1,23,1,5,1,1,16,214,-,130,33,21,68,4571,44,-,11,-,71,41,-,-,18,-,5,427,6,53,7,6,145,196520,-,119997,40622,21784,73221,8822271,75660,-,x,-,x,132518,-,-,12235,-,x,941389,x,117462,x,x,184310
2,13106,6,台東区,Taito-ku,449,4400,1560903,4116208,7294133,2968209,33,-,43,3,12,38,84,4,-,10,9,82,2,-,2,36,2,6,6,-,5,-,3,69,449,-,362,28,104,323,917,41,-,85,86,835,15,-,10,257,11,41,62,-,46,-,19,709,483013,-,472337,34710,157950,485622,1328042,82819,-,62531,105487,1935083,x,-,x,233971,x,75647,151852,-,58403,-,14826,1485547
2,13107,7,墨田区,Sumida-ku,828,12284,5821858,9873040,27356155,16127140,34,5,70,7,15,55,152,17,1,41,56,59,10,8,9,145,16,36,9,4,10,1,11,57,441,324,591,57,96,479,2435,2439,16,506,571,808,357,223,54,1341,182,557,61,37,114,10,107,478,841739,807142,1058039,66342,156058,609054,3257476,11889133,x,673609,774023,1565816,486359,960331,134634,1808233,346960,658495,82007,x,183012,x,141780,684993
2,13108,8,江東区,Koto-ku,567,10465,4461313,15072407,28427883,12494767,44,1,22,25,14,39,199,7,3,26,7,4,28,15,4,57,10,19,7,1,10,3,8,14,1870,7,202,355,179,439,3950,521,66,311,57,92,441,271,136,602,114,227,160,38,137,36,134,120,5347801,x,277496,1028488,366147,724233,8214726,2749937,678963,652825,81044,232105,2131956,1906804,x,1237002,205733,377209,459747,x,304660,91556,390653,183891
2,13109,9,品川区,Shinagawa-ku,397,5893,2565340,4414777,9183843,4469911,17,1,5,-,3,7,65,7,-,34,4,1,7,3,4,52,22,67,20,11,38,2,14,13,179,7,45,-,33,59,847,345,-,435,50,8,106,22,42,528,418,1025,339,163,608,11,496,127,145721,x,33399,-,34787,78152,1133399,645177,-,640063,71825,x,421987,23020,75943,691130,783978,1631290,577063,255914,988039,x,700592,222334
2,13110,10,目黒区,Meguro-ku,141,2542,1184397,2890561,4970959,1952373,16,-,2,1,4,2,12,5,-,9,-,-,1,-,1,22,8,11,8,7,15,4,3,10,406,-,8,4,39,11,239,65,-,69,-,-,21,-,16,255,147,271,222,128,289,45,34,273,657014,-,x,x,62794,x,386616,174344,-,50072,-,-,x,-,x,545195,236174,400604,308079,456575,483206,69834,44561,861127
