地域階層,地域コード,地域,District,除却 Removed／建築物数 Number,除却 Removed／床面積の合計 Total floor space,除却 Removed／建築物評価額 Estimated value,災害 Damaged by disasters／建築物数 Number,災 害Damaged by disasters／床面積の合計 Total floor space,災害 Damaged by disasters／建築物損害見積額 Estimated damages
0,13000,総数,Tokyo-to,8630,3043797,6582622,190,11961,83278
1,13100,区部,All ku,6020,2473166,5799124,141,8838,63293
5,13101,千代田区,Chiyoda-ku,64,426926,1154020,4,300,2628
5,13102,中央区,Chuo-ku,183,290948,1786544,4,195,1493
5,13103,港区,Minato-ku,111,269768,823785,-,-,-
5,13104,新宿区,Shinjuku-ku,287,237191,538940,5,380,3170
5,13105,文京区,Bunkyo-ku,99,17940,12432,1,122,1830
5,13106,台東区,Taito-ku,68,14559,1299,9,454,454
5,13107,墨田区,Sumida-ku,137,28790,20603,11,366,365
5,13108,江東区,Koto-ku,109,30796,58149,14,878,2634
5,13109,品川区,Shinagawa-ku,301,52229,42472,9,1094,11880
5,13110,目黒区,Meguro-ku,240,53221,84898,-,-,-
5,13111,大田区,Ota-ku,532,270379,411683,3,453,1125
5,13112,世田谷区,Setagaya-ku,766,181973,153140,12,481,3353
5,13113,渋谷区,Shibuya-ku,152,80603,75242,3,69,104
5,13114,中野区,Nakano-ku,225,31751,32925,3,110,738
5,13115,杉並区,Suginami-ku,509,67915,78259,10,650,1950
5,13116,豊島区,Toshima-ku,169,25641,23547,-,-,-
5,13117,北区,Kita-ku,212,57681,58045,3,163,343
5,13118,荒川区,Arakawa-ku,124,29517,27579,-,-,-
5,13119,板橋区,Itabashi-ku,315,62672,62589,16,1005,11964
5,13120,練馬区,Nerima-ku,495,85909,68573,12,964,5832
5,13121,足立区,Adachi-ku,345,59032,52940,6,423,9028
5,13122,葛飾区,Katsushika-ku,259,29183,26517,-,-,-
5,13123,江戸川区,Edogawa-ku,318,68542,204943,16,731,4402
1,13200,市部,All shi,2576,566364,781308,49,3123,19985
5,13201,八王子市,Hachioji-shi,279,67543,71184,23,1008,6264
5,13202,立川市,Tachikawa-shi,167,34116,31734,5,407,1628
5,13203,武蔵野市,Musashino-shi,150,23065,17790,-,-,-
5,13204,三鷹市,Mitaka-shi,143,17518,20523,3,325,1470
5,13205,青梅市,Ome-shi,89,25042,39545,-,-,-
5,13206,府中市,Fuchu-shi,243,83103,270882,-,-,-
5,13207,昭島市,Akishima-shi,65,23359,48601,-,-,-
5,13208,調布市,Chofu-shi,165,41723,16290,6,364,1288
5,13209,町田市,Machida-shi,167,26603,45727,8,734,7070
5,13210,小金井市,Koganei-shi,91,17468,17818,-,-,-
5,13211,小平市,Kodaira-shi,148,47073,27153,-,-,-
5,13212,日野市,Hino-shi,83,34556,12101,-,-,-
5,13213,東村山市,Higashimurayama-shi,62,9103,7878,-,-,-
5,13214,国分寺市,Kokubunji-shi,75,9414,10754,-,-,-
5,13215,国立市,Kunitachi-shi,69,19169,17778,-,-,-
5,13218,福生市,Fussa-shi,23,3253,3096,-,-,-
5,13219,狛江市,Komae-shi,62,7622,7476,-,-,-
5,13220,東大和市,Higashiyamato-shi,42,4882,3226,-,-,-
5,13221,清瀬市,Kiyose-shi,61,8961,14884,-,-,-
5,13222,東久留米市,Higashikurume-shi,53,12852,4808,-,-,-
5,13223,武蔵村山市,Musashimurayama-shi,42,3852,2011,-,-,-
5,13224,多摩市,Tama-shi,42,11085,20249,-,-,-
5,13225,稲城市,Inagi-shi,26,4843,2702,2,174,1705
5,13227,羽村市,Hamura-shi,39,3974,3374,-,-,-
5,13228,あきる野市,Akiruno-shi,71,13388,51546,-,-,-
5,13229,西東京市,Nishitokyo-shi,119,12797,12178,2,111,560
,,郡部，島部,All gun and islands,34,4267,2190,-,-,-
,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,
3-13  地 域 別 滅 失 建 築 物 （平成27年） ,,,,,,,,,
DESTROYED BUILDINGS BY DISTRICT ( 2015 ) ,,,,,,,,,
この表は建築基準法により， 工事施工者から知事に届出のあった建築物除去届及び市町村長からの建築物災害報告によって作成された ,,,,,,,,,
もので，対象は床面積の合計が10平方メートルを越える建築物である。 ,,,,,,,,,
This table is based on notifications of building removal submitted to the Governor by contractors， and reports on buildings damaged by,,,,,,,,,
disasters submitted by the heads of shi， machi， and mura， and covers buildings with total floor space of more than 10 square meters.,,,,,,,,,
（単位　面積　平方メートル， 金額　万円）    (Space in m2， Value in 10 thousand yen),,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,
