会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,974258,996357,996356
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,974258,996357,996356
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,974258,996357,996356
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,974258,996357,996356
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,1993660,2211190,2122695
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,1367039,1589625,1494074
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,450741,482401,489459
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,175880,139164,139163
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,1888945,2066990,2009191
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,1888945,2066990,2009191
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,463,463,727
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,11,11,10
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,0,0,0
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,452,452,717
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,463,463,-
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,463,463,-
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳入,Revenue,4732,4732,4746
母子父子福祉貸付資金,Single parent welfare loan funds,1,事業収入,Operations,2741,2741,3079
母子父子福祉貸付資金,Single parent welfare loan funds,1,国庫支出金,National grants-in-aid,2,2,1
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰入金,Funds transferred,521,521,181
母子父子福祉貸付資金,Single parent welfare loan funds,1,諸収入,Miscellaneous,0,0,2
母子父子福祉貸付資金,Single parent welfare loan funds,1,都債,Metropolitan debt,724,724,106
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰越金,Balance brought forward,744,744,1377
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳出,Expenditure,4732,4732,3228
母子父子福祉貸付資金,Single parent welfare loan funds,1,貸付費,Loans,4732,4732,3228
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳入,Revenue,5569,5569,5424
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,事業収入,Enterprises,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,財産収入,Revenue from property,252,252,184
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰入金,Funds transferred,5317,5317,5237
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,諸収入,Miscellaneous,0,0,3
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰越金,Balance brought forward,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳出,Expenditure,5569,5569,5424
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,扶養年金費,Annuity,5569,5569,5424
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳入,Revenue,2729,2729,3893
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,事業収入,Operations,2716,2716,1386
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰入金,Funds transferred,12,12,11
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,諸収入,Miscellaneous,0,0,0
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰越金,Balance brought forward,1,1,2496
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳出,Expenditure,2729,2729,1381
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,助成費,Subsidies,2729,2729,1381
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳入,Revenue,52,52,92
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,事業収入,Operations,11,11,10
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰入金,Funds transferred,1,1,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,諸収入,Miscellaneous,0,0,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰越金,Balance brought forward,40,40,82
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳出,Expenditure,52,52,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,助成費,Subsidies,52,52,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳入,Revenue,48,48,113
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,事業収入,Operations,23,23,23
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰入金,Funds transferred,1,1,0
